iter	Logloss
0	0.6323989647
1	0.5852708125
2	0.5439354717
3	0.5086759484
4	0.4778732079
5	0.4540710449
6	0.4267080556
7	0.4146758923
8	0.3961144876
9	0.3801118049
10	0.3674984255
11	0.3550861193
12	0.3458591129
13	0.3326569156
14	0.3239698548
15	0.3166530443
16	0.3120545097
17	0.3050986027
18	0.3011740532
19	0.2967533167
20	0.289860601
21	0.2865817858
22	0.2814242598
23	0.2746543884
24	0.2718011884
25	0.2692962591
26	0.2661690643
27	0.2638380078
28	0.2592644622
29	0.2553684953
30	0.252944117
31	0.248329052
32	0.245701859
33	0.2435968924
34	0.2407372793
35	0.2369835619
36	0.2351607447
37	0.2326722629
38	0.2305135174
39	0.2288573721
40	0.2259247683
41	0.2247564205
42	0.221680116
43	0.2216266411
44	0.2204483143
45	0.218861027
46	0.2176818571
47	0.2158487016
48	0.2147012517
49	0.2138394342
50	0.2115266634
51	0.2093556169
52	0.2081989344
53	0.2052280868
54	0.2030392522
55	0.2010731766
56	0.1991894487
57	0.1975094754
58	0.1961080441
59	0.1944031093
60	0.1922490493
61	0.1911161257
62	0.1887256512
63	0.1866004778
64	0.1857544166
65	0.1845425039
66	0.1825464912
67	0.1810075373
68	0.1796081792
69	0.1789563635
70	0.1781013046
71	0.1767782958
72	0.1759632636
73	0.1748570152
74	0.1733093262
75	0.1725363524
76	0.1707438455
77	0.1702484186
78	0.168268646
79	0.1658116907
80	0.1649944471
81	0.1640752848
82	0.1623136548
83	0.1606919109
84	0.1590823574
85	0.1566779648
86	0.1550266017
87	0.1540803771
88	0.1528032137
89	0.1521775204
90	0.151317085
91	0.1505992724
92	0.1494432532
93	0.1485819471
94	0.1457921457
95	0.1451632873
96	0.144266322
97	0.1427477961
98	0.1413694465
99	0.1391024935
