iter	Passed	Remaining
0	3	305
1	4	231
2	6	209
3	8	196
4	9	188
5	11	181
6	13	177
7	14	166
8	16	164
9	18	164
10	20	162
11	21	160
12	23	159
13	25	157
14	27	155
15	29	154
16	31	153
17	33	151
18	35	151
19	37	149
20	38	146
21	40	144
22	42	141
23	44	139
24	45	137
25	47	135
26	49	133
27	51	131
28	52	129
29	54	127
30	56	125
31	58	123
32	60	122
33	62	120
34	63	118
35	65	116
36	67	114
37	68	112
38	70	110
39	72	108
40	73	106
41	75	104
42	77	102
43	78	99
44	79	97
45	81	96
46	83	94
47	85	92
48	86	90
49	88	88
50	90	86
51	92	84
52	93	83
53	95	81
54	97	79
55	98	77
56	100	75
57	102	73
58	103	72
59	105	70
60	108	69
61	110	67
62	112	65
63	114	64
64	115	62
65	117	60
66	119	59
67	121	57
68	123	55
69	124	53
70	126	51
71	128	49
72	129	48
73	131	46
74	133	44
75	135	42
76	137	41
77	139	39
78	140	37
79	142	35
80	144	33
81	146	32
82	148	30
83	149	28
84	151	26
85	153	24
86	155	23
87	156	21
88	158	19
89	160	17
90	162	16
91	163	14
92	165	12
93	167	10
94	168	8
95	170	7
96	172	5
97	174	3
98	175	1
99	177	0
