index,true_label,pred_label,true_label_decoded,pred_label_decoded
14,1,0,1,0
104,1,0,1,0
116,1,0,1,0
145,1,0,1,0
158,1,0,1,0
169,1,0,1,0
201,1,0,1,0
215,0,1,0,1
242,1,0,1,0
251,1,0,1,0
252,0,1,0,1
269,1,0,1,0
278,1,0,1,0
297,1,0,1,0
321,0,1,0,1
336,1,0,1,0
347,1,0,1,0
361,1,0,1,0
363,1,0,1,0
382,0,1,0,1
405,1,0,1,0
412,1,0,1,0
419,1,0,1,0
427,1,0,1,0
432,1,0,1,0
458,1,0,1,0
493,1,0,1,0
494,1,0,1,0
502,1,0,1,0
540,1,0,1,0
552,1,0,1,0
554,1,0,1,0
563,1,0,1,0
575,1,0,1,0
621,1,0,1,0
639,1,0,1,0
657,1,0,1,0
662,1,0,1,0
677,1,0,1,0
