index,true_label,pred_label,true_label_decoded,pred_label_decoded
10,1,0,1,0
19,1,0,1,0
37,1,0,1,0
41,1,0,1,0
97,1,0,1,0
106,0,1,0,1
129,1,0,1,0
130,1,0,1,0
142,1,0,1,0
160,1,0,1,0
177,1,0,1,0
191,1,0,1,0
218,1,0,1,0
228,1,0,1,0
237,1,0,1,0
249,0,1,0,1
257,1,0,1,0
293,1,0,1,0
304,1,0,1,0
308,1,0,1,0
317,1,0,1,0
333,1,0,1,0
351,1,0,1,0
376,1,0,1,0
421,1,0,1,0
431,1,0,1,0
451,1,0,1,0
480,1,0,1,0
488,1,0,1,0
491,1,0,1,0
518,1,0,1,0
529,1,0,1,0
565,1,0,1,0
581,1,0,1,0
606,1,0,1,0
613,1,0,1,0
614,1,0,1,0
651,1,0,1,0
684,1,0,1,0
