index,true_label,pred_label,true_label_decoded,pred_label_decoded
15,1,0,1,0
17,1,0,1,0
34,0,1,0,1
40,0,1,0,1
41,0,1,0,1
48,1,0,1,0
125,1,0,1,0
143,1,0,1,0
160,0,1,0,1
177,1,0,1,0
188,1,0,1,0
191,0,1,0,1
212,0,1,0,1
213,1,0,1,0
214,1,0,1,0
216,1,0,1,0
219,1,0,1,0
223,0,1,0,1
264,1,0,1,0
267,0,1,0,1
291,1,0,1,0
326,1,0,1,0
336,0,1,0,1
437,0,1,0,1
444,1,0,1,0
487,0,1,0,1
542,1,0,1,0
548,0,1,0,1
569,1,0,1,0
577,1,0,1,0
622,0,1,0,1
660,0,1,0,1
664,1,0,1,0
706,1,0,1,0
709,1,0,1,0
728,0,1,0,1
739,1,0,1,0
744,0,1,0,1
756,0,1,0,1
757,1,0,1,0
