index,true_label,pred_label,true_label_decoded,pred_label_decoded
15,1,0,1,0
25,1,0,1,0
36,0,1,0,1
49,0,1,0,1
99,1,0,1,0
109,1,0,1,0
165,1,0,1,0
179,1,0,1,0
255,1,0,1,0
296,1,0,1,0
315,0,1,0,1
349,1,0,1,0
410,0,1,0,1
444,1,0,1,0
467,0,1,0,1
516,1,0,1,0
522,0,1,0,1
524,0,1,0,1
532,0,1,0,1
549,0,1,0,1
569,1,0,1,0
583,0,1,0,1
619,1,0,1,0
635,1,0,1,0
655,1,0,1,0
658,0,1,0,1
666,1,0,1,0
689,1,0,1,0
693,1,0,1,0
711,0,1,0,1
719,1,0,1,0
723,0,1,0,1
726,0,1,0,1
731,1,0,1,0
739,1,0,1,0
750,1,0,1,0
756,0,1,0,1
