index,true_label,pred_label,true_label_decoded,pred_label_decoded
6,1,0,1,0
28,0,1,0,1
57,0,1,0,1
66,1,0,1,0
117,0,1,0,1
128,1,0,1,0
129,1,0,1,0
130,1,0,1,0
160,0,1,0,1
223,0,1,0,1
227,1,0,1,0
261,1,0,1,0
280,1,0,1,0
281,0,1,0,1
282,0,1,0,1
284,1,0,1,0
285,0,1,0,1
293,1,0,1,0
299,0,1,0,1
303,1,0,1,0
308,1,0,1,0
321,1,0,1,0
361,0,1,0,1
386,1,0,1,0
429,1,0,1,0
435,1,0,1,0
451,1,0,1,0
459,0,1,0,1
468,1,0,1,0
549,0,1,0,1
568,0,1,0,1
569,1,0,1,0
598,1,0,1,0
608,0,1,0,1
657,0,1,0,1
669,0,1,0,1
673,0,1,0,1
674,0,1,0,1
676,1,0,1,0
684,0,1,0,1
701,1,0,1,0
706,1,0,1,0
731,1,0,1,0
739,1,0,1,0
