index,true_label,pred_label,true_label_decoded,pred_label_decoded
15,1,0,1,0
34,0,1,0,1
40,0,1,0,1
41,0,1,0,1
48,1,0,1,0
65,0,1,0,1
125,1,0,1,0
143,1,0,1,0
188,1,0,1,0
212,0,1,0,1
216,1,0,1,0
219,1,0,1,0
267,0,1,0,1
282,0,1,0,1
285,0,1,0,1
291,1,0,1,0
323,1,0,1,0
326,1,0,1,0
336,0,1,0,1
417,1,0,1,0
437,0,1,0,1
444,1,0,1,0
487,0,1,0,1
542,1,0,1,0
548,0,1,0,1
557,0,1,0,1
569,1,0,1,0
577,1,0,1,0
578,0,1,0,1
586,1,0,1,0
613,0,1,0,1
622,0,1,0,1
636,0,1,0,1
660,0,1,0,1
706,1,0,1,0
709,1,0,1,0
722,1,0,1,0
728,0,1,0,1
739,1,0,1,0
744,0,1,0,1
756,0,1,0,1
757,1,0,1,0
