index,true_label,pred_label,true_label_decoded,pred_label_decoded
6,1,0,1,0
9,1,0,1,0
12,0,1,0,1
23,1,0,1,0
54,0,1,0,1
78,1,0,1,0
110,1,0,1,0
124,1,0,1,0
148,0,1,0,1
211,0,1,0,1
218,1,0,1,0
227,1,0,1,0
230,1,0,1,0
242,1,0,1,0
248,0,1,0,1
266,1,0,1,0
280,1,0,1,0
281,0,1,0,1
293,1,0,1,0
295,0,1,0,1
308,1,0,1,0
317,1,0,1,0
328,1,0,1,0
335,0,1,0,1
356,1,0,1,0
399,1,0,1,0
420,0,1,0,1
436,0,1,0,1
443,1,0,1,0
459,0,1,0,1
468,1,0,1,0
476,1,0,1,0
479,0,1,0,1
503,0,1,0,1
515,1,0,1,0
549,0,1,0,1
560,1,0,1,0
676,1,0,1,0
737,0,1,0,1
745,0,1,0,1
763,0,1,0,1
