index,true_label,pred_label,true_label_decoded,pred_label_decoded
58,0,1,0,1
69,0,1,0,1
95,0,1,0,1
116,1,0,1,0
129,1,0,1,0
131,1,0,1,0
144,0,1,0,1
148,0,1,0,1
160,0,1,0,1
165,1,0,1,0
166,0,1,0,1
177,1,0,1,0
178,0,1,0,1
214,1,0,1,0
216,1,0,1,0
242,1,0,1,0
244,0,1,0,1
291,1,0,1,0
293,1,0,1,0
294,0,1,0,1
361,0,1,0,1
400,1,0,1,0
412,0,1,0,1
429,1,0,1,0
443,1,0,1,0
469,0,1,0,1
535,1,0,1,0
549,0,1,0,1
568,0,1,0,1
608,0,1,0,1
618,1,0,1,0
622,0,1,0,1
678,1,0,1,0
709,1,0,1,0
730,1,0,1,0
731,1,0,1,0
756,0,1,0,1
