index,true_label,pred_label,true_label_decoded,pred_label_decoded
183,0,1,0,1
222,1,0,1,0
224,1,0,1,0
226,1,0,1,0
229,1,0,1,0
248,1,0,1,0
250,1,0,1,0
251,1,0,1,0
383,0,1,0,1
396,0,1,0,1
404,0,1,0,1
408,0,1,0,1
609,0,1,0,1
711,0,1,0,1
826,1,0,1,0
907,0,1,0,1
908,0,1,0,1
970,0,1,0,1
1112,1,0,1,0
1548,1,0,1,0
1796,0,1,0,1
1799,0,1,0,1
1807,0,1,0,1
1822,0,1,0,1
1825,0,1,0,1
1861,0,1,0,1
1894,0,1,0,1
1947,0,1,0,1
1993,0,1,0,1
1994,0,1,0,1
2052,0,1,0,1
2058,1,0,1,0
2061,1,0,1,0
2062,1,0,1,0
2065,1,0,1,0
2121,1,0,1,0
2136,1,0,1,0
2194,1,0,1,0
2195,1,0,1,0
2210,1,0,1,0
2214,1,0,1,0
2219,1,0,1,0
2359,1,0,1,0
2368,1,0,1,0
2378,1,0,1,0
2421,0,1,0,1
2450,0,1,0,1
2451,0,1,0,1
2507,1,0,1,0
2651,1,0,1,0
2725,1,0,1,0
2765,1,0,1,0
2777,0,1,0,1
2810,0,1,0,1
2816,0,1,0,1
2821,0,1,0,1
3047,0,1,0,1
3096,0,1,0,1
3119,0,1,0,1
3123,0,1,0,1
3133,0,1,0,1
3141,0,1,0,1
3169,1,0,1,0
3225,1,0,1,0
3322,0,1,0,1
3360,1,0,1,0
3370,1,0,1,0
3775,1,0,1,0
3849,0,1,0,1
3899,0,1,0,1
4222,1,0,1,0
4227,1,0,1,0
4233,1,0,1,0
4235,1,0,1,0
4260,1,0,1,0
4290,1,0,1,0
4331,1,0,1,0
4333,1,0,1,0
4347,1,0,1,0
4352,1,0,1,0
4354,1,0,1,0
4365,1,0,1,0
4368,1,0,1,0
4478,1,0,1,0
4539,0,1,0,1
4562,0,1,0,1
4574,0,1,0,1
4578,0,1,0,1
4606,0,1,0,1
4629,0,1,0,1
4711,1,0,1,0
4827,1,0,1,0
4892,1,0,1,0
4899,1,0,1,0
4902,1,0,1,0
4903,1,0,1,0
4911,1,0,1,0
4950,1,0,1,0
4959,1,0,1,0
4962,1,0,1,0
4971,1,0,1,0
4972,1,0,1,0
4986,1,0,1,0
5037,0,1,0,1
5059,0,1,0,1
5067,0,1,0,1
5070,0,1,0,1
5071,0,1,0,1
5100,0,1,0,1
5199,0,1,0,1
5204,0,1,0,1
5217,0,1,0,1
5267,1,0,1,0
5273,1,0,1,0
5316,1,0,1,0
5318,1,0,1,0
