index,true_label,pred_label,true_label_decoded,pred_label_decoded
10,1,0,1,0
106,1,0,1,0
183,0,1,0,1
227,1,0,1,0
236,1,0,1,0
250,1,0,1,0
252,1,0,1,0
396,0,1,0,1
403,0,1,0,1
434,0,1,0,1
444,0,1,0,1
520,0,1,0,1
609,0,1,0,1
619,0,1,0,1
713,0,1,0,1
770,0,1,0,1
816,1,0,1,0
826,1,0,1,0
837,1,0,1,0
892,0,1,0,1
895,0,1,0,1
904,0,1,0,1
908,0,1,0,1
911,0,1,0,1
928,0,1,0,1
935,0,1,0,1
944,0,1,0,1
1006,0,1,0,1
1011,0,1,0,1
1019,0,1,0,1
1348,1,0,1,0
1775,0,1,0,1
1824,0,1,0,1
1948,0,1,0,1
1949,0,1,0,1
2011,0,1,0,1
2050,0,1,0,1
2051,0,1,0,1
2052,0,1,0,1
2121,1,0,1,0
2135,1,0,1,0
2168,1,0,1,0
2212,1,0,1,0
2214,1,0,1,0
2297,0,1,0,1
2298,0,1,0,1
2450,0,1,0,1
2588,0,1,0,1
2728,1,0,1,0
2755,1,0,1,0
2760,1,0,1,0
2862,0,1,0,1
3092,0,1,0,1
3099,0,1,0,1
3109,0,1,0,1
3116,0,1,0,1
3122,0,1,0,1
3227,1,0,1,0
3240,1,0,1,0
3278,0,1,0,1
3324,0,1,0,1
3360,1,0,1,0
3371,1,0,1,0
3403,0,1,0,1
3407,0,1,0,1
3692,1,0,1,0
3788,1,0,1,0
4229,1,0,1,0
4233,1,0,1,0
4235,1,0,1,0
4242,1,0,1,0
4260,1,0,1,0
4332,1,0,1,0
4356,1,0,1,0
4377,1,0,1,0
4576,0,1,0,1
4578,0,1,0,1
4579,0,1,0,1
4605,0,1,0,1
4629,0,1,0,1
4631,0,1,0,1
4665,1,0,1,0
4895,1,0,1,0
4903,1,0,1,0
4911,1,0,1,0
4955,1,0,1,0
5052,0,1,0,1
5064,0,1,0,1
5067,0,1,0,1
5148,1,0,1,0
5175,0,1,0,1
5178,0,1,0,1
5182,0,1,0,1
5198,0,1,0,1
5207,0,1,0,1
5324,1,0,1,0
5325,1,0,1,0
5404,1,0,1,0
5435,1,0,1,0
5436,1,0,1,0
5630,0,1,0,1
5645,0,1,0,1
5662,0,1,0,1
5691,0,1,0,1
5772,0,1,0,1
5798,0,1,0,1
5807,1,0,1,0
5824,0,1,0,1
5995,1,0,1,0
6186,1,0,1,0
6203,1,0,1,0
6205,0,1,0,1
6239,0,1,0,1
6258,0,1,0,1
6382,0,1,0,1
6397,0,1,0,1
