index,true_label,pred_label,true_label_decoded,pred_label_decoded
177,1,0,1,0
178,1,0,1,0
223,1,0,1,0
224,1,0,1,0
226,1,0,1,0
229,1,0,1,0
236,1,0,1,0
417,1,0,1,0
425,1,0,1,0
431,1,0,1,0
433,1,0,1,0
472,1,0,1,0
476,1,0,1,0
672,1,0,1,0
673,1,0,1,0
868,1,0,1,0
1773,0,1,0,1
1824,0,1,0,1
1946,1,0,1,0
1989,0,1,0,1
1993,0,1,0,1
2050,0,1,0,1
2193,1,0,1,0
2194,1,0,1,0
2195,1,0,1,0
2196,1,0,1,0
2197,1,0,1,0
2214,1,0,1,0
2215,1,0,1,0
2250,0,1,0,1
2404,1,0,1,0
2438,0,1,0,1
2450,0,1,0,1
2588,0,1,0,1
2607,0,1,0,1
2747,1,0,1,0
2751,1,0,1,0
2757,1,0,1,0
2764,1,0,1,0
2881,0,1,0,1
3026,1,0,1,0
3109,0,1,0,1
3166,1,0,1,0
3240,1,0,1,0
3322,0,1,0,1
3324,0,1,0,1
3327,0,1,0,1
3407,0,1,0,1
3887,0,1,0,1
4024,1,0,1,0
4468,1,0,1,0
4507,0,1,0,1
4555,0,1,0,1
4578,0,1,0,1
4641,0,1,0,1
4900,1,0,1,0
4910,1,0,1,0
4951,1,0,1,0
5066,0,1,0,1
5071,0,1,0,1
5107,1,0,1,0
5127,1,0,1,0
5233,1,0,1,0
5277,1,0,1,0
5325,1,0,1,0
5326,1,0,1,0
5327,1,0,1,0
5375,0,1,0,1
5582,0,1,0,1
5640,0,1,0,1
5662,0,1,0,1
5676,0,1,0,1
5678,0,1,0,1
5707,0,1,0,1
5746,1,0,1,0
5751,1,0,1,0
5872,0,1,0,1
6186,1,0,1,0
6216,0,1,0,1
6238,0,1,0,1
6257,0,1,0,1
6260,0,1,0,1
6382,0,1,0,1
6516,1,0,1,0
6550,1,0,1,0
6604,1,0,1,0
6768,1,0,1,0
6812,1,0,1,0
6832,1,0,1,0
6883,0,1,0,1
6913,1,0,1,0
6972,0,1,0,1
7064,1,0,1,0
7094,0,1,0,1
7109,0,1,0,1
7113,0,1,0,1
7114,0,1,0,1
7121,0,1,0,1
7152,0,1,0,1
7354,0,1,0,1
7391,0,1,0,1
7503,0,1,0,1
7736,1,0,1,0
7766,0,1,0,1
8066,0,1,0,1
8298,0,1,0,1
8318,0,1,0,1
8345,0,1,0,1
8350,0,1,0,1
8362,0,1,0,1
8475,0,1,0,1
8539,1,0,1,0
8587,1,0,1,0
8637,1,0,1,0
8749,0,1,0,1
8751,0,1,0,1
8753,0,1,0,1
9066,1,0,1,0
9117,1,0,1,0
9214,0,1,0,1
9279,0,1,0,1
9285,0,1,0,1
9286,0,1,0,1
9355,0,1,0,1
9412,0,1,0,1
9519,1,0,1,0
9533,1,0,1,0
9539,1,0,1,0
9541,1,0,1,0
9550,1,0,1,0
9560,1,0,1,0
9597,0,1,0,1
9598,0,1,0,1
9601,0,1,0,1
9628,0,1,0,1
9632,0,1,0,1
9636,0,1,0,1
9637,0,1,0,1
9778,0,1,0,1
9907,1,0,1,0
9931,1,0,1,0
9933,1,0,1,0
9934,1,0,1,0
10028,0,1,0,1
10077,0,1,0,1
10241,0,1,0,1
10299,0,1,0,1
10408,1,0,1,0
10411,0,1,0,1
10424,1,0,1,0
10426,1,0,1,0
10490,1,0,1,0
10519,1,0,1,0
10570,0,1,0,1
10585,0,1,0,1
10605,0,1,0,1
10608,0,1,0,1
10712,1,0,1,0
11035,0,1,0,1
11085,1,0,1,0
11104,1,0,1,0
11105,1,0,1,0
11106,1,0,1,0
11109,1,0,1,0
11203,0,1,0,1
11257,1,0,1,0
11270,1,0,1,0
11280,1,0,1,0
11310,1,0,1,0
11407,1,0,1,0
11409,1,0,1,0
11414,1,0,1,0
11532,1,0,1,0
11533,1,0,1,0
11560,1,0,1,0
11578,1,0,1,0
11608,0,1,0,1
11624,1,0,1,0
11753,0,1,0,1
11782,0,1,0,1
11804,0,1,0,1
11856,1,0,1,0
11868,1,0,1,0
11876,1,0,1,0
11889,1,0,1,0
11898,1,0,1,0
11915,1,0,1,0
11952,0,1,0,1
11965,0,1,0,1
11970,0,1,0,1
12024,0,1,0,1
12319,0,1,0,1
12563,0,1,0,1
12592,0,1,0,1
12618,1,0,1,0
12825,1,0,1,0
12935,0,1,0,1
12940,0,1,0,1
13150,1,0,1,0
13286,0,1,0,1
13293,0,1,0,1
13319,1,0,1,0
13357,1,0,1,0
13389,0,1,0,1
13425,0,1,0,1
13470,1,0,1,0
13515,1,0,1,0
13810,0,1,0,1
13929,0,1,0,1
13953,0,1,0,1
13986,1,0,1,0
14012,0,1,0,1
14032,0,1,0,1
14043,0,1,0,1
