index,true_label,pred_label,true_label_decoded,pred_label_decoded
16,4,1,5,2
24,4,1,5,2
31,4,1,5,2
33,4,1,5,2
36,4,1,5,2
51,0,1,1,2
111,0,1,1,2
119,0,1,1,2
136,0,1,1,2
407,1,0,2,1
413,4,1,5,2
425,4,1,5,2
426,4,1,5,2
428,4,1,5,2
444,1,0,2,1
507,0,1,1,2
514,0,1,1,2
529,0,1,1,2
558,1,0,2,1
569,0,1,1,2
613,4,1,5,2
615,4,1,5,2
641,4,1,5,2
655,4,1,5,2
695,4,1,5,2
697,4,1,5,2
711,4,1,5,2
744,0,1,1,2
773,0,1,1,2
786,0,1,1,2
794,0,1,1,2
869,4,1,5,2
875,4,1,5,2
876,4,1,5,2
879,4,1,5,2
899,4,1,5,2
901,4,1,5,2
902,4,1,5,2
929,4,1,5,2
934,4,1,5,2
947,0,1,1,2
949,1,0,2,1
979,1,0,2,1
983,0,1,1,2
988,0,1,1,2
991,0,1,1,2
1019,0,1,1,2
1041,0,1,1,2
1044,1,0,2,1
1049,0,1,1,2
1086,0,1,1,2
1109,0,1,1,2
1111,1,0,2,1
1122,0,1,1,2
1126,1,0,2,1
1151,0,1,1,2
1170,4,1,5,2
1175,1,4,2,5
1176,4,1,5,2
1179,4,1,5,2
1189,4,1,5,2
1192,4,1,5,2
1198,4,1,5,2
1214,4,1,5,2
1232,4,1,5,2
1245,0,1,1,2
1313,0,1,1,2
1372,1,0,2,1
1414,1,4,2,5
1417,1,0,2,1
1464,0,1,1,2
1486,1,4,2,5
1497,1,0,2,1
1538,0,1,1,2
1583,1,0,2,1
1627,4,0,5,1
1632,4,1,5,2
1655,6,0,7,1
1657,4,1,5,2
1683,6,0,7,1
1686,0,1,1,2
1692,6,0,7,1
1693,6,0,7,1
1705,4,1,5,2
1741,4,1,5,2
1746,6,0,7,1
1753,4,1,5,2
1757,6,0,7,1
1760,6,0,7,1
1761,6,0,7,1
1779,6,0,7,1
1809,4,1,5,2
1814,4,1,5,2
1818,2,1,3,2
1861,6,0,7,1
1874,4,1,5,2
1897,1,0,2,1
1904,5,1,6,2
1912,6,0,7,1
1937,5,1,6,2
1976,5,1,6,2
2009,5,1,6,2
2024,4,1,5,2
2033,6,0,7,1
2037,4,5,5,6
2044,4,1,5,2
2052,3,2,4,3
2061,5,1,6,2
2073,4,1,5,2
2106,5,1,6,2
2112,6,0,7,1
2122,5,1,6,2
2141,5,1,6,2
2191,5,1,6,2
2192,5,1,6,2
2193,5,1,6,2
2198,3,2,4,3
2199,3,2,4,3
2206,4,1,5,2
2221,5,1,6,2
2222,5,1,6,2
