index,true_label,pred_label,true_label_decoded,pred_label_decoded
8,4,1,5,2
15,4,1,5,2
20,4,1,5,2
26,4,1,5,2
30,4,1,5,2
42,4,1,5,2
43,4,1,5,2
46,4,1,5,2
49,4,1,5,2
56,4,1,5,2
64,4,1,5,2
65,4,1,5,2
67,0,1,1,2
83,0,1,1,2
160,0,1,1,2
268,0,1,1,2
270,0,1,1,2
368,0,1,1,2
381,0,1,1,2
397,4,1,5,2
429,4,1,5,2
436,4,1,5,2
501,1,0,2,1
624,4,1,5,2
639,4,1,5,2
649,4,1,5,2
660,4,1,5,2
664,1,0,2,1
700,4,1,5,2
706,4,1,5,2
768,0,1,1,2
824,0,1,1,2
866,0,1,1,2
897,4,1,5,2
921,4,1,5,2
930,4,1,5,2
931,1,0,2,1
938,4,1,5,2
971,4,0,5,1
972,4,0,5,1
982,1,0,2,1
989,0,1,1,2
994,0,1,1,2
1042,1,0,2,1
1070,0,1,1,2
1082,1,0,2,1
1150,0,1,1,2
1152,0,1,1,2
1158,4,1,5,2
1283,4,1,5,2
1327,1,0,2,1
1347,4,1,5,2
1384,1,0,2,1
1389,4,1,5,2
1395,0,1,1,2
1399,4,1,5,2
1404,0,1,1,2
1435,0,1,1,2
1443,4,1,5,2
1455,4,1,5,2
1498,1,0,2,1
1518,0,1,1,2
1565,1,0,2,1
1575,1,0,2,1
1579,4,1,5,2
1580,4,1,5,2
1584,0,1,1,2
1647,4,1,5,2
1667,6,0,7,1
1699,4,1,5,2
1788,0,1,1,2
1807,6,0,7,1
1920,2,5,3,6
2150,5,1,6,2
2163,3,2,4,3
2180,3,5,4,6
2183,2,3,3,4
2232,5,2,6,3
2251,5,2,6,3
2265,5,1,6,2
2283,4,0,5,1
2295,5,2,6,3
2302,4,1,5,2
2306,4,1,5,2
2307,4,1,5,2
2328,4,1,5,2
2385,4,1,5,2
2427,5,2,6,3
2473,5,1,6,2
2493,4,1,5,2
2496,4,0,5,1
2517,2,5,3,6
2577,5,2,6,3
2595,5,1,6,2
2609,4,1,5,2
2663,4,1,5,2
2667,5,2,6,3
2683,4,1,5,2
2728,0,1,1,2
2731,4,1,5,2
2757,4,1,5,2
2775,4,1,5,2
2777,5,0,6,1
2778,5,2,6,3
2816,4,1,5,2
2839,0,5,1,6
2845,2,5,3,6
2865,3,2,4,3
2919,4,1,5,2
2920,4,1,5,2
2925,3,5,4,6
2938,3,2,4,3
2960,2,5,3,6
2975,2,5,3,6
3047,2,5,3,6
3099,3,2,4,3
3116,3,2,4,3
3117,2,1,3,2
3124,3,2,4,3
3128,3,2,4,3
3156,3,5,4,6
3177,2,5,3,6
3180,6,0,7,1
3186,4,1,5,2
3218,6,0,7,1
3227,4,0,5,1
3241,3,2,4,3
3248,3,2,4,3
3264,2,5,3,6
3282,2,5,3,6
3325,2,5,3,6
3351,4,1,5,2
3363,3,5,4,6
3366,3,2,4,3
3368,3,2,4,3
3387,3,2,4,3
3409,2,5,3,6
3417,3,5,4,6
3419,3,5,4,6
3422,3,2,4,3
3423,3,2,4,3
3444,3,5,4,6
3503,3,2,4,3
3534,4,1,5,2
3594,4,1,5,2
3638,4,1,5,2
3690,2,5,3,6
3717,3,2,4,3
3756,2,3,3,4
3764,3,2,4,3
3800,3,2,4,3
3801,3,5,4,6
3911,3,2,4,3
3913,3,2,4,3
3934,3,2,4,3
3965,3,5,4,6
3966,3,5,4,6
3996,2,5,3,6
4019,3,5,4,6
4020,2,5,3,6
4028,3,2,4,3
4043,3,2,4,3
4217,3,2,4,3
4259,5,2,6,3
4276,3,2,4,3
4278,3,2,4,3
4331,3,2,4,3
4362,5,2,6,3
4376,4,1,5,2
4408,2,5,3,6
4413,5,2,6,3
4422,4,1,5,2
4423,4,0,5,1
4451,2,5,3,6
4525,3,2,4,3
4527,3,2,4,3
4576,3,2,4,3
4607,3,5,4,6
4623,3,5,4,6
4628,1,4,2,5
4629,3,2,4,3
4657,2,5,3,6
4698,3,5,4,6
4760,6,1,7,2
4765,4,1,5,2
4766,3,2,4,3
4806,3,5,4,6
4808,3,5,4,6
4904,5,2,6,3
4946,3,2,4,3
5044,6,1,7,2
5080,5,2,6,3
5087,4,1,5,2
5106,3,5,4,6
5145,2,5,3,6
5161,5,3,6,4
5188,3,2,4,3
5191,3,5,4,6
5248,4,1,5,2
5268,2,1,3,2
5269,2,1,3,2
5275,5,2,6,3
5276,5,2,6,3
5313,3,2,4,3
5320,2,1,3,2
5349,3,5,4,6
5363,2,5,3,6
5366,2,1,3,2
5377,3,2,4,3
5414,5,1,6,2
5431,3,5,4,6
5464,4,1,5,2
5481,3,2,4,3
5487,5,2,6,3
5493,3,2,4,3
5505,3,2,4,3
5511,5,1,6,2
5523,3,2,4,3
5538,5,1,6,2
5539,5,1,6,2
5563,3,2,4,3
5573,3,5,4,6
5585,2,5,3,6
5601,3,5,4,6
5620,5,2,6,3
5625,3,5,4,6
5770,3,5,4,6
5776,5,2,6,3
5827,3,5,4,6
5867,3,2,4,3
5887,3,2,4,3
5893,5,2,6,3
5903,5,2,6,3
5917,5,2,6,3
5918,5,2,6,3
5938,5,2,6,3
5939,5,2,6,3
5961,3,2,4,3
6008,3,2,4,3
6015,3,5,4,6
6076,5,2,6,3
6101,3,2,4,3
6104,3,2,4,3
6108,3,2,4,3
6119,5,3,6,4
6126,3,5,4,6
6140,3,5,4,6
6152,3,5,4,6
6153,3,5,4,6
6228,3,5,4,6
6240,5,2,6,3
6323,5,2,6,3
6325,5,1,6,2
6363,1,4,2,5
6369,3,2,4,3
6377,4,1,5,2
6382,0,1,1,2
6399,3,2,4,3
6405,4,1,5,2
6416,4,1,5,2
6418,4,1,5,2
6444,5,1,6,2
6453,4,1,5,2
6454,5,1,6,2
6466,4,1,5,2
6475,4,1,5,2
6487,5,1,6,2
6556,1,0,2,1
6636,0,1,1,2
6651,4,1,5,2
6666,0,1,1,2
6676,4,1,5,2
6678,2,1,3,2
6684,0,1,1,2
6696,0,1,1,2
6702,4,1,5,2
6707,2,1,3,2
6716,2,1,3,2
6729,2,5,3,6
6753,2,5,3,6
6794,5,1,6,2
6795,5,1,6,2
6823,4,1,5,2
6828,2,1,3,2
6831,4,1,5,2
6890,0,4,1,5
6926,6,0,7,1
6990,4,2,5,3
6999,6,0,7,1
7008,2,1,3,2
7024,0,6,1,7
7027,4,0,5,1
7080,2,4,3,5
7109,4,1,5,2
7179,4,1,5,2
7185,2,1,3,2
7192,2,5,3,6
7204,4,0,5,1
7207,2,5,3,6
7264,5,2,6,3
7378,2,1,3,2
7389,4,0,5,1
7406,4,0,5,1
7408,5,1,6,2
7422,4,0,5,1
7450,2,1,3,2
7461,4,0,5,1
7488,4,1,5,2
7489,4,1,5,2
7523,4,1,5,2
7529,2,5,3,6
7558,0,1,1,2
7576,4,5,5,6
7603,6,1,7,2
7612,4,1,5,2
7623,5,1,6,2
7657,4,1,5,2
7739,5,2,6,3
7782,4,1,5,2
7831,5,1,6,2
7845,4,5,5,6
7894,2,5,3,6
8066,4,2,5,3
8079,0,6,1,7
8100,4,2,5,3
8126,6,0,7,1
8249,4,1,5,2
8261,4,1,5,2
8281,1,0,2,1
8283,4,1,5,2
8309,4,2,5,3
8336,1,0,2,1
8351,4,1,5,2
8356,4,2,5,3
8377,4,1,5,2
8378,4,1,5,2
8421,4,1,5,2
8432,4,1,5,2
8447,4,1,5,2
8454,4,1,5,2
8526,0,6,1,7
8559,0,1,1,2
8564,5,2,6,3
8591,2,1,3,2
8593,2,5,3,6
8601,4,1,5,2
8649,4,1,5,2
8651,4,1,5,2
8670,4,1,5,2
8702,4,1,5,2
8715,5,2,6,3
8740,4,1,5,2
8757,6,0,7,1
8769,0,1,1,2
8790,5,1,6,2
8833,4,1,5,2
8875,4,1,5,2
8876,4,1,5,2
8887,1,0,2,1
9002,0,1,1,2
9012,1,0,2,1
9102,6,0,7,1
9193,0,1,1,2
9241,0,1,1,2
9295,0,6,1,7
9340,0,1,1,2
9350,6,0,7,1
9406,6,0,7,1
9417,6,0,7,1
9425,6,0,7,1
9457,0,1,1,2
9535,6,0,7,1
9625,6,0,7,1
9761,0,1,1,2
10180,0,1,1,2
10402,0,1,1,2
10430,0,1,1,2
10607,6,0,7,1
10610,6,0,7,1
10660,5,1,6,2
10662,2,5,3,6
10719,5,1,6,2
10721,5,1,6,2
10722,5,1,6,2
10725,5,2,6,3
10735,5,2,6,3
10737,5,1,6,2
10761,5,1,6,2
10804,2,1,3,2
10816,2,1,3,2
10857,2,1,3,2
10898,5,2,6,3
10900,5,2,6,3
10921,5,1,6,2
10931,5,1,6,2
10938,5,1,6,2
10956,5,1,6,2
10957,5,2,6,3
10960,5,1,6,2
10963,5,2,6,3
10964,5,2,6,3
10977,5,1,6,2
10986,5,2,6,3
11129,2,5,3,6
11173,5,2,6,3
11181,5,2,6,3
11251,5,1,6,2
11274,5,1,6,2
11304,5,2,6,3
11305,5,2,6,3
11310,5,2,6,3
11349,4,1,5,2
11360,4,1,5,2
11386,0,1,1,2
11484,4,1,5,2
11640,4,1,5,2
11708,1,0,2,1
