index,true_label,pred_label,true_label_decoded,pred_label_decoded
1,4,1,5,2
7,4,1,5,2
18,4,1,5,2
46,4,1,5,2
47,4,1,5,2
52,0,1,1,2
63,4,1,5,2
66,4,1,5,2
83,0,1,1,2
108,0,1,1,2
117,0,1,1,2
132,0,1,1,2
137,0,1,1,2
182,0,1,1,2
190,0,1,1,2
196,0,1,1,2
268,0,1,1,2
305,0,1,1,2
314,0,1,1,2
321,1,0,2,1
326,0,1,1,2
327,0,1,1,2
345,0,1,1,2
385,4,1,5,2
405,4,1,5,2
419,4,1,5,2
435,4,1,5,2
443,0,1,1,2
459,0,1,1,2
468,0,1,1,2
489,0,1,1,2
499,0,1,1,2
501,1,0,2,1
512,0,1,1,2
516,1,0,2,1
532,0,1,1,2
601,4,1,5,2
604,1,0,2,1
635,4,1,5,2
641,4,1,5,2
648,4,1,5,2
656,4,1,5,2
659,4,1,5,2
688,4,1,5,2
693,4,1,5,2
755,0,1,1,2
794,0,1,1,2
821,0,1,1,2
824,0,1,1,2
836,1,0,2,1
864,4,1,5,2
901,4,1,5,2
910,4,1,5,2
918,4,1,5,2
920,4,1,5,2
921,4,1,5,2
929,4,1,5,2
942,4,1,5,2
948,4,1,5,2
949,1,0,2,1
955,0,1,1,2
964,4,1,5,2
975,4,0,5,1
1017,0,1,1,2
1018,0,1,1,2
1062,0,1,1,2
1070,0,1,1,2
1082,1,0,2,1
1100,1,0,2,1
1150,0,1,1,2
1155,4,1,5,2
1159,4,1,5,2
1161,4,1,5,2
1164,4,1,5,2
1166,4,1,5,2
1170,4,1,5,2
1172,4,1,5,2
1176,4,1,5,2
1191,4,1,5,2
1202,4,1,5,2
1205,4,1,5,2
1216,1,0,2,1
1229,4,1,5,2
1231,4,1,5,2
1247,4,1,5,2
1387,4,1,5,2
1395,0,1,1,2
1414,1,4,2,5
1428,1,0,2,1
1462,4,1,5,2
1577,0,1,1,2
1584,0,1,1,2
1585,1,0,2,1
1596,4,1,5,2
1598,4,1,5,2
1623,4,1,5,2
1683,6,0,7,1
1699,4,1,5,2
1700,4,1,5,2
1715,4,1,5,2
1726,6,0,7,1
1749,6,0,7,1
1751,1,0,2,1
1752,1,0,2,1
1757,6,0,7,1
1758,6,0,7,1
1770,6,0,7,1
1781,6,0,7,1
1782,6,0,7,1
1807,6,0,7,1
1845,4,1,5,2
1864,4,1,5,2
1874,4,1,5,2
1887,4,1,5,2
1897,1,0,2,1
1908,2,5,3,6
1926,2,1,3,2
1927,5,1,6,2
1932,6,0,7,1
1949,6,0,7,1
1952,6,0,7,1
1978,1,2,2,3
1987,5,1,6,2
2017,4,1,5,2
2029,6,0,7,1
2040,6,0,7,1
2062,5,1,6,2
2073,4,1,5,2
2100,4,1,5,2
2121,5,1,6,2
2122,5,1,6,2
2147,4,1,5,2
2149,1,5,2,6
2167,6,0,7,1
2215,5,2,6,3
2218,6,0,7,1
2222,5,1,6,2
2232,5,2,6,3
2255,4,1,5,2
2256,4,1,5,2
2281,4,1,5,2
2304,4,1,5,2
2309,4,1,5,2
2315,5,1,6,2
2320,3,2,4,3
2326,4,1,5,2
2330,4,1,5,2
2336,3,2,4,3
2345,4,1,5,2
2349,4,1,5,2
2354,4,1,5,2
2367,4,1,5,2
2373,4,1,5,2
2374,4,1,5,2
2391,4,1,5,2
2394,4,1,5,2
2408,4,1,5,2
2416,4,1,5,2
2433,4,1,5,2
2436,4,1,5,2
2439,4,1,5,2
2455,5,2,6,3
2460,4,1,5,2
2461,4,1,5,2
2466,4,1,5,2
2474,5,1,6,2
2492,4,1,5,2
2497,4,0,5,1
2509,4,1,5,2
2511,4,1,5,2
2523,4,1,5,2
2524,4,1,5,2
2528,5,1,6,2
2538,4,1,5,2
2546,4,1,5,2
2549,5,1,6,2
2572,5,2,6,3
2580,4,0,5,1
2582,4,1,5,2
2589,4,1,5,2
2630,5,2,6,3
2647,3,2,4,3
2653,5,2,6,3
2654,5,2,6,3
2657,4,1,5,2
2665,5,2,6,3
2666,5,2,6,3
