index,true_label,pred_label,true_label_decoded,pred_label_decoded
43,4,1,5,2
67,0,1,1,2
140,0,1,1,2
146,0,1,1,2
169,0,1,1,2
224,0,1,1,2
305,0,1,1,2
381,0,1,1,2
382,0,1,1,2
385,4,1,5,2
407,1,0,2,1
411,4,1,5,2
418,4,1,5,2
428,4,1,5,2
443,0,1,1,2
489,0,1,1,2
499,0,1,1,2
507,0,1,1,2
514,0,1,1,2
601,4,1,5,2
603,4,1,5,2
609,0,1,1,2
615,4,1,5,2
618,1,0,2,1
637,4,1,5,2
641,4,1,5,2
655,4,1,5,2
656,4,1,5,2
660,4,1,5,2
688,4,1,5,2
755,0,1,1,2
782,0,1,1,2
786,0,1,1,2
899,4,1,5,2
902,4,1,5,2
910,4,1,5,2
916,4,1,5,2
920,4,1,5,2
934,4,1,5,2
936,4,1,5,2
957,0,1,1,2
989,0,1,1,2
992,1,0,2,1
994,0,1,1,2
1022,0,1,1,2
1035,0,1,1,2
1043,1,0,2,1
1096,0,1,1,2
1136,1,0,2,1
1160,4,1,5,2
1169,0,1,1,2
1172,4,1,5,2
1188,1,0,2,1
1190,4,1,5,2
1191,4,1,5,2
1213,1,0,2,1
1221,1,0,2,1
1232,4,1,5,2
1245,0,1,1,2
1275,1,0,2,1
1283,4,1,5,2
1295,1,0,2,1
1390,4,1,5,2
1393,4,1,5,2
1408,1,0,2,1
1445,4,1,5,2
1476,1,4,2,5
1497,1,0,2,1
1498,1,0,2,1
1518,0,1,1,2
1613,1,0,2,1
1615,4,1,5,2
1678,6,0,7,1
1719,6,0,7,1
1747,6,0,7,1
1751,1,0,2,1
1778,6,0,7,1
1789,6,0,7,1
1790,1,0,2,1
1835,4,1,5,2
1854,4,1,5,2
1861,6,0,7,1
1898,4,1,5,2
1904,5,1,6,2
1932,6,0,7,1
1936,5,1,6,2
1944,1,5,2,6
1988,3,2,4,3
2173,5,1,6,2
2175,5,1,6,2
2180,3,5,4,6
2206,4,1,5,2
2218,6,0,7,1
2219,4,1,5,2
2236,6,0,7,1
2241,5,1,6,2
2269,3,2,4,3
2296,5,2,6,3
2302,4,1,5,2
2329,4,1,5,2
2331,5,1,6,2
2352,4,1,5,2
2366,4,1,5,2
2370,4,1,5,2
2382,5,2,6,3
2396,4,1,5,2
2479,5,2,6,3
2499,5,1,6,2
2552,3,2,4,3
2563,4,1,5,2
2589,4,1,5,2
2593,1,2,2,3
2594,5,2,6,3
2609,4,1,5,2
2642,1,5,2,6
2647,3,2,4,3
2678,5,2,6,3
2723,5,2,6,3
2730,0,1,1,2
2736,5,1,6,2
2773,4,1,5,2
2782,5,2,6,3
2810,5,2,6,3
2819,5,2,6,3
2868,5,2,6,3
2870,5,2,6,3
2900,4,1,5,2
2953,4,1,5,2
2994,4,1,5,2
2998,2,3,3,4
3085,3,2,4,3
3087,3,2,4,3
3088,3,2,4,3
3115,3,2,4,3
3128,3,2,4,3
3172,3,2,4,3
3180,6,0,7,1
3184,4,1,5,2
3188,4,1,5,2
3227,4,1,5,2
3265,2,5,3,6
3317,4,1,5,2
3357,2,5,3,6
3397,4,1,5,2
3408,2,5,3,6
3503,3,2,4,3
3527,3,2,4,3
3530,3,2,4,3
3585,3,5,4,6
3590,4,1,5,2
3591,4,1,5,2
3633,4,1,5,2
3679,3,2,4,3
3684,4,1,5,2
3714,3,2,4,3
3723,3,2,4,3
3728,3,2,4,3
3742,3,2,4,3
3750,4,1,5,2
3781,5,2,6,3
3808,5,2,6,3
3809,5,2,6,3
3821,3,2,4,3
3830,3,2,4,3
3849,3,2,4,3
3924,5,2,6,3
3972,5,2,6,3
3973,5,2,6,3
3974,5,2,6,3
3984,3,2,4,3
3998,3,2,4,3
4022,5,2,6,3
4023,5,2,6,3
4117,0,1,1,2
4134,3,2,4,3
4190,3,2,4,3
4191,3,2,4,3
4211,4,1,5,2
4264,4,1,5,2
4265,4,1,5,2
4266,4,1,5,2
4268,4,1,5,2
4274,4,1,5,2
4279,3,2,4,3
4280,3,2,4,3
4284,3,2,4,3
4316,6,0,7,1
4407,3,2,4,3
4414,5,2,6,3
4424,4,1,5,2
4440,3,2,4,3
4457,3,5,4,6
4516,4,1,5,2
4518,4,1,5,2
4563,5,2,6,3
4580,3,2,4,3
4600,3,2,4,3
4607,3,2,4,3
4702,3,2,4,3
4705,5,2,6,3
4749,3,5,4,6
4765,4,1,5,2
4837,2,5,3,6
4941,2,5,3,6
5000,4,1,5,2
5015,3,2,4,3
5031,3,2,4,3
5072,2,3,3,4
5106,3,2,4,3
5118,5,2,6,3
5151,3,5,4,6
5165,4,1,5,2
5166,4,1,5,2
5201,0,1,1,2
5247,4,1,5,2
5286,5,2,6,3
5289,6,0,7,1
5457,5,2,6,3
5464,4,1,5,2
5509,3,2,4,3
5523,3,5,4,6
5563,3,2,4,3
5571,5,2,6,3
5583,6,0,7,1
5603,5,2,6,3
5662,3,5,4,6
5671,2,5,3,6
5678,3,5,4,6
5690,1,0,2,1
5701,5,2,6,3
5726,5,2,6,3
5780,4,1,5,2
5838,4,1,5,2
5888,5,2,6,3
5897,5,2,6,3
5954,3,5,4,6
5958,5,2,6,3
5959,5,2,6,3
5991,3,5,4,6
6045,5,2,6,3
6082,5,2,6,3
6094,3,5,4,6
6109,3,5,4,6
6234,0,1,1,2
6259,5,3,6,4
6300,3,2,4,3
6301,3,2,4,3
6373,0,1,1,2
6377,4,1,5,2
6383,0,1,1,2
6385,4,1,5,2
6392,2,1,3,2
6460,4,1,5,2
6476,4,1,5,2
6489,1,4,2,5
6559,6,1,7,2
6625,2,1,3,2
6635,4,1,5,2
6651,4,1,5,2
6670,0,1,1,2
6683,0,1,1,2
6694,0,1,1,2
6696,0,1,1,2
6703,4,1,5,2
6717,2,5,3,6
6742,4,1,5,2
6750,2,5,3,6
6753,2,5,3,6
6760,4,1,5,2
6780,5,2,6,3
6795,5,1,6,2
6802,2,5,3,6
6852,4,1,5,2
6865,2,1,3,2
6870,4,1,5,2
6896,2,1,3,2
6898,6,0,7,1
6938,4,2,5,3
6961,4,1,5,2
6988,4,2,5,3
7009,2,1,3,2
7017,4,2,5,3
7028,4,0,5,1
7042,4,1,5,2
7049,2,4,3,5
7067,4,2,5,3
7273,6,0,7,1
7288,2,1,3,2
7363,4,1,5,2
7404,4,1,5,2
7423,5,1,6,2
7437,5,1,6,2
7450,2,1,3,2
7451,5,1,6,2
7452,5,1,6,2
7480,5,1,6,2
7488,4,1,5,2
7503,6,0,7,1
7504,6,0,7,1
7505,4,1,5,2
7506,4,1,5,2
7521,4,1,5,2
7559,5,1,6,2
7574,5,1,6,2
7653,6,0,7,1
7724,4,1,5,2
7769,2,1,3,2
7847,4,1,5,2
7914,4,2,5,3
7942,4,2,5,3
8018,4,1,5,2
8033,5,1,6,2
8038,1,0,2,1
8126,6,0,7,1
8166,5,1,6,2
8171,2,1,3,2
8172,4,1,5,2
8186,5,1,6,2
8261,4,1,5,2
8281,1,0,2,1
8310,4,2,5,3
8320,4,1,5,2
8375,1,0,2,1
8379,4,1,5,2
8401,4,1,5,2
8416,6,0,7,1
8451,1,0,2,1
8461,4,2,5,3
8526,0,6,1,7
8535,5,2,6,3
8543,4,1,5,2
8550,2,1,3,2
8574,0,1,1,2
8580,0,1,1,2
8583,6,0,7,1
8597,6,0,7,1
8599,1,0,2,1
8740,4,1,5,2
8749,4,1,5,2
8757,6,0,7,1
8770,0,1,1,2
8806,0,1,1,2
8817,4,1,5,2
8819,4,1,5,2
8837,1,0,2,1
8838,4,1,5,2
8844,6,0,7,1
8869,0,1,1,2
8870,6,0,7,1
8875,4,1,5,2
8886,0,1,1,2
8916,0,1,1,2
8965,0,1,1,2
8968,0,1,1,2
8987,1,0,2,1
8988,1,0,2,1
8998,0,6,1,7
9021,0,1,1,2
9037,6,0,7,1
9088,0,1,1,2
9103,6,0,7,1
9152,1,0,2,1
9351,6,0,7,1
9399,6,0,7,1
9474,6,0,7,1
9475,6,0,7,1
9518,1,0,2,1
9535,6,0,7,1
9555,1,0,2,1
