index,true_label,pred_label,true_label_decoded,pred_label_decoded
8,4,1,5,2
15,4,1,5,2
20,4,1,5,2
26,4,1,5,2
30,4,1,5,2
42,4,1,5,2
43,4,0,5,1
46,4,1,5,2
49,4,1,5,2
56,4,1,5,2
64,4,1,5,2
65,4,1,5,2
67,0,1,1,2
80,0,1,1,2
83,0,1,1,2
160,0,1,1,2
185,0,1,1,2
196,0,1,1,2
228,0,1,1,2
268,0,1,1,2
270,0,1,1,2
284,0,1,1,2
286,0,1,1,2
317,0,1,1,2
324,0,1,1,2
336,0,1,1,2
338,0,1,1,2
344,0,1,1,2
366,0,1,1,2
368,0,1,1,2
381,0,1,1,2
394,4,1,5,2
395,4,1,5,2
396,4,1,5,2
397,4,1,5,2
405,4,1,5,2
410,0,1,1,2
412,4,1,5,2
414,0,1,1,2
427,4,1,5,2
429,4,1,5,2
430,0,1,1,2
436,4,1,5,2
440,0,1,1,2
459,0,1,1,2
469,0,1,1,2
487,0,1,1,2
489,0,1,1,2
521,0,1,1,2
623,4,1,5,2
624,4,1,5,2
626,4,1,5,2
627,4,1,5,2
639,4,1,5,2
649,4,1,5,2
652,0,1,1,2
660,4,1,5,2
665,0,1,1,2
686,0,1,1,2
698,4,1,5,2
700,4,1,5,2
706,4,1,5,2
768,0,1,1,2
801,0,1,1,2
824,0,1,1,2
832,0,1,1,2
854,0,1,1,2
864,4,1,5,2
866,0,1,1,2
874,4,1,5,2
877,0,1,1,2
887,4,1,5,2
897,4,1,5,2
921,4,1,5,2
930,4,1,5,2
938,4,1,5,2
968,4,1,5,2
969,4,1,5,2
970,4,1,5,2
971,4,1,5,2
972,4,1,5,2
989,0,1,1,2
994,0,1,1,2
995,0,1,1,2
1002,0,1,1,2
1066,0,1,1,2
1070,0,1,1,2
1083,0,1,1,2
1094,0,1,1,2
1104,0,1,1,2
1117,0,1,1,2
1125,0,1,1,2
1138,0,1,1,2
1147,0,1,1,2
1150,0,1,1,2
1152,0,1,1,2
1154,4,1,5,2
1155,4,1,5,2
1158,4,1,5,2
1162,0,1,1,2
1163,4,1,5,2
1164,4,1,5,2
1165,0,1,1,2
1166,4,1,5,2
1177,4,1,5,2
1185,4,1,5,2
1187,0,1,1,2
1190,4,1,5,2
1197,4,1,5,2
1208,4,1,5,2
1220,4,1,5,2
1225,4,1,5,2
1240,4,1,5,2
1244,4,1,5,2
1257,4,1,5,2
1260,4,1,5,2
1268,4,1,5,2
1277,0,1,1,2
1283,4,1,5,2
1284,4,1,5,2
1305,0,1,1,2
1331,0,1,1,2
1333,0,1,1,2
1337,0,1,1,2
1347,4,1,5,2
1348,0,1,1,2
1363,4,1,5,2
1364,4,1,5,2
1368,4,1,5,2
1381,4,1,5,2
1388,4,1,5,2
1389,4,1,5,2
1393,4,1,5,2
1394,0,1,1,2
1395,0,1,1,2
1399,4,1,5,2
1411,4,1,5,2
1415,4,1,5,2
1426,4,1,5,2
1433,4,1,5,2
1436,0,1,1,2
1440,4,1,5,2
1443,4,1,5,2
1448,0,1,1,2
1455,4,1,5,2
1459,4,1,5,2
1469,4,1,5,2
1477,0,1,1,2
1492,4,1,5,2
1495,4,1,5,2
1503,0,1,1,2
1507,4,1,5,2
1509,4,1,5,2
1510,0,1,1,2
1516,0,1,1,2
1518,0,1,1,2
1523,4,1,5,2
1532,0,1,1,2
1544,4,1,5,2
1561,0,1,1,2
1565,1,0,2,1
1575,1,0,2,1
1579,4,1,5,2
1580,4,1,5,2
1584,0,1,1,2
1588,4,1,5,2
1600,4,1,5,2
1601,4,1,5,2
1602,4,1,5,2
1611,4,1,5,2
1616,4,1,5,2
1618,0,1,1,2
1620,4,1,5,2
1630,4,1,5,2
1642,4,1,5,2
1643,0,1,1,2
1646,4,1,5,2
1647,4,1,5,2
1653,0,1,1,2
1654,6,1,7,2
1667,6,1,7,2
1682,6,1,7,2
1699,4,1,5,2
1707,4,1,5,2
1708,4,1,5,2
1710,6,1,7,2
1714,6,0,7,1
1726,6,1,7,2
1735,6,1,7,2
1737,6,1,7,2
1743,4,1,5,2
1749,6,0,7,1
1759,6,1,7,2
1769,6,0,7,1
1774,4,1,5,2
1778,6,1,7,2
1788,0,1,1,2
1799,0,1,1,2
1807,6,1,7,2
1815,0,1,1,2
1851,0,1,1,2
1852,0,1,1,2
1881,5,1,6,2
1886,0,1,1,2
1894,5,1,6,2
1901,5,1,6,2
1902,5,1,6,2
1908,2,5,3,6
1914,6,0,7,1
1915,0,1,1,2
1916,4,1,5,2
1920,2,5,3,6
1922,2,5,3,6
1928,5,1,6,2
1933,6,0,7,1
1939,6,0,7,1
1946,5,1,6,2
1956,5,1,6,2
1977,5,1,6,2
1987,5,1,6,2
2000,6,0,7,1
2006,5,1,6,2
2022,5,1,6,2
2029,6,0,7,1
2031,6,0,7,1
2047,5,1,6,2
2048,5,1,6,2
2057,6,0,7,1
2059,4,1,5,2
2065,5,1,6,2
2075,4,1,5,2
2097,6,0,7,1
2109,3,2,4,3
2111,6,0,7,1
2115,4,1,5,2
2120,5,1,6,2
2121,5,1,6,2
2124,5,1,6,2
2130,3,5,4,6
2133,6,0,7,1
2138,5,1,6,2
2139,5,1,6,2
2150,5,1,6,2
2152,5,1,6,2
2153,5,1,6,2
2163,3,1,4,2
2180,3,2,4,3
2195,5,1,6,2
2202,6,0,7,1
2203,0,1,1,2
2214,5,2,6,3
2223,5,1,6,2
2225,5,1,6,2
2238,0,1,1,2
2243,5,1,6,2
2265,5,1,6,2
2266,2,5,3,6
2283,4,1,5,2
2288,5,1,6,2
2289,3,2,4,3
2302,4,1,5,2
2305,4,1,5,2
2306,4,1,5,2
2307,4,1,5,2
2313,5,1,6,2
2314,5,1,6,2
2316,5,1,6,2
2317,2,5,3,6
2328,4,1,5,2
2329,4,1,5,2
2334,5,1,6,2
2343,5,2,6,3
2347,4,1,5,2
2348,4,1,5,2
2367,4,1,5,2
2372,4,1,5,2
2375,5,1,6,2
2376,5,1,6,2
2377,5,1,6,2
2385,4,1,5,2
2388,4,1,5,2
2390,4,1,5,2
2393,4,1,5,2
2397,4,1,5,2
2398,4,1,5,2
2410,4,1,5,2
2413,4,1,5,2
2415,4,1,5,2
2417,4,1,5,2
2436,4,1,5,2
2437,4,1,5,2
2439,4,1,5,2
2440,4,1,5,2
2454,2,5,3,6
2457,5,2,6,3
2467,4,1,5,2
2469,4,1,5,2
2470,4,1,5,2
2473,5,1,6,2
2475,5,1,6,2
2488,4,1,5,2
2493,4,1,5,2
2496,4,1,5,2
2499,5,1,6,2
2500,5,2,6,3
2538,4,1,5,2
2541,4,1,5,2
2542,4,1,5,2
2543,4,1,5,2
2561,0,1,1,2
2582,4,1,5,2
2584,4,1,5,2
2587,4,1,5,2
2595,5,2,6,3
2596,3,2,4,3
2600,3,5,4,6
2609,4,1,5,2
2627,3,5,4,6
2647,3,5,4,6
2652,3,5,4,6
2663,4,1,5,2
2682,4,1,5,2
2683,4,1,5,2
2728,0,1,1,2
2731,4,1,5,2
2733,4,1,5,2
2745,3,2,4,3
2751,2,5,3,6
2757,4,1,5,2
2764,2,1,3,2
2769,6,1,7,2
2775,4,1,5,2
2777,5,1,6,2
2783,2,1,3,2
2815,4,1,5,2
2816,4,1,5,2
2823,2,1,3,2
2827,2,5,3,6
2839,0,1,1,2
2844,2,1,3,2
2846,2,1,3,2
2861,3,2,4,3
2865,3,2,4,3
2869,5,2,6,3
2881,4,0,5,1
2888,3,2,4,3
2894,2,5,3,6
2915,2,5,3,6
2919,4,1,5,2
2920,4,0,5,1
2925,3,1,4,2
2930,5,1,6,2
2935,4,0,5,1
2938,3,5,4,6
2965,2,1,3,2
2974,2,5,3,6
2975,2,1,3,2
2976,3,5,4,6
2997,2,1,3,2
3019,3,5,4,6
3022,2,5,3,6
3029,2,1,3,2
3030,2,1,3,2
3050,2,5,3,6
3055,3,2,4,3
3068,3,2,4,3
3079,0,1,1,2
3082,2,5,3,6
3092,3,2,4,3
3095,3,2,4,3
3099,3,2,4,3
3116,3,2,4,3
3117,2,5,3,6
3124,3,2,4,3
3128,3,2,4,3
3132,3,2,4,3
3151,3,5,4,6
3156,3,1,4,2
3160,3,2,4,3
3167,3,2,4,3
3175,2,5,3,6
3177,2,1,3,2
3180,6,1,7,2
3181,6,1,7,2
3186,4,1,5,2
3188,4,1,5,2
3195,2,1,3,2
3213,3,2,4,3
3218,6,1,7,2
3223,4,1,5,2
3227,4,1,5,2
3235,3,5,4,6
3237,3,5,4,6
3241,3,1,4,2
3248,3,5,4,6
3254,3,2,4,3
3257,3,2,4,3
3260,3,2,4,3
3263,3,2,4,3
3264,2,5,3,6
3275,4,1,5,2
3282,2,1,3,2
3296,3,2,4,3
3302,3,2,4,3
3305,3,2,4,3
3313,0,1,1,2
3315,4,1,5,2
3325,2,1,3,2
3340,3,2,4,3
3351,4,1,5,2
3352,4,1,5,2
3363,3,5,4,6
3366,3,2,4,3
3368,3,5,4,6
3377,3,2,4,3
3378,3,2,4,3
3381,3,2,4,3
3387,3,2,4,3
3391,6,1,7,2
3398,4,1,5,2
