index,true_label,pred_label,true_label_decoded,pred_label_decoded
8,4,1,5,2
16,4,1,5,2
43,4,1,5,2
151,0,1,1,2
160,0,1,1,2
169,0,1,1,2
297,0,1,1,2
507,0,1,1,2
607,4,1,5,2
618,1,0,2,1
624,4,1,5,2
627,4,1,5,2
628,4,1,5,2
639,4,1,5,2
650,4,1,5,2
654,0,1,1,2
684,4,1,5,2
695,4,1,5,2
710,4,1,5,2
834,0,1,1,2
866,0,1,1,2
876,4,1,5,2
916,4,1,5,2
919,4,1,5,2
933,4,1,5,2
943,1,0,2,1
957,0,1,1,2
1034,0,1,1,2
1041,0,1,1,2
1073,1,0,2,1
1121,0,1,1,2
1135,1,0,2,1
1195,4,1,5,2
1239,0,1,1,2
1295,1,0,2,1
1340,0,1,1,2
1359,0,1,1,2
1429,0,1,1,2
1443,4,1,5,2
1482,1,0,2,1
1551,1,0,2,1
1575,1,0,2,1
1665,4,1,5,2
1686,0,1,1,2
1739,1,0,2,1
1740,1,0,2,1
1746,6,0,7,1
1789,6,0,7,1
1798,6,0,7,1
1809,4,1,5,2
1822,1,4,2,5
1829,6,0,7,1
1835,4,1,5,2
1856,1,5,2,6
1912,6,0,7,1
2009,5,1,6,2
2039,3,2,4,3
2045,4,1,5,2
2109,3,2,4,3
2112,6,0,7,1
2163,3,2,4,3
2180,3,5,4,6
2192,5,1,6,2
2198,3,5,4,6
2265,5,1,6,2
2296,5,2,6,3
2327,4,1,5,2
2328,4,1,5,2
2355,5,1,6,2
2366,4,1,5,2
2382,5,2,6,3
2452,3,2,4,3
2464,4,5,5,6
2478,5,2,6,3
2563,4,0,5,1
2568,4,1,5,2
2661,4,1,5,2
2686,5,1,6,2
2711,4,1,5,2
2716,1,0,2,1
2756,4,1,5,2
2775,4,1,5,2
2777,5,0,6,1
2796,4,1,5,2
2854,0,1,1,2
2865,3,2,4,3
2870,5,2,6,3
2877,4,1,5,2
2899,4,1,5,2
2930,5,2,6,3
2946,2,3,3,4
2971,2,5,3,6
2980,3,5,4,6
2987,2,5,3,6
3032,3,2,4,3
3085,3,2,4,3
3087,3,2,4,3
3115,3,2,4,3
3124,3,2,4,3
3128,3,2,4,3
3148,4,1,5,2
3157,3,2,4,3
3158,3,2,4,3
3184,4,1,5,2
3189,4,1,5,2
3219,1,0,2,1
3245,3,5,4,6
3246,3,2,4,3
3278,5,1,6,2
3279,4,1,5,2
3290,3,2,4,3
3319,4,1,5,2
3352,4,1,5,2
3386,3,5,4,6
3409,2,5,3,6
