index,true_label,pred_label,true_label_decoded,pred_label_decoded
208,1,2,1,2
213,0,1,0,1
300,1,0,1,0
494,2,1,2,1
502,2,0,2,0
555,2,0,2,0
570,1,0,1,0
603,0,2,0,2
646,2,1,2,1
711,2,1,2,1
730,2,0,2,0
739,1,0,1,0
743,2,1,2,1
757,2,0,2,0
900,1,0,1,0
1169,1,0,1,0
1188,2,1,2,1
1254,1,0,1,0
1273,1,0,1,0
1322,1,0,1,0
1365,2,1,2,1
1423,1,0,1,0
1432,0,2,0,2
1440,0,1,0,1
1472,0,2,0,2
1519,1,0,1,0
1545,0,1,0,1
1578,2,1,2,1
1662,0,2,0,2
1674,2,1,2,1
1847,2,1,2,1
2005,0,2,0,2
2013,2,1,2,1
2116,1,0,1,0
2212,2,1,2,1
2243,1,0,1,0
2430,2,1,2,1
2488,1,0,1,0
2583,2,1,2,1
2591,2,1,2,1
2639,2,1,2,1
2748,2,1,2,1
2896,0,2,0,2
2906,2,1,2,1
3093,2,1,2,1
3113,2,1,2,1
3144,1,2,1,2
