index,true_label,pred_label,true_label_decoded,pred_label_decoded
29,1,2,1,2
37,2,0,2,0
114,2,1,2,1
203,0,2,0,2
220,0,1,0,1
289,0,1,0,1
368,0,1,0,1
447,0,1,0,1
472,0,1,0,1
506,0,1,0,1
531,0,2,0,2
532,2,1,2,1
585,2,1,2,1
617,0,1,0,1
620,0,1,0,1
654,1,2,1,2
665,1,2,1,2
666,2,1,2,1
682,1,0,1,0
683,0,2,0,2
694,2,1,2,1
743,2,1,2,1
766,1,2,1,2
820,2,1,2,1
901,0,2,0,2
988,0,1,0,1
996,1,2,1,2
1069,1,0,1,0
1073,0,1,0,1
1074,1,0,1,0
1076,2,1,2,1
1097,1,0,1,0
1103,2,1,2,1
1132,0,1,0,1
1176,1,2,1,2
1181,0,1,0,1
1187,0,2,0,2
1189,0,2,0,2
1221,1,2,1,2
1239,1,2,1,2
1283,2,1,2,1
1295,0,1,0,1
1299,1,0,1,0
1307,1,0,1,0
1337,0,1,0,1
1346,2,1,2,1
1369,0,1,0,1
1379,1,2,1,2
1519,1,0,1,0
1525,0,1,0,1
1546,1,0,1,0
1578,2,1,2,1
1617,0,1,0,1
1639,1,2,1,2
1662,0,1,0,1
1697,1,2,1,2
1727,1,0,1,0
1729,0,2,0,2
1769,2,1,2,1
1774,1,0,1,0
1781,0,2,0,2
1792,1,2,1,2
1839,1,2,1,2
1840,2,1,2,1
1889,0,1,0,1
1902,1,2,1,2
1908,1,0,1,0
1948,2,1,2,1
1965,1,2,1,2
1973,0,1,0,1
1979,0,1,0,1
2004,2,1,2,1
2036,1,2,1,2
2074,1,2,1,2
2081,0,2,0,2
2128,1,0,1,0
2136,1,2,1,2
2232,2,1,2,1
2248,1,2,1,2
2290,1,2,1,2
2367,1,0,1,0
2399,1,2,1,2
2401,0,2,0,2
2420,0,1,0,1
2436,1,0,1,0
2619,1,0,1,0
2621,1,0,1,0
2642,0,1,0,1
2682,1,2,1,2
2740,2,0,2,0
2774,1,2,1,2
2785,0,1,0,1
2819,0,1,0,1
2866,0,2,0,2
2874,2,1,2,1
2876,2,0,2,0
2891,0,2,0,2
2935,0,1,0,1
2974,2,1,2,1
2996,0,2,0,2
3003,2,1,2,1
3009,1,2,1,2
3030,1,2,1,2
3051,0,1,0,1
3106,1,2,1,2
3113,2,0,2,0
3130,0,1,0,1
3133,2,1,2,1
