index,true_label,pred_label,true_label_decoded,pred_label_decoded
60,0,2,0,2
66,2,1,2,1
105,1,2,1,2
126,1,0,1,0
288,2,0,2,0
454,0,2,0,2
465,0,2,0,2
525,1,0,1,0
569,1,0,1,0
632,1,2,1,2
653,1,2,1,2
758,1,0,1,0
800,0,1,0,1
807,2,1,2,1
810,2,1,2,1
813,1,0,1,0
820,2,1,2,1
837,2,1,2,1
891,2,0,2,0
982,1,2,1,2
987,1,0,1,0
989,1,2,1,2
1023,1,0,1,0
1118,2,0,2,0
1169,1,0,1,0
1221,1,2,1,2
1243,1,2,1,2
1303,2,0,2,0
1397,1,0,1,0
1437,1,2,1,2
1445,1,0,1,0
1462,1,2,1,2
1489,2,0,2,0
1490,2,1,2,1
1523,2,1,2,1
1542,1,2,1,2
1634,1,2,1,2
1676,0,1,0,1
1734,1,2,1,2
1748,1,0,1,0
1757,1,0,1,0
1764,2,1,2,1
1792,1,2,1,2
1830,2,1,2,1
1847,2,0,2,0
1908,1,0,1,0
1958,0,2,0,2
2062,1,0,1,0
2133,1,0,1,0
2145,1,0,1,0
2158,2,1,2,1
2286,2,0,2,0
2310,0,1,0,1
2312,0,1,0,1
2329,2,0,2,0
2334,2,1,2,1
2350,0,2,0,2
2397,1,0,1,0
2401,0,2,0,2
2414,0,2,0,2
2438,1,2,1,2
2452,0,2,0,2
2482,0,2,0,2
2484,1,2,1,2
2595,1,0,1,0
2714,1,2,1,2
2720,2,0,2,0
2748,2,1,2,1
2783,0,2,0,2
2887,0,1,0,1
2905,2,1,2,1
2996,0,2,0,2
