index,true_label,pred_label,true_label_decoded,pred_label_decoded
2,2,1,2,1
9,2,1,2,1
12,2,1,2,1
37,2,1,2,1
57,2,1,2,1
66,2,1,2,1
67,2,1,2,1
104,2,1,2,1
132,2,1,2,1
150,2,1,2,1
288,2,1,2,1
300,1,0,1,0
330,2,1,2,1
372,2,1,2,1
395,2,1,2,1
494,2,1,2,1
509,2,1,2,1
555,2,1,2,1
561,0,1,0,1
646,2,1,2,1
706,2,1,2,1
731,2,1,2,1
743,2,1,2,1
750,2,1,2,1
791,0,2,0,2
793,2,1,2,1
804,2,1,2,1
840,2,1,2,1
890,2,1,2,1
932,2,1,2,1
933,2,1,2,1
970,2,1,2,1
1010,2,1,2,1
1012,2,1,2,1
1272,0,1,0,1
1273,1,0,1,0
1299,1,0,1,0
1301,2,1,2,1
1304,2,1,2,1
1346,2,1,2,1
1388,2,1,2,1
1401,2,1,2,1
1403,2,1,2,1
1421,2,1,2,1
1432,0,2,0,2
1435,0,2,0,2
1447,2,1,2,1
1523,2,1,2,1
1566,2,1,2,1
1578,2,1,2,1
1588,2,1,2,1
1607,2,1,2,1
1623,2,1,2,1
1682,2,1,2,1
1710,2,1,2,1
1755,2,1,2,1
1791,2,1,2,1
1806,2,1,2,1
1833,0,1,0,1
1847,2,1,2,1
1915,2,1,2,1
1921,1,0,1,0
1948,2,1,2,1
1970,0,1,0,1
2041,2,1,2,1
2053,2,1,2,1
2232,2,1,2,1
2387,2,1,2,1
2411,2,1,2,1
2415,2,1,2,1
2417,2,1,2,1
2462,1,0,1,0
2464,2,1,2,1
2580,1,0,1,0
2633,0,1,0,1
2645,2,1,2,1
2676,2,1,2,1
2679,2,1,2,1
2683,2,1,2,1
2698,2,1,2,1
2831,1,0,1,0
2874,2,1,2,1
2875,2,1,2,1
2887,0,1,0,1
2952,1,0,1,0
3017,2,1,2,1
3024,2,1,2,1
3032,2,1,2,1
3040,2,1,2,1
