index,true_label,pred_label,true_label_decoded,pred_label_decoded
111,0,1,0,1
129,1,0,1,0
177,1,0,1,0
229,1,0,1,0
241,0,1,0,1
257,1,0,1,0
311,0,1,0,1
355,1,0,1,0
359,1,0,1,0
442,1,0,1,0
454,0,1,0,1
461,0,1,0,1
464,1,0,1,0
470,1,0,1,0
511,1,0,1,0
517,0,1,0,1
523,1,0,1,0
531,1,0,1,0
614,1,0,1,0
631,1,0,1,0
643,0,1,0,1
646,0,1,0,1
652,1,0,1,0
713,1,0,1,0
729,0,1,0,1
739,1,0,1,0
763,0,1,0,1
793,1,0,1,0
803,1,0,1,0
831,1,0,1,0
836,1,0,1,0
848,0,1,0,1
852,1,0,1,0
872,1,0,1,0
901,0,1,0,1
907,0,1,0,1
917,0,1,0,1
