index,true_label,pred_label,true_label_decoded,pred_label_decoded
18,1,0,1,0
21,0,1,0,1
30,0,1,0,1
46,1,0,1,0
59,0,1,0,1
100,1,0,1,0
106,1,0,1,0
152,1,0,1,0
187,1,0,1,0
189,0,1,0,1
206,1,0,1,0
210,1,0,1,0
211,0,1,0,1
214,1,0,1,0
229,1,0,1,0
241,0,1,0,1
244,0,1,0,1
258,1,0,1,0
259,1,0,1,0
281,1,0,1,0
297,1,0,1,0
329,0,1,0,1
377,1,0,1,0
384,0,1,0,1
404,0,1,0,1
436,1,0,1,0
456,0,1,0,1
459,1,0,1,0
613,1,0,1,0
622,0,1,0,1
640,1,0,1,0
650,1,0,1,0
670,1,0,1,0
684,1,0,1,0
696,1,0,1,0
713,1,0,1,0
724,0,1,0,1
737,1,0,1,0
742,1,0,1,0
792,1,0,1,0
805,1,0,1,0
832,1,0,1,0
834,1,0,1,0
836,1,0,1,0
848,0,1,0,1
866,1,0,1,0
884,1,0,1,0
915,0,1,0,1
