index,true_label,pred_label,true_label_decoded,pred_label_decoded
30,0,1,0,1
46,1,0,1,0
59,0,1,0,1
106,1,0,1,0
121,0,1,0,1
152,1,0,1,0
181,0,1,0,1
187,1,0,1,0
189,0,1,0,1
210,1,0,1,0
211,0,1,0,1
229,1,0,1,0
241,0,1,0,1
258,1,0,1,0
281,1,0,1,0
297,1,0,1,0
347,0,1,0,1
377,1,0,1,0
382,0,1,0,1
384,0,1,0,1
404,0,1,0,1
436,1,0,1,0
456,0,1,0,1
459,1,0,1,0
608,0,1,0,1
613,1,0,1,0
622,0,1,0,1
640,1,0,1,0
660,0,1,0,1
670,1,0,1,0
677,0,1,0,1
684,1,0,1,0
696,1,0,1,0
713,1,0,1,0
792,1,0,1,0
805,1,0,1,0
832,1,0,1,0
834,1,0,1,0
848,0,1,0,1
866,1,0,1,0
884,1,0,1,0
