index,true_label,pred_label,true_label_decoded,pred_label_decoded
78,0,1,0,1
89,1,0,1,0
121,0,1,0,1
150,0,1,0,1
154,0,1,0,1
162,1,0,1,0
181,0,1,0,1
187,1,0,1,0
208,0,1,0,1
219,0,1,0,1
259,1,0,1,0
361,1,0,1,0
395,1,0,1,0
444,0,1,0,1
454,0,1,0,1
456,0,1,0,1
463,0,1,0,1
469,0,1,0,1
479,0,1,0,1
493,0,1,0,1
513,1,0,1,0
520,1,0,1,0
523,1,0,1,0
524,0,1,0,1
529,0,1,0,1
577,1,0,1,0
586,1,0,1,0
660,0,1,0,1
681,0,1,0,1
715,1,0,1,0
763,0,1,0,1
781,1,0,1,0
792,1,0,1,0
803,1,0,1,0
827,1,0,1,0
832,1,0,1,0
883,0,1,0,1
