index,true_label,pred_label,true_label_decoded,pred_label_decoded
18,1,0,1,0
81,1,0,1,0
106,1,0,1,0
151,1,0,1,0
171,0,1,0,1
174,1,0,1,0
177,1,0,1,0
197,0,1,0,1
211,0,1,0,1
303,1,0,1,0
311,0,1,0,1
320,1,0,1,0
355,1,0,1,0
397,1,0,1,0
431,1,0,1,0
449,1,0,1,0
550,1,0,1,0
570,1,0,1,0
579,1,0,1,0
594,1,0,1,0
619,1,0,1,0
622,0,1,0,1
640,1,0,1,0
647,0,1,0,1
670,1,0,1,0
677,0,1,0,1
684,1,0,1,0
708,1,0,1,0
711,1,0,1,0
747,0,1,0,1
752,1,0,1,0
783,0,1,0,1
793,1,0,1,0
811,1,0,1,0
814,1,0,1,0
829,1,0,1,0
831,1,0,1,0
833,1,0,1,0
843,1,0,1,0
857,1,0,1,0
866,1,0,1,0
882,1,0,1,0
894,1,0,1,0
895,1,0,1,0
