index,true_label,pred_label,true_label_decoded,pred_label_decoded
30,0,1,0,1
59,0,1,0,1
100,1,0,1,0
144,1,0,1,0
163,0,1,0,1
167,0,1,0,1
191,0,1,0,1
208,0,1,0,1
241,0,1,0,1
275,0,1,0,1
290,1,0,1,0
320,1,0,1,0
340,1,0,1,0
359,1,0,1,0
366,0,1,0,1
367,0,1,0,1
377,1,0,1,0
386,1,0,1,0
395,1,0,1,0
419,0,1,0,1
423,0,1,0,1
442,1,0,1,0
467,0,1,0,1
470,1,0,1,0
477,1,0,1,0
513,1,0,1,0
520,1,0,1,0
561,0,1,0,1
577,1,0,1,0
622,0,1,0,1
629,0,1,0,1
650,1,0,1,0
652,1,0,1,0
654,0,1,0,1
670,1,0,1,0
674,0,1,0,1
709,0,1,0,1
750,1,0,1,0
787,1,0,1,0
836,1,0,1,0
852,1,0,1,0
872,1,0,1,0
891,0,1,0,1
911,1,0,1,0
