index,true_label,pred_label,true_label_decoded,pred_label_decoded
109,1,0,1,0
124,1,0,1,0
174,1,0,1,0
254,1,0,1,0
528,1,0,1,0
540,1,0,1,0
642,1,0,1,0
797,1,0,1,0
817,1,0,1,0
886,1,0,1,0
1227,1,0,1,0
1316,1,0,1,0
1413,1,0,1,0
1508,1,0,1,0
1540,1,0,1,0
1692,1,0,1,0
1832,1,0,1,0
1951,1,0,1,0
2039,1,0,1,0
2053,1,0,1,0
2158,1,0,1,0
2235,1,0,1,0
2298,1,0,1,0
2319,1,0,1,0
2377,1,0,1,0
2447,1,0,1,0
2629,1,0,1,0
3105,1,0,1,0
3260,1,0,1,0
3280,1,0,1,0
3294,1,0,1,0
3457,1,0,1,0
3469,1,0,1,0
3564,1,0,1,0
3664,1,0,1,0
3774,1,0,1,0
3865,1,0,1,0
4089,1,0,1,0
4098,1,0,1,0
4264,1,0,1,0
4791,1,0,1,0
5048,1,0,1,0
5262,1,0,1,0
5287,1,0,1,0
5499,1,0,1,0
5518,1,0,1,0
5541,1,0,1,0
5787,1,0,1,0
5788,1,0,1,0
5908,1,0,1,0
6300,1,0,1,0
6307,1,0,1,0
6310,1,0,1,0
6314,1,0,1,0
6352,1,0,1,0
6441,1,0,1,0
6488,1,0,1,0
6792,1,0,1,0
6855,1,0,1,0
6905,1,0,1,0
7262,1,0,1,0
7293,1,0,1,0
7351,1,0,1,0
7358,1,0,1,0
7380,1,0,1,0
7865,1,0,1,0
8002,1,0,1,0
8024,1,0,1,0
8401,1,0,1,0
8429,1,0,1,0
8522,1,0,1,0
8607,1,0,1,0
8745,1,0,1,0
8760,1,0,1,0
8851,1,0,1,0
9035,1,0,1,0
9162,1,0,1,0
9613,1,0,1,0
9667,1,0,1,0
9808,1,0,1,0
9838,1,0,1,0
9849,1,0,1,0
9915,1,0,1,0
9945,1,0,1,0
10093,1,0,1,0
10129,1,0,1,0
10404,1,0,1,0
10614,1,0,1,0
10616,1,0,1,0
10619,1,0,1,0
10729,1,0,1,0
10885,1,0,1,0
11003,1,0,1,0
11103,1,0,1,0
11274,1,0,1,0
11825,1,0,1,0
11833,1,0,1,0
12052,1,0,1,0
12078,1,0,1,0
12247,1,0,1,0
12281,1,0,1,0
12336,0,1,0,1
12348,0,1,0,1
12369,0,1,0,1
12396,0,1,0,1
12409,0,1,0,1
12424,0,1,0,1
12428,0,1,0,1
12435,0,1,0,1
12439,0,1,0,1
12451,0,1,0,1
12481,0,1,0,1
12514,0,1,0,1
12525,0,1,0,1
12530,0,1,0,1
12549,0,1,0,1
12566,0,1,0,1
12567,0,1,0,1
12572,0,1,0,1
12590,0,1,0,1
12599,0,1,0,1
12622,0,1,0,1
12635,0,1,0,1
12650,0,1,0,1
12655,0,1,0,1
12660,0,1,0,1
12668,0,1,0,1
12676,0,1,0,1
12682,0,1,0,1
12684,0,1,0,1
12687,0,1,0,1
12691,0,1,0,1
12717,0,1,0,1
12730,0,1,0,1
12731,0,1,0,1
12736,0,1,0,1
12747,0,1,0,1
12756,0,1,0,1
12759,0,1,0,1
12799,0,1,0,1
12808,0,1,0,1
12812,0,1,0,1
12816,0,1,0,1
12874,0,1,0,1
12881,0,1,0,1
12884,0,1,0,1
12903,0,1,0,1
12911,0,1,0,1
12929,0,1,0,1
12932,0,1,0,1
12945,0,1,0,1
12968,0,1,0,1
13005,0,1,0,1
13021,0,1,0,1
13022,0,1,0,1
13025,0,1,0,1
13032,0,1,0,1
13048,0,1,0,1
13054,0,1,0,1
13064,0,1,0,1
13097,0,1,0,1
13118,0,1,0,1
13123,0,1,0,1
13146,0,1,0,1
13163,0,1,0,1
13177,0,1,0,1
13188,0,1,0,1
13244,0,1,0,1
13260,0,1,0,1
13263,0,1,0,1
13327,0,1,0,1
13336,0,1,0,1
13344,0,1,0,1
13355,0,1,0,1
13380,0,1,0,1
13391,0,1,0,1
13403,0,1,0,1
13410,0,1,0,1
13416,0,1,0,1
