index,true_label,pred_label,true_label_decoded,pred_label_decoded
82,1,0,1,0
250,1,0,1,0
389,1,0,1,0
460,1,0,1,0
528,1,0,1,0
608,1,0,1,0
796,1,0,1,0
917,1,0,1,0
991,1,0,1,0
1008,1,0,1,0
1010,1,0,1,0
1038,1,0,1,0
1067,1,0,1,0
1184,1,0,1,0
1205,1,0,1,0
1490,1,0,1,0
1584,1,0,1,0
1624,1,0,1,0
1839,1,0,1,0
1987,1,0,1,0
2053,1,0,1,0
2100,1,0,1,0
2102,1,0,1,0
2165,1,0,1,0
2180,1,0,1,0
2257,1,0,1,0
2364,1,0,1,0
2637,1,0,1,0
2956,1,0,1,0
2995,1,0,1,0
3024,1,0,1,0
3043,1,0,1,0
3044,1,0,1,0
3505,1,0,1,0
3614,1,0,1,0
3664,1,0,1,0
3685,1,0,1,0
3802,1,0,1,0
3943,1,0,1,0
4170,1,0,1,0
4256,1,0,1,0
4393,1,0,1,0
4396,1,0,1,0
4504,1,0,1,0
4525,1,0,1,0
4571,1,0,1,0
4585,1,0,1,0
4660,1,0,1,0
4999,1,0,1,0
5038,1,0,1,0
5169,1,0,1,0
5519,1,0,1,0
5552,1,0,1,0
5627,1,0,1,0
5684,1,0,1,0
5700,1,0,1,0
5823,1,0,1,0
5832,1,0,1,0
5881,1,0,1,0
5952,1,0,1,0
5977,1,0,1,0
5992,1,0,1,0
6092,1,0,1,0
6261,1,0,1,0
6304,1,0,1,0
6385,1,0,1,0
6558,1,0,1,0
6559,1,0,1,0
6884,1,0,1,0
6886,1,0,1,0
7030,1,0,1,0
7031,1,0,1,0
7048,1,0,1,0
7159,1,0,1,0
7199,1,0,1,0
7263,1,0,1,0
7377,1,0,1,0
7395,1,0,1,0
7470,1,0,1,0
7549,1,0,1,0
7558,1,0,1,0
7614,1,0,1,0
7679,1,0,1,0
7719,1,0,1,0
7732,1,0,1,0
7833,1,0,1,0
7907,1,0,1,0
7927,1,0,1,0
8026,1,0,1,0
8155,1,0,1,0
8266,1,0,1,0
8286,1,0,1,0
8354,1,0,1,0
8401,1,0,1,0
8451,1,0,1,0
8465,1,0,1,0
8499,1,0,1,0
8517,1,0,1,0
8770,1,0,1,0
8847,1,0,1,0
8868,1,0,1,0
8999,1,0,1,0
9292,1,0,1,0
9387,1,0,1,0
9455,1,0,1,0
9522,1,0,1,0
9622,1,0,1,0
9808,1,0,1,0
9907,1,0,1,0
9933,1,0,1,0
9945,1,0,1,0
10338,1,0,1,0
10495,1,0,1,0
10624,1,0,1,0
10833,1,0,1,0
10850,1,0,1,0
10858,1,0,1,0
10866,1,0,1,0
10880,1,0,1,0
10883,1,0,1,0
11166,1,0,1,0
11173,1,0,1,0
11242,1,0,1,0
11288,1,0,1,0
11398,1,0,1,0
11447,1,0,1,0
11461,1,0,1,0
11523,1,0,1,0
11554,1,0,1,0
11556,1,0,1,0
11639,1,0,1,0
11810,1,0,1,0
11825,1,0,1,0
11833,1,0,1,0
11834,1,0,1,0
12002,1,0,1,0
12073,1,0,1,0
12269,1,0,1,0
12348,0,1,0,1
12378,0,1,0,1
12403,0,1,0,1
12425,0,1,0,1
12440,0,1,0,1
12449,0,1,0,1
12514,0,1,0,1
12546,0,1,0,1
12572,0,1,0,1
12586,0,1,0,1
12590,0,1,0,1
12622,0,1,0,1
12647,0,1,0,1
12699,0,1,0,1
12710,0,1,0,1
12746,0,1,0,1
12749,0,1,0,1
12752,0,1,0,1
12781,0,1,0,1
12796,0,1,0,1
12847,0,1,0,1
12858,0,1,0,1
12875,0,1,0,1
12889,0,1,0,1
12894,0,1,0,1
12914,0,1,0,1
12917,0,1,0,1
12932,0,1,0,1
12939,0,1,0,1
12942,0,1,0,1
12943,0,1,0,1
12944,0,1,0,1
12969,0,1,0,1
12986,0,1,0,1
13005,0,1,0,1
13095,0,1,0,1
13112,0,1,0,1
13182,0,1,0,1
13188,0,1,0,1
13198,0,1,0,1
13211,0,1,0,1
13236,0,1,0,1
13252,0,1,0,1
13259,0,1,0,1
13260,0,1,0,1
13268,0,1,0,1
13285,0,1,0,1
13317,0,1,0,1
13327,0,1,0,1
13333,0,1,0,1
13489,0,1,0,1
13493,0,1,0,1
13505,0,1,0,1
13529,0,1,0,1
13568,0,1,0,1
13583,0,1,0,1
13639,0,1,0,1
13694,0,1,0,1
13702,0,1,0,1
13744,0,1,0,1
13756,0,1,0,1
13825,0,1,0,1
13846,0,1,0,1
13866,0,1,0,1
13928,0,1,0,1
13949,0,1,0,1
14017,0,1,0,1
14047,0,1,0,1
14077,0,1,0,1
14158,0,1,0,1
14178,0,1,0,1
14217,0,1,0,1
14257,0,1,0,1
14263,0,1,0,1
14271,0,1,0,1
14294,0,1,0,1
14315,0,1,0,1
14331,0,1,0,1
14344,0,1,0,1
14396,0,1,0,1
14477,0,1,0,1
14512,0,1,0,1
14539,0,1,0,1
14559,0,1,0,1
14594,0,1,0,1
14607,0,1,0,1
14657,0,1,0,1
14664,0,1,0,1
14705,0,1,0,1
14711,0,1,0,1
14717,0,1,0,1
14724,0,1,0,1
14752,0,1,0,1
14769,0,1,0,1
14850,0,1,0,1
14873,0,1,0,1
14876,0,1,0,1
14915,0,1,0,1
14952,0,1,0,1
14959,0,1,0,1
14968,0,1,0,1
14974,0,1,0,1
14986,0,1,0,1
15016,0,1,0,1
15022,0,1,0,1
15029,0,1,0,1
15051,0,1,0,1
15064,0,1,0,1
15089,0,1,0,1
15166,0,1,0,1
15179,0,1,0,1
15181,0,1,0,1
15247,0,1,0,1
15257,0,1,0,1
15261,0,1,0,1
15279,0,1,0,1
15353,0,1,0,1
15360,0,1,0,1
15372,0,1,0,1
15387,0,1,0,1
15405,0,1,0,1
15406,0,1,0,1
15409,0,1,0,1
15417,0,1,0,1
15482,0,1,0,1
15485,0,1,0,1
15497,0,1,0,1
15508,0,1,0,1
15511,0,1,0,1
15536,0,1,0,1
15537,0,1,0,1
15569,0,1,0,1
15621,0,1,0,1
15626,0,1,0,1
15651,0,1,0,1
15682,0,1,0,1
15691,0,1,0,1
15693,0,1,0,1
15730,0,1,0,1
15743,0,1,0,1
15836,0,1,0,1
15848,0,1,0,1
15912,0,1,0,1
15926,0,1,0,1
15937,0,1,0,1
15941,0,1,0,1
15955,0,1,0,1
15966,0,1,0,1
15984,0,1,0,1
15986,0,1,0,1
15996,0,1,0,1
16001,0,1,0,1
16011,0,1,0,1
16022,0,1,0,1
16053,0,1,0,1
16077,0,1,0,1
16081,0,1,0,1
16108,0,1,0,1
16115,0,1,0,1
16123,0,1,0,1
16131,0,1,0,1
16177,0,1,0,1
16187,0,1,0,1
16197,0,1,0,1
16240,0,1,0,1
16245,0,1,0,1
16268,0,1,0,1
16297,0,1,0,1
16309,0,1,0,1
16311,0,1,0,1
16319,0,1,0,1
16326,0,1,0,1
16337,0,1,0,1
16343,0,1,0,1
16357,0,1,0,1
16407,0,1,0,1
16424,0,1,0,1
16469,0,1,0,1
16492,0,1,0,1
16547,0,1,0,1
16599,0,1,0,1
16625,0,1,0,1
16635,0,1,0,1
16647,0,1,0,1
16680,0,1,0,1
16683,0,1,0,1
16699,0,1,0,1
16728,0,1,0,1
16730,0,1,0,1
16735,0,1,0,1
16760,0,1,0,1
16763,0,1,0,1
16788,0,1,0,1
16791,0,1,0,1
16794,0,1,0,1
16797,0,1,0,1
16844,0,1,0,1
16848,0,1,0,1
16849,0,1,0,1
16851,0,1,0,1
16858,0,1,0,1
16887,0,1,0,1
16939,0,1,0,1
16958,0,1,0,1
16984,0,1,0,1
16985,0,1,0,1
16997,0,1,0,1
17008,0,1,0,1
17015,0,1,0,1
17017,0,1,0,1
17038,0,1,0,1
17057,0,1,0,1
17065,0,1,0,1
17094,0,1,0,1
17114,0,1,0,1
17138,0,1,0,1
17177,0,1,0,1
17178,0,1,0,1
17182,0,1,0,1
17204,0,1,0,1
17214,0,1,0,1
17243,0,1,0,1
17284,0,1,0,1
17311,0,1,0,1
17349,0,1,0,1
17452,0,1,0,1
17469,0,1,0,1
17474,0,1,0,1
17478,0,1,0,1
17494,0,1,0,1
17496,0,1,0,1
17500,0,1,0,1
17515,0,1,0,1
17536,0,1,0,1
17553,0,1,0,1
17555,0,1,0,1
17570,0,1,0,1
17609,0,1,0,1
17635,0,1,0,1
17645,0,1,0,1
17666,0,1,0,1
17675,0,1,0,1
17696,0,1,0,1
17715,0,1,0,1
17746,0,1,0,1
17782,0,1,0,1
17784,0,1,0,1
17804,0,1,0,1
17835,0,1,0,1
17876,0,1,0,1
17889,0,1,0,1
17989,0,1,0,1
18013,0,1,0,1
18021,0,1,0,1
18031,0,1,0,1
18069,0,1,0,1
18144,0,1,0,1
18171,0,1,0,1
18182,0,1,0,1
18190,0,1,0,1
18225,0,1,0,1
18231,0,1,0,1
18240,0,1,0,1
18248,0,1,0,1
18257,0,1,0,1
18309,0,1,0,1
18335,0,1,0,1
18405,0,1,0,1
18431,0,1,0,1
18448,0,1,0,1
18479,0,1,0,1
18499,0,1,0,1
18544,0,1,0,1
18550,0,1,0,1
18581,0,1,0,1
18605,0,1,0,1
18616,0,1,0,1
18619,0,1,0,1
18687,0,1,0,1
18725,0,1,0,1
18728,0,1,0,1
18732,0,1,0,1
