index,true_label,pred_label,true_label_decoded,pred_label_decoded
14,1,0,1,0
20,1,0,1,0
98,1,0,1,0
179,1,0,1,0
203,1,0,1,0
326,1,0,1,0
435,1,0,1,0
506,1,0,1,0
605,1,0,1,0
718,1,0,1,0
747,1,0,1,0
898,1,0,1,0
1002,1,0,1,0
1008,1,0,1,0
1032,1,0,1,0
1038,1,0,1,0
1064,1,0,1,0
1482,1,0,1,0
1507,1,0,1,0
1633,1,0,1,0
1665,1,0,1,0
1678,1,0,1,0
1681,1,0,1,0
1791,1,0,1,0
1952,1,0,1,0
2024,1,0,1,0
2053,1,0,1,0
2074,1,0,1,0
2100,1,0,1,0
2169,1,0,1,0
2364,1,0,1,0
2454,1,0,1,0
2502,1,0,1,0
2611,1,0,1,0
2758,1,0,1,0
2788,1,0,1,0
2794,1,0,1,0
2820,1,0,1,0
2831,1,0,1,0
2848,1,0,1,0
2956,1,0,1,0
2974,1,0,1,0
3031,1,0,1,0
3044,1,0,1,0
3088,1,0,1,0
3167,1,0,1,0
3461,1,0,1,0
3491,1,0,1,0
3572,1,0,1,0
3582,1,0,1,0
3634,1,0,1,0
3678,1,0,1,0
3802,1,0,1,0
3998,1,0,1,0
4077,1,0,1,0
4078,1,0,1,0
4170,1,0,1,0
4276,1,0,1,0
4419,1,0,1,0
4438,1,0,1,0
4525,1,0,1,0
4535,1,0,1,0
4691,1,0,1,0
4746,1,0,1,0
4892,1,0,1,0
5154,1,0,1,0
5217,1,0,1,0
5262,1,0,1,0
5269,1,0,1,0
5539,1,0,1,0
5734,1,0,1,0
5788,1,0,1,0
6016,1,0,1,0
6059,1,0,1,0
6087,1,0,1,0
6103,1,0,1,0
6153,1,0,1,0
6157,1,0,1,0
6303,1,0,1,0
6304,1,0,1,0
6559,1,0,1,0
6685,1,0,1,0
6711,1,0,1,0
7080,1,0,1,0
7351,1,0,1,0
7359,1,0,1,0
7377,1,0,1,0
7385,1,0,1,0
7558,1,0,1,0
7697,1,0,1,0
7770,1,0,1,0
7797,1,0,1,0
7806,1,0,1,0
7836,1,0,1,0
7927,1,0,1,0
7944,1,0,1,0
7965,1,0,1,0
8039,1,0,1,0
8067,1,0,1,0
8117,1,0,1,0
8142,1,0,1,0
8162,1,0,1,0
8266,1,0,1,0
8279,1,0,1,0
8321,1,0,1,0
8343,1,0,1,0
8381,1,0,1,0
8385,1,0,1,0
8451,1,0,1,0
8465,1,0,1,0
8515,1,0,1,0
8537,1,0,1,0
8548,1,0,1,0
8839,1,0,1,0
8885,1,0,1,0
8912,1,0,1,0
8936,1,0,1,0
8950,1,0,1,0
9029,1,0,1,0
9114,1,0,1,0
9327,1,0,1,0
9522,1,0,1,0
9556,1,0,1,0
9715,1,0,1,0
9763,1,0,1,0
9907,1,0,1,0
10055,1,0,1,0
10155,1,0,1,0
10264,1,0,1,0
10279,1,0,1,0
10401,1,0,1,0
10415,1,0,1,0
10442,1,0,1,0
10589,1,0,1,0
10662,1,0,1,0
10772,1,0,1,0
10817,1,0,1,0
10858,1,0,1,0
10868,1,0,1,0
10989,1,0,1,0
11097,1,0,1,0
11129,1,0,1,0
11206,1,0,1,0
11242,1,0,1,0
11475,1,0,1,0
11553,1,0,1,0
11576,1,0,1,0
11626,1,0,1,0
11639,1,0,1,0
11641,1,0,1,0
11676,1,0,1,0
11736,1,0,1,0
11738,1,0,1,0
11829,1,0,1,0
11863,1,0,1,0
11931,1,0,1,0
12113,1,0,1,0
12153,1,0,1,0
12165,1,0,1,0
12175,1,0,1,0
12216,1,0,1,0
12247,1,0,1,0
12332,0,1,0,1
12348,0,1,0,1
12403,0,1,0,1
12404,0,1,0,1
12431,0,1,0,1
12471,0,1,0,1
12502,0,1,0,1
12510,0,1,0,1
12538,0,1,0,1
12572,0,1,0,1
12576,0,1,0,1
12586,0,1,0,1
12637,0,1,0,1
12699,0,1,0,1
12706,0,1,0,1
12717,0,1,0,1
12741,0,1,0,1
12743,0,1,0,1
12746,0,1,0,1
12749,0,1,0,1
12800,0,1,0,1
12802,0,1,0,1
12854,0,1,0,1
12863,0,1,0,1
12898,0,1,0,1
12911,0,1,0,1
12913,0,1,0,1
12930,0,1,0,1
12943,0,1,0,1
12945,0,1,0,1
12950,0,1,0,1
12962,0,1,0,1
12971,0,1,0,1
13011,0,1,0,1
13025,0,1,0,1
13097,0,1,0,1
13118,0,1,0,1
13185,0,1,0,1
13198,0,1,0,1
13200,0,1,0,1
13209,0,1,0,1
13259,0,1,0,1
13263,0,1,0,1
13291,0,1,0,1
13301,0,1,0,1
13317,0,1,0,1
13350,0,1,0,1
13356,0,1,0,1
13362,0,1,0,1
13377,0,1,0,1
13389,0,1,0,1
13401,0,1,0,1
13427,0,1,0,1
13430,0,1,0,1
13442,0,1,0,1
13459,0,1,0,1
13512,0,1,0,1
13530,0,1,0,1
13535,0,1,0,1
13542,0,1,0,1
13555,0,1,0,1
13578,0,1,0,1
13590,0,1,0,1
13608,0,1,0,1
13660,0,1,0,1
13669,0,1,0,1
13682,0,1,0,1
13726,0,1,0,1
13744,0,1,0,1
13763,0,1,0,1
13904,0,1,0,1
13912,0,1,0,1
13928,0,1,0,1
13979,0,1,0,1
13991,0,1,0,1
14038,0,1,0,1
14067,0,1,0,1
14071,0,1,0,1
14072,0,1,0,1
14130,0,1,0,1
14146,0,1,0,1
14167,0,1,0,1
14217,0,1,0,1
14237,0,1,0,1
14257,0,1,0,1
14260,0,1,0,1
14272,0,1,0,1
14277,0,1,0,1
14286,0,1,0,1
14294,0,1,0,1
14331,0,1,0,1
14354,0,1,0,1
14366,0,1,0,1
14473,0,1,0,1
14553,0,1,0,1
14575,0,1,0,1
14610,0,1,0,1
14619,0,1,0,1
14621,0,1,0,1
14674,0,1,0,1
14686,0,1,0,1
14705,0,1,0,1
14711,0,1,0,1
14716,0,1,0,1
14737,0,1,0,1
14752,0,1,0,1
14767,0,1,0,1
14779,0,1,0,1
14798,0,1,0,1
14835,0,1,0,1
