index,true_label,pred_label,true_label_decoded,pred_label_decoded
86,1,0,1,0
96,1,0,1,0
286,1,0,1,0
336,1,0,1,0
368,1,0,1,0
390,1,0,1,0
528,1,0,1,0
608,1,0,1,0
675,1,0,1,0
758,1,0,1,0
916,1,0,1,0
1008,1,0,1,0
1032,1,0,1,0
1038,1,0,1,0
1080,1,0,1,0
1098,1,0,1,0
1167,1,0,1,0
1203,1,0,1,0
1462,1,0,1,0
1508,1,0,1,0
1537,1,0,1,0
1584,1,0,1,0
1633,1,0,1,0
1679,1,0,1,0
1814,1,0,1,0
1891,1,0,1,0
1928,1,0,1,0
1930,1,0,1,0
2014,1,0,1,0
2088,1,0,1,0
2165,1,0,1,0
2314,1,0,1,0
2392,1,0,1,0
2565,1,0,1,0
2568,1,0,1,0
2574,1,0,1,0
2606,1,0,1,0
2637,1,0,1,0
2706,1,0,1,0
2794,1,0,1,0
2799,1,0,1,0
2995,1,0,1,0
3031,1,0,1,0
3105,1,0,1,0
3127,1,0,1,0
3143,1,0,1,0
3223,1,0,1,0
3242,1,0,1,0
3614,1,0,1,0
3689,1,0,1,0
3720,1,0,1,0
3830,1,0,1,0
3865,1,0,1,0
3933,1,0,1,0
4004,1,0,1,0
4021,1,0,1,0
4159,1,0,1,0
4264,1,0,1,0
4320,1,0,1,0
4361,1,0,1,0
4438,1,0,1,0
4520,1,0,1,0
4521,1,0,1,0
4760,1,0,1,0
5187,1,0,1,0
5222,1,0,1,0
5232,1,0,1,0
5400,1,0,1,0
5459,1,0,1,0
5551,1,0,1,0
5627,1,0,1,0
5700,1,0,1,0
5734,1,0,1,0
5774,1,0,1,0
5822,1,0,1,0
5852,1,0,1,0
6085,1,0,1,0
6323,1,0,1,0
6352,1,0,1,0
6358,1,0,1,0
6388,1,0,1,0
6532,1,0,1,0
6711,1,0,1,0
6742,1,0,1,0
7036,1,0,1,0
7048,1,0,1,0
7159,1,0,1,0
7220,1,0,1,0
7226,1,0,1,0
7333,1,0,1,0
7377,1,0,1,0
7553,1,0,1,0
7558,1,0,1,0
7563,1,0,1,0
7601,1,0,1,0
7679,1,0,1,0
7697,1,0,1,0
8000,1,0,1,0
8162,1,0,1,0
8185,1,0,1,0
8282,1,0,1,0
8381,1,0,1,0
8434,1,0,1,0
8530,1,0,1,0
8770,1,0,1,0
8782,1,0,1,0
8830,1,0,1,0
8851,1,0,1,0
8893,1,0,1,0
9035,1,0,1,0
9060,1,0,1,0
9131,1,0,1,0
9270,1,0,1,0
9288,1,0,1,0
9507,1,0,1,0
9542,1,0,1,0
9651,1,0,1,0
9723,1,0,1,0
9734,1,0,1,0
9756,1,0,1,0
9933,1,0,1,0
9944,1,0,1,0
9978,1,0,1,0
9982,1,0,1,0
10055,1,0,1,0
10121,1,0,1,0
10139,1,0,1,0
10344,1,0,1,0
10372,1,0,1,0
10549,1,0,1,0
10699,1,0,1,0
10707,1,0,1,0
10912,1,0,1,0
10989,1,0,1,0
11119,1,0,1,0
11141,1,0,1,0
11166,1,0,1,0
11195,1,0,1,0
11342,1,0,1,0
11627,1,0,1,0
11671,1,0,1,0
11809,1,0,1,0
11894,1,0,1,0
11920,1,0,1,0
12002,1,0,1,0
12073,1,0,1,0
12122,1,0,1,0
12174,1,0,1,0
12287,1,0,1,0
12356,0,1,0,1
12359,0,1,0,1
12373,0,1,0,1
12378,0,1,0,1
12389,0,1,0,1
12409,0,1,0,1
12425,0,1,0,1
12452,0,1,0,1
12473,0,1,0,1
12505,0,1,0,1
12538,0,1,0,1
12551,0,1,0,1
12590,0,1,0,1
12622,0,1,0,1
12649,0,1,0,1
12655,0,1,0,1
12660,0,1,0,1
12722,0,1,0,1
12738,0,1,0,1
12749,0,1,0,1
12853,0,1,0,1
12854,0,1,0,1
12863,0,1,0,1
12902,0,1,0,1
12931,0,1,0,1
12935,0,1,0,1
12945,0,1,0,1
13014,0,1,0,1
13024,0,1,0,1
13090,0,1,0,1
13091,0,1,0,1
13096,0,1,0,1
13112,0,1,0,1
13186,0,1,0,1
13211,0,1,0,1
13268,0,1,0,1
13295,0,1,0,1
13320,0,1,0,1
13323,0,1,0,1
13330,0,1,0,1
13375,0,1,0,1
13401,0,1,0,1
13410,0,1,0,1
13459,0,1,0,1
13495,0,1,0,1
13529,0,1,0,1
13530,0,1,0,1
13589,0,1,0,1
13685,0,1,0,1
13704,0,1,0,1
13720,0,1,0,1
13764,0,1,0,1
13773,0,1,0,1
13811,0,1,0,1
13846,0,1,0,1
13949,0,1,0,1
14008,0,1,0,1
14038,0,1,0,1
14039,0,1,0,1
14047,0,1,0,1
14133,0,1,0,1
14146,0,1,0,1
14162,0,1,0,1
14237,0,1,0,1
14243,0,1,0,1
14271,0,1,0,1
14290,0,1,0,1
14294,0,1,0,1
14311,0,1,0,1
14339,0,1,0,1
14362,0,1,0,1
14381,0,1,0,1
14382,0,1,0,1
14400,0,1,0,1
14415,0,1,0,1
14442,0,1,0,1
14473,0,1,0,1
14489,0,1,0,1
14530,0,1,0,1
14561,0,1,0,1
14610,0,1,0,1
14664,0,1,0,1
14675,0,1,0,1
14701,0,1,0,1
14733,0,1,0,1
