index,true_label,pred_label,true_label_decoded,pred_label_decoded
23,1,0,1,0
31,2,1,2,1
45,1,0,1,0
70,1,0,1,0
116,1,0,1,0
138,1,0,1,0
169,0,1,0,1
189,1,0,1,0
211,1,0,1,0
236,1,0,1,0
251,2,3,2,3
252,1,0,1,0
273,1,0,1,0
306,1,0,1,0
349,1,0,1,0
358,1,0,1,0
388,1,0,1,0
389,0,1,0,1
393,2,1,2,1
402,1,0,1,0
406,1,0,1,0
423,1,0,1,0
474,1,0,1,0
525,3,1,3,1
545,1,0,1,0
554,2,1,2,1
594,1,0,1,0
602,1,0,1,0
604,1,0,1,0
643,4,1,4,1
672,0,1,0,1
709,2,1,2,1
719,2,1,2,1
733,1,0,1,0
758,1,0,1,0
763,1,0,1,0
770,1,0,1,0
776,3,2,3,2
787,1,0,1,0
801,1,0,1,0
808,3,1,3,1
820,2,1,2,1
868,2,1,2,1
889,0,1,0,1
896,1,0,1,0
918,4,1,4,1
955,1,0,1,0
991,0,1,0,1
1011,2,1,2,1
1012,6,1,6,1
1017,1,0,1,0
1018,0,1,0,1
1030,0,1,0,1
1033,3,1,3,1
1037,1,0,1,0
1045,1,0,1,0
1058,0,1,0,1
1059,0,1,0,1
1088,1,0,1,0
1093,0,1,0,1
1120,1,0,1,0
1127,1,0,1,0
1132,3,1,3,1
1133,2,1,2,1
1159,0,1,0,1
1161,1,0,1,0
1183,1,0,1,0
1203,0,1,0,1
1206,1,0,1,0
1211,0,1,0,1
1222,1,0,1,0
1233,2,1,2,1
1268,1,0,1,0
1288,0,1,0,1
1305,3,1,3,1
1331,0,1,0,1
1332,1,0,1,0
1339,1,0,1,0
1386,2,1,2,1
1396,5,0,5,0
1432,1,0,1,0
1476,3,1,3,1
1492,1,0,1,0
1522,1,0,1,0
1543,1,0,1,0
1544,1,0,1,0
1573,0,1,0,1
1609,0,1,0,1
1658,0,1,0,1
1674,1,0,1,0
1759,1,0,1,0
1807,1,0,1,0
1931,1,0,1,0
1983,2,1,2,1
2013,1,0,1,0
