index,true_label,pred_label,true_label_decoded,pred_label_decoded
16,1,0,1,0
23,1,0,1,0
31,2,1,2,1
45,1,0,1,0
51,0,1,0,1
70,1,0,1,0
81,0,1,0,1
116,1,0,1,0
138,1,0,1,0
154,0,4,0,4
186,0,1,0,1
189,1,0,1,0
201,0,1,0,1
205,1,0,1,0
211,1,0,1,0
235,0,1,0,1
236,1,0,1,0
251,2,1,2,1
252,1,0,1,0
254,1,0,1,0
273,1,0,1,0
278,0,1,0,1
299,1,0,1,0
306,1,0,1,0
348,1,0,1,0
349,1,0,1,0
358,1,0,1,0
393,2,1,2,1
401,0,7,0,7
402,1,0,1,0
405,1,0,1,0
406,1,0,1,0
423,1,0,1,0
427,0,1,0,1
428,1,0,1,0
474,1,0,1,0
486,2,7,2,7
487,1,0,1,0
497,0,1,0,1
505,2,1,2,1
508,1,0,1,0
515,1,0,1,0
522,3,1,3,1
525,3,1,3,1
545,1,0,1,0
554,2,1,2,1
555,0,7,0,7
579,0,3,0,3
594,1,0,1,0
602,1,0,1,0
604,1,0,1,0
608,2,1,2,1
643,4,1,4,1
672,0,1,0,1
678,0,1,0,1
703,3,1,3,1
709,2,1,2,1
710,0,1,0,1
719,2,1,2,1
733,1,0,1,0
757,1,0,1,0
763,1,0,1,0
770,1,0,1,0
775,1,0,1,0
776,3,1,3,1
790,1,0,1,0
818,1,0,1,0
819,3,1,3,1
820,2,1,2,1
824,0,1,0,1
868,2,1,2,1
889,0,1,0,1
896,1,0,1,0
918,4,1,4,1
927,1,0,1,0
947,2,1,2,1
952,2,1,2,1
955,1,0,1,0
984,1,0,1,0
996,1,0,1,0
1011,2,1,2,1
1018,0,1,0,1
1033,3,1,3,1
1037,1,0,1,0
1088,1,0,1,0
1093,0,1,0,1
1100,1,0,1,0
1103,1,0,1,0
1105,1,0,1,0
1120,1,0,1,0
1127,1,0,1,0
1132,3,0,3,0
1133,2,1,2,1
1136,0,1,0,1
1159,0,1,0,1
1161,1,0,1,0
1176,0,7,0,7
1183,1,0,1,0
1189,0,7,0,7
1193,5,0,5,0
1203,0,1,0,1
1206,1,0,1,0
1211,0,1,0,1
1218,1,0,1,0
1222,1,0,1,0
1227,1,2,1,2
1233,2,0,2,0
1235,0,1,0,1
1268,1,0,1,0
1286,1,0,1,0
1295,1,0,1,0
1305,3,1,3,1
1331,0,1,0,1
1332,1,0,1,0
1339,1,0,1,0
1347,0,1,0,1
1357,1,0,1,0
1360,1,0,1,0
1375,1,3,1,3
1386,2,1,2,1
1387,1,0,1,0
1396,5,0,5,0
1432,1,0,1,0
1436,0,1,0,1
1453,1,0,1,0
1476,3,0,3,0
1488,0,1,0,1
1492,1,0,1,0
1496,1,0,1,0
1501,1,0,1,0
1510,0,1,0,1
1522,1,0,1,0
1543,1,7,1,7
1544,1,0,1,0
1562,1,0,1,0
1573,0,1,0,1
1609,0,1,0,1
1618,1,0,1,0
1647,1,7,1,7
1674,1,0,1,0
1693,1,0,1,0
1694,1,7,1,7
1746,1,0,1,0
1790,1,0,1,0
1819,0,1,0,1
1823,0,1,0,1
1830,2,3,2,3
1857,1,0,1,0
1858,1,0,1,0
1859,1,0,1,0
1886,5,0,5,0
1887,1,0,1,0
1891,1,0,1,0
1920,1,0,1,0
1928,0,1,0,1
1983,2,1,2,1
2008,1,0,1,0
2013,1,0,1,0
2022,1,0,1,0
2038,1,0,1,0
2045,1,0,1,0
2053,1,7,1,7
2070,1,0,1,0
2078,1,0,1,0
2083,1,0,1,0
2084,1,0,1,0
2097,1,0,1,0
2105,1,0,1,0
2119,2,1,2,1
2125,1,0,1,0
2161,1,0,1,0
2176,0,1,0,1
2181,1,0,1,0
2265,1,0,1,0
2278,1,0,1,0
2279,2,1,2,1
2280,1,0,1,0
2283,7,3,7,3
2293,6,1,6,1
2300,0,1,0,1
2312,0,1,0,1
2319,1,0,1,0
2329,0,1,0,1
2345,1,0,1,0
2347,1,0,1,0
