index,true_label,pred_label,true_label_decoded,pred_label_decoded
4,0,1,0,1
129,1,0,1,0
143,2,1,2,1
144,1,0,1,0
145,1,0,1,0
149,1,0,1,0
189,1,0,1,0
240,1,0,1,0
250,1,0,1,0
251,2,1,2,1
252,1,0,1,0
261,1,0,1,0
271,1,0,1,0
304,1,0,1,0
349,1,0,1,0
369,2,1,2,1
392,2,1,2,1
466,1,0,1,0
471,2,1,2,1
523,0,1,0,1
534,2,1,2,1
545,1,0,1,0
576,1,0,1,0
577,1,0,1,0
616,2,1,2,1
718,2,1,2,1
719,2,1,2,1
725,2,1,2,1
733,1,0,1,0
742,1,0,1,0
763,1,0,1,0
765,1,0,1,0
770,1,0,1,0
780,1,0,1,0
820,2,1,2,1
832,1,0,1,0
856,3,1,3,1
868,2,1,2,1
872,2,1,2,1
881,2,1,2,1
889,0,1,0,1
908,1,0,1,0
960,1,0,1,0
989,1,0,1,0
1030,0,1,0,1
1033,3,1,3,1
1036,1,0,1,0
1044,2,1,2,1
1078,1,0,1,0
1097,1,0,1,0
1105,1,0,1,0
1126,1,0,1,0
1127,1,0,1,0
1168,7,3,7,3
1183,1,0,1,0
1228,1,0,1,0
1244,1,0,1,0
1267,1,0,1,0
1268,1,0,1,0
1270,2,1,2,1
1286,1,0,1,0
1309,1,0,1,0
1317,1,0,1,0
1324,1,0,1,0
1349,2,1,2,1
1386,2,1,2,1
1405,1,0,1,0
1407,1,0,1,0
1427,1,0,1,0
1428,1,0,1,0
1456,1,0,1,0
1525,1,0,1,0
1538,0,1,0,1
1569,0,1,0,1
1671,1,0,1,0
1698,3,1,3,1
1710,3,1,3,1
1822,1,0,1,0
1827,0,1,0,1
1864,1,0,1,0
1924,1,0,1,0
1929,1,0,1,0
1947,0,1,0,1
1951,1,0,1,0
1976,3,1,3,1
1984,2,1,2,1
2085,3,1,3,1
2088,1,0,1,0
2144,1,0,1,0
2158,1,0,1,0
2197,2,1,2,1
2219,1,0,1,0
2227,0,1,0,1
2236,1,0,1,0
2238,0,1,0,1
2243,1,0,1,0
2280,1,0,1,0
2290,3,1,3,1
2302,1,0,1,0
2313,1,0,1,0
2319,1,0,1,0
2341,2,1,2,1
2344,2,1,2,1
2357,1,0,1,0
2360,0,1,0,1
2377,0,1,0,1
2394,1,0,1,0
2395,0,1,0,1
2462,2,1,2,1
2463,1,0,1,0
2484,2,1,2,1
2486,1,0,1,0
2490,1,0,1,0
2495,1,0,1,0
2501,2,1,2,1
2530,3,1,3,1
2559,1,0,1,0
2565,1,0,1,0
2652,1,0,1,0
2663,1,0,1,0
2683,2,1,2,1
2702,0,1,0,1
2750,2,1,2,1
2771,1,0,1,0
2772,2,1,2,1
2809,1,0,1,0
2813,4,1,4,1
2833,1,0,1,0
2857,1,0,1,0
2892,2,1,2,1
