index,true_label,pred_label,true_label_decoded,pred_label_decoded
20,13,1,13,1
47,0,1,0,1
73,8,0,8,0
76,1,2,1,2
130,0,2,0,2
132,9,8,9,8
152,1,2,1,2
167,7,0,7,0
172,7,4,7,4
209,5,1,5,1
211,14,0,14,0
215,11,1,11,1
234,7,1,7,1
256,13,1,13,1
261,13,1,13,1
284,9,2,9,2
295,9,0,9,0
315,0,1,0,1
325,2,0,2,0
335,10,5,10,5
337,0,2,0,2
390,14,2,14,2
399,11,1,11,1
409,7,0,7,0
419,0,2,0,2
422,1,2,1,2
423,0,2,0,2
443,0,2,0,2
474,1,2,1,2
551,10,1,10,1
555,14,2,14,2
570,1,2,1,2
584,1,2,1,2
592,14,2,14,2
612,0,2,0,2
617,9,2,9,2
632,5,1,5,1
682,3,5,3,5
