index,true_label,pred_label,true_label_decoded,pred_label_decoded
19,0,2,1,3
516,2,1,3,2
639,0,2,1,3
867,1,2,2,3
893,1,2,2,3
1051,2,1,3,2
1233,1,2,2,3
1523,1,2,2,3
1659,0,2,1,3
1676,2,1,3,2
1946,1,2,2,3
2170,1,2,2,3
2236,0,2,1,3
2382,0,2,1,3
2458,1,2,2,3
2667,1,2,2,3
2879,2,1,3,2
2930,1,2,2,3
3097,1,2,2,3
3174,1,0,2,1
3254,1,2,2,3
3732,1,2,2,3
3840,2,1,3,2
4054,1,2,2,3
4192,1,2,2,3
4267,1,2,2,3
5175,0,2,1,3
5331,2,1,3,2
5557,0,2,1,3
5613,1,2,2,3
6268,2,1,3,2
6289,1,2,2,3
6882,0,1,1,2
6909,0,2,1,3
