index,true_label,pred_label,true_label_decoded,pred_label_decoded
84,1,2,2,3
105,0,2,1,3
147,0,2,1,3
462,1,2,2,3
497,1,2,2,3
569,1,2,2,3
604,1,2,2,3
608,1,2,2,3
690,1,2,2,3
745,1,2,2,3
772,1,2,2,3
787,1,2,2,3
838,0,2,1,3
907,1,2,2,3
908,1,2,2,3
920,1,2,2,3
1057,0,2,1,3
1108,1,2,2,3
1233,1,2,2,3
1295,1,2,2,3
1360,1,2,2,3
1428,1,2,2,3
1523,1,2,2,3
1540,1,2,2,3
1573,1,2,2,3
1601,1,2,2,3
1634,1,2,2,3
1804,1,2,2,3
1824,1,2,2,3
1867,0,2,1,3
1912,1,2,2,3
1934,1,2,2,3
1986,1,2,2,3
2216,1,2,2,3
2236,0,2,1,3
2452,1,2,2,3
2455,1,2,2,3
2515,0,2,1,3
2895,1,2,2,3
2930,1,2,2,3
2945,0,2,1,3
3010,1,2,2,3
3037,1,2,2,3
3072,1,2,2,3
3176,1,2,2,3
3240,1,2,2,3
3245,1,2,2,3
3304,1,2,2,3
3306,1,2,2,3
3435,1,2,2,3
3475,1,2,2,3
3570,1,2,2,3
3605,1,2,2,3
3649,1,2,2,3
3798,1,2,2,3
3799,1,2,2,3
3897,1,2,2,3
3938,1,2,2,3
3966,1,2,2,3
4093,1,2,2,3
4155,1,2,2,3
4267,1,2,2,3
4376,1,2,2,3
4613,1,2,2,3
4973,0,2,1,3
4981,0,2,1,3
4997,1,2,2,3
5153,0,2,1,3
5350,1,2,2,3
5457,1,2,2,3
5471,1,2,2,3
5530,1,2,2,3
5618,1,2,2,3
5781,1,2,2,3
5874,1,2,2,3
5930,1,2,2,3
5949,1,2,2,3
5978,1,2,2,3
6232,1,2,2,3
6293,1,2,2,3
6295,1,2,2,3
6703,1,2,2,3
6909,0,2,1,3
6946,0,2,1,3
7067,1,2,2,3
7117,1,2,2,3
7181,1,2,2,3
