model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04578971862792969
XGBoost,0,0,test,0.95,0.9370471014492754,0.9514619883040936,0.9370471014492754,0.9436490138577425,0.9501754385964911,0.95,0.9495946179058133,0.9966032608695653,0.04578971862792969
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4385719299316406
LightGBM,0,0,test,0.9714285714285714,0.9633152173913043,0.973172987974098,0.9633152173913043,0.9679707160832762,0.9715739394740321,0.9714285714285714,0.9712782298918196,0.9981884057971014,1.4385719299316406
CatBoost,0,0,train,0.9803220035778175,0.9800744641694272,0.9766332152695789,0.9800744641694272,0.9783166009006246,0.9804545348942811,0.9803220035778175,0.980357393036827,0.9981737874798267,0.31011176109313965
CatBoost,0,0,test,0.9714285714285714,0.9633152173913043,0.973172987974098,0.9633152173913043,0.9679707160832762,0.9715739394740321,0.9714285714285714,0.9712782298918196,0.9956974637681159,0.31011176109313965
TabNet,0,0,train,0.9677996422182469,0.9656134092131714,0.9633699633699633,0.9656134092131714,0.9644753565880526,0.9679044866880289,0.9677996422182469,0.9678385227519333,0.9941391319120021,55.702754735946655
TabNet,0,0,test,0.9785714285714285,0.973731884057971,0.9786090139556165,0.973731884057971,0.9761024182076814,0.9785730627185671,0.9785714285714285,0.9785165616744564,0.9961503623188407,55.702754735946655
FT-Transformer (lite),0,0,train,0.9928443649373881,0.994535519125683,0.9898477157360406,0.994535519125683,0.9921245421245422,0.9929896570198778,0.9928443649373881,0.9928614021637276,0.9999009031965796,25.274411916732788
FT-Transformer (lite),0,0,test,0.95,0.9470108695652174,0.9427001569858713,0.9470108695652174,0.9447918427130866,0.9503476115721015,0.95,0.9501211199369051,0.9848278985507247,25.274411916732788
IGTD-inspired,0,0,train,0.9677996422182469,0.9680625159262719,0.9615159128978223,0.9680625159262719,0.9646441221116546,0.968267994714179,0.9677996422182469,0.9679130141981244,0.9965882386251026,16.27371382713318
IGTD-inspired,0,0,test,0.9785714285714285,0.978713768115942,0.9740973312401884,0.978713768115942,0.9763393611627513,0.9787844808252972,0.9785714285714285,0.9786233371158163,0.9988677536231884,16.27371382713318
Naive Reshape,0,0,train,0.9713774597495528,0.9720193097199807,0.9654173646007818,0.9720193097199807,0.9685725529881374,0.9718216904438711,0.9713774597495528,0.9714782348427772,0.9978906537557689,11.4146568775177
Naive Reshape,0,0,test,0.9857142857142858,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9993206521739131,11.4146568775177
AG-T2I-step_row,0,0,train,0.964221824686941,0.9641057221325632,0.9576144611948632,0.9641057221325632,0.9607156912351718,,,,,101.91333246231079
AG-T2I-step_row,0,0,test,0.9857142857142858,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9841485507246377,,,,0.9984148550724637,101.91333246231079
AG-T2I-packed,0,0,train,0.964221824686941,0.9641057221325632,0.9576144611948632,0.9641057221325632,0.9607156912351718,,,,,82.97860550880432
AG-T2I-packed,0,0,test,0.9857142857142858,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9841485507246377,,,,0.9981884057971014,82.97860550880432
AG-T2I-packed_T,0,0,train,0.9660107334525939,0.9679209490642431,0.9583437335330172,0.9679209490642431,0.9628096713762977,,,,,77.33172130584717
AG-T2I-packed_T,0,0,test,0.9857142857142858,0.9841485507246377,0.9841485507246377,0.9841485507246377,0.9841485507246377,,,,0.9981884057971014,77.33172130584717
AG-T2I-step_sparse,0,0,train,0.9767441860465116,0.9810158838019196,0.9691797845898923,0.9810158838019196,0.9746119474421546,,,,,81.72628879547119
AG-T2I-step_sparse,0,0,test,0.9785714285714285,0.978713768115942,0.9740973312401884,0.978713768115942,0.9763393611627513,,,,0.997961956521739,81.72628879547119
AG-T2I-attention_map,0,0,train,0.964221824686941,0.971453042271865,0.9535395217083401,0.971453042271865,0.9612419225115789,,,,,82.37561583518982
AG-T2I-attention_map,0,0,test,0.9714285714285714,0.9732789855072463,0.9644444444444444,0.9732789855072463,0.9686028257456829,,,,0.9970561594202899,82.37561583518982
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10581421852111816
