model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.9570811921891057,0.007986948993905826,0.0031308840056110837,0.11609689712524414
XGBoost,balanced_accuracy,0.950532671262485,0.00889094032095384,0.003485248605813905,0.11609689712524414
XGBoost,precision_macro,0.9544213901699914,0.010293168993030408,0.00403492224526792,0.11609689712524414
XGBoost,recall_macro,0.950532671262485,0.00889094032095384,0.003485248605813905,0.11609689712524414
XGBoost,f1_macro,0.9522900187421002,0.008980779031259137,0.0035204653802535816,0.11609689712524414
XGBoost,precision_weighted,0.9572171778478856,0.007950055102600457,0.0031164216002193793,0.11609689712524414
XGBoost,recall_weighted,0.9570811921891057,0.007986948993905826,0.0031308840056110837,0.11609689712524414
XGBoost,f1_weighted,0.9569958718487469,0.007988309150705072,0.0031314171870763883,0.11609689712524414
XGBoost,roc_auc,0.990755740303766,0.006355649810776946,0.0024914147258245627,0.11609689712524414
LightGBM,accuracy,0.9642240493319629,0.009271865555159875,0.0036345712976226714,0.2357656192779541
LightGBM,balanced_accuracy,0.9609373933519898,0.00883538354685943,0.0034634703503688964,0.2357656192779541
LightGBM,precision_macro,0.9604628608435658,0.012852077523357123,0.0050380143891559925,0.2357656192779541
LightGBM,recall_macro,0.9609373933519898,0.00883538354685943,0.0034634703503688964,0.2357656192779541
LightGBM,f1_macro,0.960476714885339,0.010098650223028702,0.0039586708874272515,0.2357656192779541
LightGBM,precision_weighted,0.9646592518803275,0.00918936071824712,0.003602229401552871,0.2357656192779541
LightGBM,recall_weighted,0.9642240493319629,0.009271865555159875,0.0036345712976226714,0.2357656192779541
LightGBM,f1_weighted,0.9642567801271155,0.009174977151435356,0.0035965910433626595,0.2357656192779541
LightGBM,roc_auc,0.9923355325168768,0.003970952723005589,0.001556613467418191,0.2357656192779541
CatBoost,accuracy,0.9685200411099691,0.007466051718301792,0.0029266922735743024,0.12903067588806152
CatBoost,balanced_accuracy,0.9662029611175573,0.00923157198625113,0.0036187762186104433,0.12903067588806152
CatBoost,precision_macro,0.9648318852035258,0.009899842840126847,0.0038807383933297237,0.12903067588806152
CatBoost,recall_macro,0.9662029611175573,0.00923157198625113,0.0036187762186104433,0.12903067588806152
CatBoost,f1_macro,0.965229579521892,0.008170405725756094,0.003202799044496389,0.12903067588806152
CatBoost,precision_weighted,0.9690537889201477,0.007559864643316864,0.0029634669401802103,0.12903067588806152
CatBoost,recall_weighted,0.9685200411099691,0.007466051718301792,0.0029266922735743024,0.12903067588806152
CatBoost,f1_weighted,0.9685485009160969,0.007409995510728978,0.0029047182402057595,0.12903067588806152
CatBoost,roc_auc,0.9917535390888319,0.004635501199359885,0.0018171164701490748,0.12903067588806152
TabNet,accuracy,0.9742446043165468,0.0058536611987248105,0.0022946351899001253,41.567629451751706
TabNet,balanced_accuracy,0.974481832866926,0.006969434231971445,0.002732018218932806,41.567629451751706
TabNet,precision_macro,0.9695696446034334,0.008607792488034918,0.0033742546553096877,41.567629451751706
