model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05838131904602051
XGBoost,0,0,test,0.855072463768116,0.853097721950181,0.853097721950181,0.853097721950181,0.853097721950181,0.855072463768116,0.855072463768116,0.855072463768116,0.9148392591015541,0.05838131904602051
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1493666172027588
LightGBM,0,0,test,0.8623188405797102,0.8578880136257185,0.8622844827586207,0.8578880136257185,0.8596585130867633,0.8623094702648677,0.8623188405797102,0.8618987888702976,0.9176069831807536,1.1493666172027588
CatBoost,0,0,train,0.9692028985507246,0.9686354216483342,0.9690154889317291,0.9686354216483342,0.968822159391062,0.9691968530791443,0.9692028985507246,0.9691966569251563,0.9940219990435198,0.4740605354309082
CatBoost,0,0,test,0.8405797101449275,0.840110708963168,0.8380952380952381,0.840110708963168,0.8389219015280136,0.841407867494824,0.8405797101449275,0.840816539947344,0.9320843091334894,0.4740605354309082
TabNet,0,0,train,0.8641304347826086,0.866292045273394,0.8625402669121032,0.866292045273394,0.8633767073786478,0.8668770883771183,0.8641304347826086,0.8644797230917611,0.9155242042616504,43.34490513801575
TabNet,0,0,test,0.8695652173913043,0.8694911645731318,0.8673015873015872,0.8694911645731318,0.8682088285229201,0.8703197607545433,0.8695652173913043,0.869758987229645,0.9065360868639557,43.34490513801575
FT-Transformer (lite),0,0,train,0.9746376811594203,0.9755300494181413,0.9734920634920635,0.9755300494181413,0.97439261998489,0.9749240855762595,0.9746376811594203,0.9746649101788126,0.9933444922684521,64.27557706832886
FT-Transformer (lite),0,0,test,0.8043478260869565,0.7991271024057909,0.802801724137931,0.7991271024057909,0.8005673607022428,0.8039261619190405,0.8043478260869565,0.8037509104998964,0.8371300830317224,64.27557706832886
IGTD-inspired,0,0,train,0.8496376811594203,0.8615893511876296,0.8645971468756279,0.8615893511876296,0.8495976994514531,0.8761044281957875,0.8496376811594203,0.8493311547316718,0.9642117009405389,11.977797985076904
IGTD-inspired,0,0,test,0.7536231884057971,0.7707047051309346,0.7822419533851277,0.7707047051309346,0.7527924130663857,0.7965513358747929,0.7536231884057971,0.7511308623875628,0.884820097934852,11.977797985076904
Naive Reshape,0,0,train,0.8369565217391305,0.8497529092937988,0.8546336206896552,0.8497529092937988,0.8368515769700632,0.866686188155922,0.8369565217391305,0.8364018136740606,0.961421967160848,11.56313157081604
Naive Reshape,0,0,test,0.7681159420289855,0.7853949329359166,0.797558268590455,0.7853949329359166,0.7673340358271865,0.8122794318711899,0.7681159420289855,0.7657702234235885,0.8656589312327017,11.56313157081604
AG-T2I-step_row,0,0,train,0.8876811594202898,0.8863382751474573,0.8863382751474573,0.8863382751474573,0.8863382751474573,,,,,91.44385480880737
AG-T2I-step_row,0,0,test,0.8333333333333334,0.8302107728337236,0.8314102564102563,0.8302107728337236,0.8307651292988536,,,,0.916223121141154,91.44385480880737
AG-T2I-packed,0,0,train,0.8061594202898551,0.8012513948668898,0.8050977437539522,0.8012513948668898,0.8027089770354906,,,,,84.3987603187561
