model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.8652173913043478,0.0159310458433248,0.006244969970583322,0.1540833282470703
XGBoost,balanced_accuracy,0.8636402312931023,0.019254831878641163,0.007547894096427336,0.1540833282470703
XGBoost,precision_macro,0.8659212776645221,0.01507082941291236,0.0059077651298616455,0.1540833282470703
XGBoost,recall_macro,0.8636402312931023,0.019254831878641163,0.007547894096427336,0.1540833282470703
XGBoost,f1_macro,0.8632254089428393,0.017246484655388267,0.006760621984912201,0.1540833282470703
XGBoost,precision_weighted,0.8677088367659941,0.016389911255022215,0.006424845211968708,0.1540833282470703
XGBoost,recall_weighted,0.8652173913043478,0.0159310458433248,0.006244969970583322,0.1540833282470703
XGBoost,f1_weighted,0.8649429063351808,0.016437372827350284,0.006443450148321312,0.1540833282470703
XGBoost,roc_auc,0.9226311596500024,0.01494195713057105,0.005857247195183851,0.1540833282470703
LightGBM,accuracy,0.8652173913043478,0.007542268114007712,0.0029565691006910233,0.2900601005554199
LightGBM,balanced_accuracy,0.862890592665983,0.013166563209262577,0.00516129277803093,0.2900601005554199
LightGBM,precision_macro,0.8676506220601461,0.005270922768477186,0.002066201725243057,0.2900601005554199
LightGBM,recall_macro,0.862890592665983,0.013166563209262577,0.00516129277803093,0.2900601005554199
LightGBM,f1_macro,0.8629046501581392,0.009424053596637753,0.003694229009881999,0.2900601005554199
LightGBM,precision_weighted,0.8688012945436674,0.007736479339126092,0.0030326999009374278,0.2900601005554199
LightGBM,recall_weighted,0.8652173913043478,0.007542268114007712,0.0029565691006910233,0.2900601005554199
LightGBM,f1_weighted,0.8647155599793976,0.008510735365170989,0.003336208263147028,0.2900601005554199
LightGBM,roc_auc,0.9285402071835036,0.014187344745676768,0.005561439140305293,0.2900601005554199
CatBoost,accuracy,0.8681159420289855,0.02492725536298343,0.009771484102289504,0.30341893196105957
CatBoost,balanced_accuracy,0.8668924787812037,0.02393918541797956,0.009384160683847988,0.30341893196105957
CatBoost,precision_macro,0.8685615879372817,0.026102944658399317,0.010232354306092532,0.30341893196105957
CatBoost,recall_macro,0.8668924787812037,0.02393918541797956,0.009384160683847988,0.30341893196105957
CatBoost,f1_macro,0.8664599688490923,0.02494398148246086,0.009778040741124656,0.30341893196105957
CatBoost,precision_weighted,0.8703854453322437,0.02427186956003334,0.00951457286753307,0.30341893196105957
CatBoost,recall_weighted,0.8681159420289855,0.02492725536298343,0.009771484102289504,0.30341893196105957
CatBoost,f1_weighted,0.8680158156393415,0.024749770511629073,0.009701910040558598,0.30341893196105957
CatBoost,roc_auc,0.936070019768425,0.013809775184846412,0.0054134318724597934,0.30341893196105957
TabNet,accuracy,0.881159420289855,0.019057649562873796,0.007470598628646527,54.63583313941955
TabNet,balanced_accuracy,0.8820291317688964,0.01979488124196076,0.0077595934468486175,54.63583313941955
