model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09947037696838379
XGBoost,0,0,test,0.7467532467532467,0.7155555555555555,0.7215876641918904,0.7155555555555555,0.7182266009852216,0.743849525688475,0.7467532467532467,0.7450067174205105,0.8049999999999999,0.09947037696838379
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6765007972717285
LightGBM,0,0,test,0.7662337662337663,0.739074074074074,0.7434012066365008,0.739074074074074,0.7410797683541939,0.764407161465985,0.7662337662337663,0.765185682988784,0.8181481481481482,1.6765007972717285
CatBoost,0,0,train,0.8469055374592834,0.8107943925233645,0.8451120797011208,0.8107943925233645,0.8234012606327642,0.846385297804244,0.8469055374592834,0.8429182047833561,0.9253271028037383,0.39589476585388184
CatBoost,0,0,test,0.7792207792207793,0.732037037037037,0.7663690476190477,0.732037037037037,0.7427279874213837,0.7748144712430427,0.7792207792207793,0.7716705464346973,0.8548148148148148,0.39589476585388184
TabNet,0,0,train,0.7736156351791531,0.7284696261682242,0.7563406865636428,0.7284696261682242,0.7377737220670606,0.7683300165729148,0.7736156351791531,0.7671419856743258,0.8338259345794392,72.16303825378418
TabNet,0,0,test,0.7727272727272727,0.71,0.7722689075630252,0.71,0.7234621107177672,0.7725199170577323,0.7727272727272727,0.7583266869091095,0.8305555555555555,72.16303825378418
FT-Transformer (lite),0,0,train,0.9039087947882736,0.8958294392523365,0.8933069449442246,0.8958294392523365,0.8945407226053618,0.9042621897830753,0.9039087947882736,0.9040623697420918,0.9727219626168224,29.213460445404053
FT-Transformer (lite),0,0,test,0.7792207792207793,0.7703703703703704,0.7588652482269503,0.7703703703703704,0.7632483270030747,0.7864050842774247,0.7792207792207793,0.7816166470534348,0.7727777777777778,29.213460445404053
IGTD-inspired,0,0,train,0.7719869706840391,0.729392523364486,0.7530151530770024,0.729392523364486,0.7376965140123035,0.766692509956494,0.7719869706840391,0.7664263560886225,0.8377453271028037,11.460209608078003
IGTD-inspired,0,0,test,0.7597402597402597,0.7255555555555555,0.736734693877551,0.7255555555555555,0.7301444470755387,0.7556321229790618,0.7597402597402597,0.7568387094790126,0.8138888888888888,11.460209608078003
Naive Reshape,0,0,train,0.7638436482084691,0.7329205607476635,0.7401792490332839,0.7329205607476635,0.7361253130603596,0.7609414105737766,0.7638436482084691,0.7620329026962809,0.8306308411214953,10.79693078994751
Naive Reshape,0,0,test,0.7142857142857143,0.6862962962962963,0.6862962962962963,0.6862962962962963,0.6862962962962963,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7955555555555556,10.79693078994751
AG-T2I-step_row,0,0,train,0.755700325732899,0.7005957943925234,0.738327226293582,0.7005957943925234,0.710770274344287,,,,,109.62938189506531
AG-T2I-step_row,0,0,test,0.7402597402597403,0.702037037037037,0.7144261006289309,0.702037037037037,0.7068341899866742,,,,0.8140740740740741,109.62938189506531
AG-T2I-packed,0,0,train,0.741042345276873,0.6882593457943925,0.7175204157386785,0.6882593457943925,0.6965978910467382,,,,,106.57463264465332
AG-T2I-packed,0,0,test,0.7272727272727273,0.6835185185185185,0.6994766505636071,0.6835185185185185,0.6890384615384615,,,,0.8175925925925926,106.57463264465332
AG-T2I-packed_T,0,0,train,0.741042345276873,0.6882593457943925,0.7175204157386785,0.6882593457943925,0.6965978910467382,,,,,86.2730815410614
