model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.7473474238180122,0.020530341039550235,0.008047893687503692,0.14809913635253907
XGBoost,balanced_accuracy,0.7115758211041231,0.027611008521570106,0.010823515340455482,0.14809913635253907
XGBoost,precision_macro,0.7223086010531834,0.02488264474215109,0.009753996738923227,0.14809913635253907
XGBoost,recall_macro,0.7115758211041231,0.027611008521570106,0.010823515340455482,0.14809913635253907
XGBoost,f1_macro,0.7151519951708345,0.02673685902650303,0.010480848738389188,0.14809913635253907
XGBoost,precision_weighted,0.7436291791993809,0.022620667916209706,0.008867301823154206,0.14809913635253907
XGBoost,recall_weighted,0.7473474238180122,0.020530341039550235,0.008047893687503692,0.14809913635253907
XGBoost,f1_weighted,0.743986791291846,0.022174298503117675,0.008692325013222129,0.14809913635253907
XGBoost,roc_auc,0.7914318658280922,0.029011140996947064,0.01137236727080325,0.14809913635253907
LightGBM,accuracy,0.7434343434343433,0.0292310255763098,0.011458562025913442,0.2730275249481201
LightGBM,balanced_accuracy,0.7111663172606569,0.03339601635225707,0.013091238410084773,0.2730275249481201
LightGBM,precision_macro,0.717837049871038,0.03487399640619776,0.013670606591229522,0.2730275249481201
LightGBM,recall_macro,0.7111663172606569,0.03339601635225707,0.013091238410084773,0.2730275249481201
LightGBM,f1_macro,0.7135616527637118,0.03353441288851284,0.013145489852297033,0.2730275249481201
LightGBM,precision_weighted,0.7410608981766648,0.03046325736072014,0.011941596885402295,0.2730275249481201
LightGBM,recall_weighted,0.7434343434343433,0.0292310255763098,0.011458562025913442,0.2730275249481201
LightGBM,f1_weighted,0.7414585002521484,0.029515001365770236,0.011569880535381933,0.2730275249481201
LightGBM,roc_auc,0.7973116701607268,0.026808220179563066,0.010508822310388723,0.2730275249481201
CatBoost,accuracy,0.7668703845174433,0.01924020127869997,0.007542158901250389,0.2046998596191406
CatBoost,balanced_accuracy,0.7266457023060798,0.015541809638893187,0.006092389378446129,0.2046998596191406
CatBoost,precision_macro,0.7477896487696392,0.026276751218440978,0.010300486477628863,0.2046998596191406
CatBoost,recall_macro,0.7266457023060798,0.015541809638893187,0.006092389378446129,0.2046998596191406
CatBoost,f1_macro,0.7337758852998124,0.018404782064673105,0.007214674569351857,0.2046998596191406
CatBoost,precision_weighted,0.762981431794244,0.019233159672697692,0.007539398591697495,0.2046998596191406
CatBoost,recall_weighted,0.7668703845174433,0.01924020127869997,0.007542158901250389,0.2046998596191406
CatBoost,f1_weighted,0.7620762186059943,0.017346479018268114,0.006799819775161101,0.2046998596191406
CatBoost,roc_auc,0.8326009783368272,0.026515836893450922,0.010394208062232761,0.2046998596191406
TabNet,accuracy,0.7798998387233681,0.019981676382282796,0.007832817141854857,49.06933662414551
TabNet,balanced_accuracy,0.7356540880503144,0.03180092764760876,0.012465963637862634,49.06933662414551
TabNet,precision_macro,0.7679163805999607,0.021746092366631557,0.008524468207719571,49.06933662414551
TabNet,recall_macro,0.7356540880503144,0.03180092764760876,0.012465963637862634,49.06933662414551
TabNet,f1_macro,0.7436442268246256,0.02945209250381255,0.011545220261494519,49.06933662414551
TabNet,precision_weighted,0.7782603226991798,0.019081162443152205,0.007479815677715664,49.06933662414551
TabNet,recall_weighted,0.7798998387233681,0.019981676382282796,0.007832817141854857,49.06933662414551
TabNet,f1_weighted,0.772516709085949,0.023365467107662394,0.009159263106203658,49.06933662414551
TabNet,roc_auc,0.8207316561844864,0.0201603450837708,0.007902855272838153,49.06933662414551
FT-Transformer (lite),accuracy,0.7486291486291488,0.024383985422614725,0.00955852228566497,18.435340461730956
FT-Transformer (lite),balanced_accuracy,0.7255283018867924,0.027429476195158987,0.010752354668502322,18.435340461730956
FT-Transformer (lite),precision_macro,0.7248567584311256,0.02739250671403769,0.010737862631902774,18.435340461730956
FT-Transformer (lite),recall_macro,0.7255283018867924,0.027429476195158987,0.010752354668502322,18.435340461730956
FT-Transformer (lite),f1_macro,0.7242348476789896,0.02639031646809521,0.010345004055493321,18.435340461730956
FT-Transformer (lite),precision_weighted,0.7508274568211334,0.02406253174310001,0.009432512443295203,18.435340461730956
FT-Transformer (lite),recall_weighted,0.7486291486291488,0.024383985422614725,0.00955852228566497,18.435340461730956
FT-Transformer (lite),f1_weighted,0.7489113226214524,0.023668529791414657,0.009278063678234546,18.435340461730956
FT-Transformer (lite),roc_auc,0.7839832285115304,0.0196782113777325,0.00771385886007114,18.435340461730956
IGTD-inspired,accuracy,0.7421186656480775,0.03105579462479054,0.012173871492917892,10.436175994873047
IGTD-inspired,balanced_accuracy,0.7006911250873514,0.03544542562791422,0.013894606846142375,10.436175994873047
IGTD-inspired,precision_macro,0.71930865715304,0.03471621178867522,0.013608755021160684,10.436175994873047
IGTD-inspired,recall_macro,0.7006911250873514,0.03544542562791422,0.013894606846142375,10.436175994873047
IGTD-inspired,f1_macro,0.7051302425099385,0.03636631770929355,0.01425559654204307,10.436175994873047
IGTD-inspired,precision_weighted,0.7386179834662309,0.029722641088042845,0.011651275306512795,10.436175994873047
IGTD-inspired,recall_weighted,0.7421186656480775,0.03105579462479054,0.012173871492917892,10.436175994873047
IGTD-inspired,f1_weighted,0.7363260929585569,0.03169538045754847,0.012424589139358998,10.436175994873047
IGTD-inspired,roc_auc,0.8038266946191474,0.021754376752539516,0.00852771568699549,10.436175994873047
Naive Reshape,accuracy,0.7330362448009509,0.0375795404778078,0.014731179867300659,10.15345443725586
Naive Reshape,balanced_accuracy,0.6866317260656883,0.047161751647285505,0.018487406645735917,10.15345443725586
Naive Reshape,precision_macro,0.7066933757518408,0.04667377639276036,0.01829612034596206,10.15345443725586
Naive Reshape,recall_macro,0.6866317260656883,0.047161751647285505,0.018487406645735917,10.15345443725586
Naive Reshape,f1_macro,0.6914604268798734,0.04909827047763449,0.019246522027232718,10.15345443725586
Naive Reshape,precision_weighted,0.7264242754875734,0.041350197952449895,0.01620927759736036,10.15345443725586
Naive Reshape,recall_weighted,0.7330362448009509,0.0375795404778078,0.014731179867300659,10.15345443725586
Naive Reshape,f1_weighted,0.725439369761955,0.04126824082451965,0.0161771504032117,10.15345443725586
Naive Reshape,roc_auc,0.7964269741439552,0.02680451714458738,0.010507370720678253,10.15345443725586
AG-T2I-step_row,accuracy,0.7293506493506494,0.03440173105151296,0.01348547857219308,79.48971742630005
AG-T2I-step_row,balanced_accuracy,0.671901467505241,0.04269312516413107,0.016735705064339378,79.48971742630005
AG-T2I-step_row,precision_macro,0.7070559004975502,0.04965132137103472,0.01946331797744561,79.48971742630005
AG-T2I-step_row,recall_macro,0.671901467505241,0.04269312516413107,0.016735705064339378,79.48971742630005
AG-T2I-step_row,f1_macro,0.6779286988030208,0.04700165488814486,0.018424648716152785,79.48971742630005
AG-T2I-step_row,roc_auc,0.7827071977638016,0.03574680296798622,0.014012746763450597,79.48971742630005
AG-T2I-packed,accuracy,0.7228401663695782,0.03848393668538086,0.015085703180669296,80.9055071258545
AG-T2I-packed,balanced_accuracy,0.6609551362683439,0.04503509781940207,0.017653758345205613,80.9055071258545
AG-T2I-packed,precision_macro,0.6982135651786285,0.05546369390503003,0.02174176801077177,80.9055071258545
AG-T2I-packed,recall_macro,0.6609551362683439,0.04503509781940207,0.017653758345205613,80.9055071258545
AG-T2I-packed,f1_macro,0.6675014313929141,0.050108586273689304,0.019642565819286206,80.9055071258545
AG-T2I-packed,roc_auc,0.7730764500349406,0.03269699958869547,0.012817223838768625,80.9055071258545
AG-T2I-packed_T,accuracy,0.7207639419404127,0.03698467303418947,0.014497991829402274,77.56227096557618
AG-T2I-packed_T,balanced_accuracy,0.6593761006289308,0.042881884066318945,0.016809698553997027,77.56227096557618
AG-T2I-packed_T,precision_macro,0.696141203026298,0.0547848813979269,0.021475673507987344,77.56227096557618
AG-T2I-packed_T,recall_macro,0.6593761006289308,0.042881884066318945,0.016809698553997027,77.56227096557618
AG-T2I-packed_T,f1_macro,0.6656517992812165,0.047603090089512134,0.01866041131508876,77.56227096557618
AG-T2I-packed_T,roc_auc,0.7748398322851152,0.031190798640931543,0.012226793067245164,77.56227096557618
AG-T2I-step_sparse,accuracy,0.756728630846278,0.020560929024877182,0.008059884177751855,80.53131999015808
AG-T2I-step_sparse,balanced_accuracy,0.7122388539482878,0.02531737306582612,0.009924410241803837,80.53131999015808
AG-T2I-step_sparse,precision_macro,0.7382029486097426,0.027752527587464736,0.010878990814286175,80.53131999015808
AG-T2I-step_sparse,recall_macro,0.7122388539482878,0.02531737306582612,0.009924410241803837,80.53131999015808
AG-T2I-step_sparse,f1_macro,0.7190081917831038,0.02461034923446859,0.009647256899911687,80.53131999015808
AG-T2I-step_sparse,roc_auc,0.8171720475192172,0.024263346890546687,0.009511231981094301,80.53131999015808
AG-T2I-attention_map,accuracy,0.7632136490960022,0.029505046866401253,0.011565978371629291,80.77026108741761
AG-T2I-attention_map,balanced_accuracy,0.722653109713487,0.03537011034445119,0.013865083255024866,80.77026108741761
AG-T2I-attention_map,precision_macro,0.7517994904080695,0.0345073650016596,0.013526887080650564,80.77026108741761
AG-T2I-attention_map,recall_macro,0.722653109713487,0.03537011034445119,0.013865083255024866,80.77026108741761
AG-T2I-attention_map,f1_macro,0.7267693009480684,0.03666695949618478,0.014373448122504432,80.77026108741761
AG-T2I-attention_map,roc_auc,0.833719217330538,0.02914007797842153,0.01142291056754124,80.77026108741761
