model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.9398604099423432,0.9379472499906079,0.9388644762146348,0.9379472499906079,0.9383948487645171,0.9398185566601421,0.9398604099423432,0.9398289545065824,0.9868947696263228,0.2646307945251465
XGBoost,0,0,test,0.9099635882158226,0.9076631558175182,0.9079996022098301,0.9076631558175182,0.9078296803413037,0.9099297020446192,0.9099635882158226,0.9099450190392496,0.9708592378055465,0.2646307945251465
LightGBM,0,0,train,0.8949488261745152,0.8916138191123679,0.8930601561986158,0.8916138191123679,0.8923055346620656,0.8948153648682515,0.8949488261745152,0.8948520125392643,0.96406224932989,1.9893591403961182
LightGBM,0,0,test,0.8843650005516936,0.8806171177815473,0.8823050092993936,0.8806171177815473,0.8814168930035994,0.8841936800183032,0.8843650005516936,0.8842370910569548,0.9558973993537752,1.9893591403961182
CatBoost,0,0,train,0.8858451267621176,0.8817099312697798,0.8841182580196758,0.8817099312697798,0.8828277407621882,0.8856512287952557,0.8858451267621176,0.8856656501322439,0.9568664397569032,0.6611101627349854
CatBoost,0,0,test,0.8790687410349773,0.8749250771901778,0.8770427735746276,0.8749250771901778,0.8759143666608936,0.8788612223719343,0.8790687410349773,0.8788984703075182,0.94992759371954,0.6611101627349854
TabNet,0,0,train,0.7802422135783056,0.7661124415112163,0.7801036297971817,0.7661124415112163,0.7701796753415134,0.7801818019661196,0.7802422135783056,0.7774377039102004,0.8544137907273608,1475.0419833660126
TabNet,0,0,test,0.7766743903784619,0.7625515016454614,0.7761891686686129,0.7625515016454614,0.7665093626330298,0.7764638262575833,0.7766743903784619,0.7738576402258409,0.852789485591499,1475.0419833660126
FT-Transformer (lite),0,0,train,0.8414576953847003,0.8374254231599603,0.8378869178920986,0.8374254231599603,0.837651938755909,0.8413574674856363,0.8414576953847003,0.8414035233534076,0.9224431750038486,627.170300245285
FT-Transformer (lite),0,0,test,0.8342712126227518,0.8302767634143473,0.830457905538005,0.8302767634143473,0.83036664739957,0.8342270962718075,0.8342712126227518,0.8342484951523625,0.9145916843903422,627.170300245285
IGTD-inspired,0,0,train,0.7951943501889708,0.7802627257942896,0.7976245981401459,0.7802627257942896,0.7851034536296996,0.7963260449082992,0.7951943501889708,0.7921317534483847,0.8735331801481641,303.25082516670227
IGTD-inspired,0,0,test,0.7966457023060797,0.7810633407948844,0.8001573325459965,0.7810633407948844,0.7861918659406786,0.7983396882680843,0.7966457023060797,0.7933228012258599,0.8721100774792051,303.25082516670227
