model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.8772979869150554,0.8675818372884875,0.9052543120591181,0.8675818372884875,0.8841743706719258,0.877428103099186,0.8772979869150554,0.876940686892901,0.9881123551719131,47.46120500564575
XGBoost,0,0,test,0.8683596809032469,0.8360445317622904,0.8828561391555528,0.8360445317622904,0.8562905381325697,0.8684898526927876,0.8683596809032469,0.8678598540867924,0.9857232911424393,47.46120500564575
LightGBM,0,0,train,0.8625177223332595,0.8482192728152779,0.8872229902947615,0.8482192728152779,0.8654970677767329,0.8626001328461728,0.8625177223332595,0.8620648612985712,0.9829394554845658,35.080644607543945
LightGBM,0,0,test,0.8544529831415713,0.8119207651219222,0.8560400481629176,0.8119207651219222,0.8308881925900463,0.8544447325756107,0.8544529831415713,0.8538423387107866,0.9766051698882551,35.080644607543945
CatBoost,0,0,train,0.8442994864557269,0.7523889311002684,0.8305330995387162,0.7523889311002684,0.7837013160314587,0.8435959617067861,0.8442994864557269,0.8427978497708144,0.980057578089463,17.790123462677002
CatBoost,0,0,test,0.8416133834754697,0.7459389871067398,0.8226271160305563,0.7459389871067398,0.7765696411405011,0.8409254877888682,0.8416133834754697,0.8401560660787493,0.9792485605781514,17.790123462677002
TabNet,0,0,train,0.7440561607025682,0.4403446323606936,0.4798910879291198,0.4403446323606936,0.42660796949982643,0.7266451289943973,0.7440561607025682,0.7222016518117799,0.9301210434473101,25643.063099384308
TabNet,0,0,test,0.7439739077304373,0.43998582581262025,0.47872093524586884,0.43998582581262025,0.4264058869993805,0.7263456454897051,0.7439739077304373,0.7221808692151515,0.9312829861265831,25643.063099384308
FT-Transformer (lite),0,0,train,0.8792514774886029,0.792012317727842,0.8348874870857522,0.792012317727842,0.8097499513686516,0.8828401693707442,0.8792514774886029,0.8781862221346098,0.9879888437801446,44311.24027514458
FT-Transformer (lite),0,0,test,0.8779807750230201,0.7907733146684714,0.834923739220668,0.7907733146684714,0.8089219288096263,0.8813922673734546,0.8779807750230201,0.8768777609012532,0.9872222909305742,44311.24027514458
IGTD-inspired,0,0,train,0.802084296990807,0.616829864173129,0.7997868386165544,0.616829864173129,0.6640256424070865,0.8020556392450916,0.802084296990807,0.7962903832893615,0.9694558502583615,6500.473421573639
IGTD-inspired,0,0,test,0.800125642195124,0.6135208355491161,0.8032511403476141,0.6135208355491161,0.6615911503532129,0.8003895674772382,0.800125642195124,0.7942885096757905,0.968649941937995,6500.473421573639
Naive Reshape,0,0,train,0.7900557002984021,0.6075504408372954,0.7996879587867272,0.6075504408372954,0.6554889757476813,0.7945581058021184,0.7900557002984021,0.7820420311213344,0.9667798637886343,6591.693878412247
Naive Reshape,0,0,test,0.7884305912928238,0.603139991594289,0.7982675176495239,0.603139991594289,0.6515383412451797,0.7929224753792768,0.7884305912928238,0.7804808593780904,0.9661339568710577,6591.693878412247
AG-T2I-step_row,0,0,train,0.49473869912157464,0.16246192068935236,0.16480820204942884,0.16246192068935236,0.12725821886314628,,,,,33151.03070354462
AG-T2I-step_row,0,0,test,0.4946602067072279,0.16199902495905816,0.16636777174473585,0.16199902495905816,0.12665201015538705,,,,0.5466755983990337,33151.03070354462
AG-T2I-packed,0,0,train,0.49473869912157464,0.16246192068935236,0.16480820204942884,0.16246192068935236,0.12725821886314628,,,,,33177.73671364784
AG-T2I-packed,0,0,test,0.4946602067072279,0.16199902495905816,0.16636777174473585,0.16199902495905816,0.12665201015538705,,,,0.5466755983990337,33177.73671364784
