model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.9996062992125985,0.9994553376906318,0.9997474747474747,0.9994553376906318,0.9996011356994806,0.9996065974707707,0.9996062992125985,0.9996062128484104,0.9999997552618071,0.22653961181640625
XGBoost,0,0,test,0.9464566929133859,0.9504009641681731,0.9353699759637388,0.9504009641681731,0.9414742761812507,0.9506095586948261,0.9464566929133859,0.9473018783735341,0.994231617487347,0.22653961181640625
LightGBM,0,0,train,0.9996062992125985,0.9997472832954258,0.9994562262098966,0.9997472832954258,0.9996014848867115,0.9996069414651063,0.9996062992125985,0.9996063852574254,0.9999997552618071,1.3430616855621338
LightGBM,0,0,test,0.9480314960629921,0.9514141353941103,0.935788679052152,0.9514141353941103,0.9427657891105289,0.9509207810907562,0.9480314960629921,0.9486840387345329,0.9901760199876621,1.3430616855621338
CatBoost,0,0,train,0.9996062992125985,0.9994553376906318,0.9997474747474747,0.9994553376906318,0.9996011356994806,0.9996065974707707,0.9996062992125985,0.9996062128484104,0.9999997552618071,0.7980432510375977
CatBoost,0,0,test,0.9464566929133859,0.9504009641681733,0.9331556216293176,0.9504009641681733,0.940424230380425,0.9507855921887102,0.9464566929133859,0.9473791436651553,0.9947880332204098,0.7980432510375977
TabNet,0,0,train,0.9456692913385827,0.9548667526175226,0.9333892330209205,0.9548667526175226,0.9424750997531867,0.9503168602840888,0.9456692913385827,0.9464181472964491,0.9906791491589905,140.9330494403839
TabNet,0,0,test,0.925984251968504,0.9348987822079186,0.9117610252920926,0.9348987822079186,0.9203640036318746,0.9352877269011415,0.925984251968504,0.9278486925547931,0.9810432319637291,140.9330494403839
FT-Transformer (lite),0,0,train,0.9854330708661417,0.9868407737406164,0.9825119156612449,0.9868407737406164,0.9846029610708794,0.9856578196400144,0.9854330708661417,0.9854821631446218,0.9983980181719616,6256.749856233597
FT-Transformer (lite),0,0,test,0.9291338582677166,0.9287667785790439,0.9153256814338451,0.9287667785790439,0.9211210602801777,0.9325958827428553,0.9291338582677166,0.9300319174853244,0.982711984571155,6256.749856233597
IGTD-inspired,0,0,train,0.915748031496063,0.9074805702725465,0.9061515913125134,0.9074805702725465,0.9062520184174382,0.9173278703047807,0.915748031496063,0.91612452746012,0.9838864536865501,30.870132446289062
IGTD-inspired,0,0,test,0.8472440944881889,0.8294627543688872,0.8245956474377191,0.8294627543688872,0.8268675523617901,0.8491103218076,0.8472440944881889,0.84803141491267,0.9573109469011504,30.870132446289062
Naive Reshape,0,0,train,0.9307086614173228,0.9253360908819358,0.9198302251855375,0.9253360908819358,0.922505733863103,0.9312152878702693,0.9307086614173228,0.9308874161611072,0.9883482801852193,29.77553391456604
Naive Reshape,0,0,test,0.889763779527559,0.8754660256537603,0.8743670387774213,0.8754660256537603,0.8743130159450593,0.8905409326071878,0.889763779527559,0.8897137179592882,0.9719942772435775,29.77553391456604
AG-T2I-step_row,0,0,train,0.7901574803149606,0.7552530762231546,0.754959226363768,0.7552530762231546,0.7429525245805287,,,,,147.02557158470154
AG-T2I-step_row,0,0,test,0.7606299212598425,0.7224573044347763,0.7156095261358418,0.7224573044347763,0.7084553887940869,,,,0.904470033797928,147.02557158470154
AG-T2I-packed,0,0,train,0.7393700787401575,0.6753805638632948,0.721640210533959,0.6753805638632948,0.6131762985622712,,,,,138.5310070514679
AG-T2I-packed,0,0,test,0.7196850393700788,0.6564886001681997,0.668237925177103,0.6564886001681997,0.5799428122211305,,,,0.8644398373221748,138.5310070514679
AG-T2I-packed_T,0,0,train,0.7393700787401575,0.6780005336513663,0.6767612547481615,0.6780005336513663,0.6613958223894599,,,,,185.40686082839966
AG-T2I-packed_T,0,0,test,0.7086614173228346,0.642403533517426,0.6243208417154349,0.642403533517426,0.6204122510836984,,,,0.8809679331155866,185.40686082839966
AG-T2I-step_sparse,0,0,train,0.7838582677165354,0.7484994320159721,0.7458940844263542,0.7484994320159721,0.7471237710753648,,,,,185.37218189239502
AG-T2I-step_sparse,0,0,test,0.752755905511811,0.7115640582474124,0.7068394985029295,0.7115640582474124,0.7088693018365402,,,,0.9081068425918576,185.37218189239502
AG-T2I-attention_map,0,0,train,0.7362204724409449,0.6836708336892108,0.7046315138152361,0.6836708336892108,0.6325256802321023,,,,,234.2829394340515
AG-T2I-attention_map,0,0,test,0.721259842519685,0.6714875075325639,0.6892410572966128,0.6714875075325639,0.6126656882763314,,,,0.870213351224366,234.2829394340515
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2866504192352295
XGBoost,0,1,test,0.9669291338582677,0.9659031461284279,0.9578528104813152,0.9659031461284279,0.9616683224155308,0.9678076642554345,0.9669291338582677,0.9671756365661384,0.995135951048165,0.2866504192352295
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3324122428894043
LightGBM,0,1,test,0.9590551181102362,0.9573408559641351,0.9478947650029919,0.9573408559641351,0.9522313535509532,0.9605988171031673,0.9590551181102362,0.9594830269985591,0.9946764890392558,0.3324122428894043
CatBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7993149757385254
CatBoost,0,1,test,0.9606299212598425,0.9583540271900722,0.9504700340563331,0.9583540271900722,0.9541598964154229,0.9616076942027919,0.9606299212598425,0.9608954696439526,0.9965807085417179,0.7993149757385254
TabNet,0,1,train,0.8456692913385827,0.8765774625275414,0.8498702191255418,0.8765774625275414,0.8487103603775362,0.8864181008214774,0.8456692913385827,0.8518434023889481,0.9459559389106075,198.84723377227783
