model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4515519142150879
XGBoost,0,0,test,0.7674418604651163,0.5868055555555556,0.5144736842105263,0.5868055555555556,0.5362554112554113,0.7391268869849041,0.7674418604651163,0.7372143360515454,0.942439812554755,0.4515519142150879
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.950308084487915
LightGBM,0,0,test,0.7906976744186046,0.6617063492063492,0.6535947712418301,0.6617063492063492,0.6549364613880743,0.7414500683994528,0.7906976744186046,0.7621450817249767,0.9371524849973126,8.950308084487915
CatBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4929642677307129
CatBoost,0,0,test,0.813953488372093,0.7624007936507936,0.6468954248366013,0.7624007936507936,0.6850532979565237,0.7749430004559963,0.813953488372093,0.7873007212842172,0.9634056778453329,0.4929642677307129
TabNet,0,0,train,0.6608187134502924,0.4850069013112491,0.5223814929208134,0.4850069013112491,0.4857746269130822,0.5936435908634163,0.6608187134502924,0.6154114986581022,0.8914320564382875,38.95923447608948
TabNet,0,0,test,0.6976744186046512,0.43303571428571425,0.3885448916408669,0.43303571428571425,0.4087557603686636,0.604795161638707,0.6976744186046512,0.6470046082949309,0.8756895031320319,38.95923447608948
FT-Transformer (lite),0,0,train,0.9181286549707602,0.8925552104899931,0.9298941798941799,0.8925552104899931,0.9008721818434849,0.9237213403880071,0.9181286549707602,0.9141271728977317,0.9860037936817223,7.580607175827026
FT-Transformer (lite),0,0,test,0.6744186046511628,0.45039682539682535,0.4204248366013072,0.45039682539682535,0.43415683932925314,0.6351345189238486,0.6744186046511628,0.653818515085556,0.9077459232631645,7.580607175827026
IGTD-inspired,0,0,train,0.5847953216374269,0.4003795721187025,0.4931833801936895,0.4003795721187025,0.3931075460487225,0.5469568172226881,0.5847953216374269,0.5321241308857407,0.8648376834693399,4.10537576675415
IGTD-inspired,0,0,test,0.6046511627906976,0.3611111111111111,0.3552380952380953,0.3611111111111111,0.34188034188034183,0.534485049833887,0.6046511627906976,0.5438282647584973,0.8713410454789764,4.10537576675415
Naive Reshape,0,0,train,0.5087719298245614,0.33530020703933744,0.2695663159146305,0.33530020703933744,0.29550787041979526,0.4091181449253596,0.5087719298245614,0.4467053783230956,0.8462961529026917,3.8419370651245117
Naive Reshape,0,0,test,0.6046511627906976,0.3754960317460318,0.3142857142857143,0.3754960317460318,0.3392650360392296,0.5089700996677741,0.6046511627906976,0.5466443533960413,0.8655140978416841,3.8419370651245117
AG-T2I-step_row,0,0,train,0.543859649122807,0.34749827467218775,0.2998792270531401,0.34749827467218775,0.3183977455716586,,,,,86.70573854446411
AG-T2I-step_row,0,0,test,0.5581395348837209,0.33878968253968256,0.3397435897435897,0.33878968253968256,0.3221264367816092,,,,0.817512668662094,86.70573854446411
AG-T2I-packed,0,0,train,0.3508771929824561,0.1784765355417529,0.14547258297258298,0.1784765355417529,0.15067038155699117,,,,,74.11430072784424
AG-T2I-packed,0,0,test,0.46511627906976744,0.2261904761904762,0.1544011544011544,0.2261904761904762,0.18318318318318316,,,,0.7690373255028428,74.11430072784424
AG-T2I-packed_T,0,0,train,0.3742690058479532,0.20438233264320224,0.17413982777588102,0.20438233264320224,0.17671123723158702,,,,,85.86699318885803
AG-T2I-packed_T,0,0,test,0.4883720930232558,0.2569444444444445,0.3197530864197531,0.2569444444444445,0.22595631486268783,,,,0.774257477921271,85.86699318885803
AG-T2I-step_sparse,0,0,train,0.6081871345029239,0.40543478260869564,0.5115272154745839,0.40543478260869564,0.4089509164136029,,,,,79.86772346496582
AG-T2I-step_sparse,0,0,test,0.6744186046511628,0.39087301587301587,0.3827985739750446,0.39087301587301587,0.3749158249158249,,,,0.855800504938436,79.86772346496582
AG-T2I-attention_map,0,0,train,0.6374269005847953,0.4276656314699793,0.5035714285714286,0.4276656314699793,0.4176245210727969,,,,,79.4765694141388
AG-T2I-attention_map,0,0,test,0.627906976744186,0.39732142857142855,0.33962414397197005,0.39732142857142855,0.36372269705603033,,,,0.8726348577641682,79.4765694141388
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.072873830795288
XGBoost,0,1,test,0.7906976744186046,0.7170634920634921,0.7402777777777777,0.7170634920634921,0.7214188604622419,0.7765503875968992,0.7906976744186046,0.7791258159367427,0.9051028764233138,1.072873830795288
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36822509765625
