model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.7522702104097454,0.0443596130717782,0.017388968324137055,0.6580418491363526
XGBoost,balanced_accuracy,0.6505357142857143,0.1180082285310173,0.046259225584158785,0.6580418491363526
XGBoost,precision_macro,0.648322495358099,0.151325620819347,0.059319643361184025,0.6580418491363526
XGBoost,recall_macro,0.6505357142857143,0.1180082285310173,0.046259225584158785,0.6580418491363526
XGBoost,f1_macro,0.637970181362191,0.1330685455876705,0.052162869870366835,0.6580418491363526
XGBoost,precision_weighted,0.7459848429504272,0.058352004506543084,0.02287398576656489,0.6580418491363526
XGBoost,recall_weighted,0.7522702104097454,0.0443596130717782,0.017388968324137055,0.6580418491363526
XGBoost,f1_weighted,0.7390215861196521,0.052329074641207084,0.020512997259353176,0.6580418491363526
XGBoost,roc_auc,0.9312565912652352,0.0198818348503616,0.007793679261341748,0.6580418491363526
LightGBM,accuracy,0.7990033222591362,0.024685152962523556,0.009676579961309235,1.1207322025299071
LightGBM,balanced_accuracy,0.7150396825396825,0.05945327611155167,0.023305684235728253,1.1207322025299071
LightGBM,precision_macro,0.7435994460762261,0.09189349040478167,0.03602224823867441,1.1207322025299071
LightGBM,recall_macro,0.7150396825396825,0.05945327611155167,0.023305684235728253,1.1207322025299071
LightGBM,f1_macro,0.720250015287966,0.07179759376308487,0.02814465675512927,1.1207322025299071
LightGBM,precision_weighted,0.7830694189611319,0.04648012716991709,0.0182202098506075,1.1207322025299071
LightGBM,recall_weighted,0.7990033222591362,0.024685152962523556,0.009676579961309235,1.1207322025299071
LightGBM,f1_weighted,0.7841092802626568,0.03296601162635116,0.012922676557529655,1.1207322025299071
LightGBM,roc_auc,0.9281170838471394,0.036547274730550465,0.014326531694375783,1.1207322025299071
CatBoost,accuracy,0.7895902547065339,0.0225711770796582,0.008847901415226013,0.36245304107666015
CatBoost,balanced_accuracy,0.7049404761904761,0.07612981517518859,0.029842887548673928,0.36245304107666015
CatBoost,precision_macro,0.7592022492757786,0.09202387256980919,0.0360733580473652,0.36245304107666015
CatBoost,recall_macro,0.7049404761904761,0.07612981517518859,0.029842887548673928,0.36245304107666015
CatBoost,f1_macro,0.7095281364325673,0.07357157486474672,0.028840057346980714,0.36245304107666015
CatBoost,precision_weighted,0.7815638211158047,0.03188580913394682,0.012499237180507152,0.36245304107666015
CatBoost,recall_weighted,0.7895902547065339,0.0225711770796582,0.008847901415226013,0.36245304107666015
