model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25597333908081055
XGBoost,0,0,test,0.7717391304347826,0.7666188426590148,0.7697145621673924,0.7666188426590148,0.7677884615384616,0.7711606823583854,0.7717391304347826,0.7710806856187291,0.8556910569105691,0.25597333908081055
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9321043491363525
LightGBM,0,0,test,0.8152173913043478,0.8118125298900047,0.8134615384615385,0.8118125298900047,0.8125374565504015,0.8149247491638796,0.8152173913043478,0.8149737608721709,0.8725490196078431,1.9321043491363525
CatBoost,0,0,train,0.9456521739130435,0.9438698162102417,0.9461622189693353,0.9438698162102417,0.9448998689874601,0.9457389900928379,0.9456521739130435,0.9455821920595008,0.9880883923437115,0.44901299476623535
CatBoost,0,0,test,0.8260869565217391,0.8228120516499282,0.8245192307692308,0.8228120516499282,0.8235646649886132,0.8258256688963211,0.8260869565217391,0.825857657291455,0.9007651841224295,0.44901299476623535
TabNet,0,0,train,0.8383152173913043,0.8334204610800355,0.838678844519966,0.8334204610800355,0.8353359215634665,0.8384424868863359,0.8383152173913043,0.8376832455490357,0.9162154694069589,169.52605724334717
TabNet,0,0,test,0.8695652173913043,0.8632233381157342,0.8732186732186732,0.8632233381157342,0.8664731494920175,0.8711889755368015,0.8695652173913043,0.8686817694200796,0.8986728837876614,169.52605724334717
FT-Transformer (lite),0,0,train,0.9483695652173914,0.945161796225626,0.9509816531114053,0.945161796225626,0.9474759615384616,0.9491944350786589,0.9483695652173914,0.9482020145275919,0.9779541907201482,40.00318169593811
FT-Transformer (lite),0,0,test,0.782608695652174,0.7764227642276422,0.7816764132553606,0.7764227642276422,0.7781796262808921,0.7822590897533689,0.782608695652174,0.7815866027203396,0.8714729794356767,40.00318169593811
IGTD-inspired,0,0,train,0.8682065217391305,0.876175291068908,0.8738163089619141,0.876175291068908,0.8681653915686568,0.8822309897960896,0.8682065217391305,0.8684121725914986,0.9629283884603034,11.394778490066528
IGTD-inspired,0,0,test,0.7717391304347826,0.7869440459110474,0.7976190476190477,0.7869440459110474,0.7710629221471739,0.8105590062111802,0.7717391304347826,0.7697105055719563,0.8969392635102822,11.394778490066528
Naive Reshape,0,0,train,0.8926630434782609,0.8933369678050529,0.8908703654228634,0.8933369678050529,0.8918192795518269,0.8935593825059596,0.8926630434782609,0.8928317962635476,0.9542205925184648,12.80319094657898
Naive Reshape,0,0,test,0.7934782608695652,0.799378287900526,0.7964015151515151,0.799378287900526,0.7932584269662921,0.8037096508563899,0.7934782608695652,0.793991206643869,0.898493543758967,12.80319094657898
AG-T2I-step_row,0,0,train,0.8586956521739131,0.8553430468324086,0.8582323844514881,0.8553430468324086,0.8565506488054633,,,,,96.98013925552368
AG-T2I-step_row,0,0,test,0.7663043478260869,0.759325681492109,0.7653211009174312,0.759325681492109,0.761161590243608,,,,0.8660927785748446,96.98013925552368
AG-T2I-packed,0,0,train,0.8369565217391305,0.8327744710723435,0.8365546567572262,0.8327744710723435,0.8342528994482603,,,,,83.58463430404663
AG-T2I-packed,0,0,test,0.7391304347826086,0.7348158775705405,0.7360576923076922,0.7348158775705405,0.7353469974829199,,,,0.8475609756097562,83.58463430404663
AG-T2I-packed_T,0,0,train,0.8288043478260869,0.8213258851556724,0.8322637939688791,0.8213258851556724,0.8244434348023626,,,,,90.05978870391846
AG-T2I-packed_T,0,0,test,0.7608695652173914,0.7544237207077953,0.7592592592592593,0.7544237207077953,0.7559975889089813,,,,0.8458273553323769,90.05978870391846
AG-T2I-step_sparse,0,0,train,0.8410326086956522,0.8440326206283653,0.8402591071586847,0.8440326206283653,0.8404361175605137,,,,,104.61012315750122
AG-T2I-step_sparse,0,0,test,0.7608695652173914,0.7627929220468675,0.7598108747044917,0.7627929220468675,0.7598481252966303,,,,0.8539574366331898,104.61012315750122
AG-T2I-attention_map,0,0,train,0.7051630434782609,0.6737078332823013,0.7850490196078431,0.6737078332823013,0.6589208871234691,,,,,87.08428692817688
AG-T2I-attention_map,0,0,test,0.6793478260869565,0.6450263032042085,0.7557453088762387,0.6450263032042085,0.6232517785875412,,,,0.8342898134863702,87.08428692817688
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1150209903717041
XGBoost,0,1,test,0.782608695652174,0.7812051649928264,0.78,0.7812051649928264,0.7805081712990576,0.7832608695652175,0.782608695652174,0.7828420872469646,0.8519846963175514,0.1150209903717041
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16449761390686035
LightGBM,0,1,test,0.7989130434782609,0.7983022477283597,0.7964943553178847,0.7983022477283597,0.7971817558912027,0.7999496241184221,0.7989130434782609,0.7992185648171535,0.8707556193208991,0.16449761390686035
CatBoost,0,1,train,0.9497282608695652,0.9472640642853409,0.9512507534659433,0.9472640642853409,0.948947817365466,0.9501088840186597,0.9497282608695652,0.9496167689404083,0.9887455844902654,0.23227834701538086
CatBoost,0,1,test,0.8260869565217391,0.8240076518412243,0.8240076518412243,0.8240076518412243,0.8240076518412243,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8922764227642276,0.23227834701538086
TabNet,0,1,train,0.8002717391304348,0.8001874491236194,0.7980837683910773,0.8001874491236194,0.7987975310891958,0.8016392208425331,0.8002717391304348,0.8006227410450155,0.8833035854312451,44.435803174972534
TabNet,0,1,test,0.7771739130434783,0.7774988043998088,0.7750325867993838,0.7774988043998088,0.7756831494751866,0.7793152392875726,0.7771739130434783,0.7776708342329088,0.8526422764227641,44.435803174972534
FT-Transformer (lite),0,1,train,0.9442934782608695,0.9417675481505269,0.9457052441229656,0.9417675481505269,0.9434286624860568,0.9446464197263936,0.9442934782608695,0.944169933150182,0.974952017505209,40.075352907180786
