model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.7956521739130435,0.018093282930650524,0.007092566908815006,0.1274240779876709
XGBoost,balanced_accuracy,0.7914686859431133,0.018685410157372025,0.007324680781689834,0.1274240779876709
XGBoost,precision_macro,0.7945745423088346,0.018577645624753225,0.007282437084903263,0.1274240779876709
XGBoost,recall_macro,0.7914686859431133,0.018685410157372025,0.007324680781689834,0.1274240779876709
XGBoost,f1_macro,0.792360676171569,0.01851232356446083,0.007256830837268645,0.1274240779876709
XGBoost,precision_weighted,0.7958507739863842,0.01828747707204657,0.007168691012242255,0.1274240779876709
XGBoost,recall_weighted,0.7956521739130435,0.018093282930650524,0.007092566908815006,0.1274240779876709
XGBoost,f1_weighted,0.7951074083990961,0.01815211804645142,0.007115630274208957,0.1274240779876709
XGBoost,roc_auc,0.8613066582280082,0.014625820140878362,0.005733321495224318,0.1274240779876709
LightGBM,accuracy,0.8119565217391305,0.007524115817860561,0.0029494534006013397,0.28449014663696287
LightGBM,balanced_accuracy,0.8081216352262183,0.005562283101802482,0.002180414975906573,0.28449014663696287
LightGBM,precision_macro,0.8115326154288682,0.009123472667668532,0.0035764012857260642,0.28449014663696287
LightGBM,recall_macro,0.8081216352262183,0.005562283101802482,0.002180414975906573,0.28449014663696287
LightGBM,f1_macro,0.8089988156151314,0.006716564813775096,0.0026328934069998378,0.28449014663696287
LightGBM,precision_weighted,0.812602882634864,0.007402311982250555,0.0029017062970422176,0.28449014663696287
LightGBM,recall_weighted,0.8119565217391305,0.007524115817860561,0.0029494534006013397,0.28449014663696287
LightGBM,f1_weighted,0.8114729450154062,0.007014899320262615,0.002749840533542945,0.28449014663696287
LightGBM,roc_auc,0.8737123273268367,0.012056194563432232,0.004726028268865434,0.28449014663696287
CatBoost,accuracy,0.8293478260869566,0.01876115505181882,0.007354372780312978,0.24932336807250977
CatBoost,balanced_accuracy,0.8257161492540327,0.020474270772122265,0.008025914142671927,0.24932336807250977
CatBoost,precision_macro,0.8289286676147831,0.018003406355009726,0.007057335291163813,0.24932336807250977
CatBoost,recall_macro,0.8257161492540327,0.020474270772122265,0.008025914142671927,0.24932336807250977
CatBoost,f1_macro,0.8265961254608233,0.019600219295839275,0.007683285963968995,0.24932336807250977
CatBoost,precision_weighted,0.8298109897752107,0.018789558198075203,0.00736550681364548,0.24932336807250977
CatBoost,recall_weighted,0.8293478260869566,0.01876115505181882,0.007354372780312978,0.24932336807250977
CatBoost,f1_weighted,0.8288717034620022,0.01920258331537801,0.00752741265962818,0.24932336807250977
CatBoost,roc_auc,0.8941753119841898,0.015967102575815857,0.006259104209719816,0.24932336807250977
TabNet,accuracy,0.833695652173913,0.031883543309416736,0.01249834897729136,82.46082928657532
TabNet,balanced_accuracy,0.8305792398395948,0.03058368475549287,0.011988804424153206,82.46082928657532
TabNet,precision_macro,0.8341681556579368,0.03330006880463593,0.013053626971417284,82.46082928657532
TabNet,recall_macro,0.8305792398395948,0.03058368475549287,0.011988804424153206,82.46082928657532
TabNet,f1_macro,0.8312768462555389,0.031592102461419934,0.012384104164876614,82.46082928657532
TabNet,precision_weighted,0.8351289934936009,0.0317024253324412,0.012427350730316951,82.46082928657532
TabNet,recall_weighted,0.833695652173913,0.031883543309416736,0.01249834897729136,82.46082928657532
TabNet,f1_weighted,0.8333425601343986,0.03154794253492548,0.012366793473690787,82.46082928657532
TabNet,roc_auc,0.8846339403953014,0.018043592577883422,0.007073088290530302,82.46082928657532
FT-Transformer (lite),accuracy,0.7978260869565217,0.01463360001938722,0.0057363712075997894,41.52179718017578
FT-Transformer (lite),balanced_accuracy,0.7927902955201919,0.01763591850034607,0.0069132800521356595,41.52179718017578
FT-Transformer (lite),precision_macro,0.7981608056832517,0.013918453248962076,0.005456033673593134,41.52179718017578
FT-Transformer (lite),recall_macro,0.7927902955201919,0.01763591850034607,0.0069132800521356595,41.52179718017578
FT-Transformer (lite),f1_macro,0.7938910829797297,0.0161590580984261,0.006334350774583031,41.52179718017578
FT-Transformer (lite),precision_weighted,0.7989129537155684,0.015011938253684997,0.005884679795444519,41.52179718017578
FT-Transformer (lite),recall_weighted,0.7978260869565217,0.01463360001938722,0.0057363712075997894,41.52179718017578
FT-Transformer (lite),f1_weighted,0.7968296852656842,0.01537873490149467,0.00602846408138591,41.52179718017578
FT-Transformer (lite),roc_auc,0.8632919507055026,0.02556474817948547,0.010021381286358304,41.52179718017578
IGTD-inspired,accuracy,0.7945652173913043,0.018363346859341764,0.0071984319688619715,11.886509799957276
IGTD-inspired,balanced_accuracy,0.7951778162552905,0.018559833981927214,0.007275454920915468,11.886509799957276
IGTD-inspired,precision_macro,0.8033490756618715,0.012855516629779332,0.005039362518873498,11.886509799957276
IGTD-inspired,recall_macro,0.7951778162552905,0.018559833981927214,0.007275454920915468,11.886509799957276
IGTD-inspired,f1_macro,0.7913089754122621,0.019390373429390855,0.007601026384321215,11.886509799957276
IGTD-inspired,precision_weighted,0.8073504545641764,0.0132788858896723,0.005205323268751541,11.886509799957276
IGTD-inspired,recall_weighted,0.7945652173913043,0.018363346859341764,0.0071984319688619715,11.886509799957276
IGTD-inspired,f1_weighted,0.7930590625977585,0.019443499248326744,0.007621851705344083,11.886509799957276
IGTD-inspired,roc_auc,0.8839633688524856,0.010177120098121752,0.003989431078463727,11.886509799957276
Naive Reshape,accuracy,0.8108695652173914,0.02465698838553659,0.009665539447130342,11.803797492980957
Naive Reshape,balanced_accuracy,0.8053698037173339,0.027313196657909558,0.010706773089900546,11.803797492980957
Naive Reshape,precision_macro,0.8162830062499247,0.020371045020404075,0.007985449647998398,11.803797492980957
Naive Reshape,recall_macro,0.8053698037173339,0.027313196657909558,0.010706773089900546,11.803797492980957
Naive Reshape,f1_macro,0.806099849638767,0.026966441352226287,0.010570845010072705,11.803797492980957
Naive Reshape,precision_weighted,0.8162785065796807,0.020358847204422135,0.007980668104133478,11.803797492980957
Naive Reshape,recall_weighted,0.8108695652173914,0.02465698838553659,0.009665539447130342,11.803797492980957
Naive Reshape,f1_weighted,0.8090032905119182,0.026079554236618605,0.010223185260754492,11.803797492980957
Naive Reshape,roc_auc,0.887461729526741,0.017642571217785258,0.006915887917371821,11.803797492980957
AG-T2I-step_row,accuracy,0.7969565217391305,0.026941031079741017,0.010560884183258479,97.03386005401612
AG-T2I-step_row,balanced_accuracy,0.7935791782839413,0.027858155942069304,0.010920397129291166,97.03386005401612
AG-T2I-step_row,precision_macro,0.7966929279321607,0.027570807438196825,0.010807756515773155,97.03386005401612
AG-T2I-step_row,recall_macro,0.7935791782839413,0.027858155942069304,0.010920397129291166,97.03386005401612
AG-T2I-step_row,f1_macro,0.7938436649484443,0.027370595985789167,0.010729273626429352,97.03386005401612
AG-T2I-step_row,roc_auc,0.8708210420271081,0.02234089680435659,0.008757631547307784,97.03386005401612
