model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20174598693847656
XGBoost,0,0,test,0.7397260273972602,0.6259259259259259,0.6860380116959064,0.6259259259259259,0.6444347573379832,0.7349345109348714,0.7397260273972602,0.732118331322927,0.8797138047138047,0.20174598693847656
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5882647037506104
LightGBM,0,0,test,0.7397260273972602,0.6259259259259259,0.6600543912973924,0.6259259259259259,0.6376696389484113,0.7325447106545145,0.7397260273972602,0.7337090269683199,0.880026455026455,0.5882647037506104
CatBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33422374725341797
CatBoost,0,0,test,0.8082191780821918,0.662962962962963,0.8310708898944194,0.662962962962963,0.7024054982817868,0.8181367383623628,0.8082191780821918,0.7925111465289406,0.9042207792207791,0.33422374725341797
TabNet,0,0,train,0.6323024054982818,0.4035381750465549,0.38487282463186084,0.4035381750465549,0.37889408099688476,0.5229440097158394,0.6323024054982818,0.5587323762726017,0.5873449862968816,12.202574253082275
TabNet,0,0,test,0.6712328767123288,0.4185185185185185,0.41435185185185186,0.4185185185185185,0.39256993997055156,0.5607876712328768,0.6712328767123288,0.5889992040551297,0.6002164502164502,12.202574253082275
FT-Transformer (lite),0,0,train,0.9518900343642611,0.9591558038485414,0.9309603366932212,0.9591558038485414,0.9439767324210308,0.9538003696797597,0.9518900343642611,0.9522410093701047,0.9942313637926025,23.33690571784973
FT-Transformer (lite),0,0,test,0.6164383561643836,0.5370370370370371,0.5242424242424243,0.5370370370370371,0.5279645191409897,0.6438356164383562,0.6164383561643836,0.6272859828863052,0.7924362674362676,23.33690571784973
IGTD-inspired,0,0,train,0.7422680412371134,0.5915403032721468,0.8100258455588406,0.5915403032721468,0.5618005080539771,0.7811462178514353,0.7422680412371134,0.6994227058438318,0.8972539551900042,5.162353754043579
IGTD-inspired,0,0,test,0.6575342465753424,0.4444444444444444,0.4090909090909091,0.4444444444444444,0.4235294117647059,0.5716064757160647,0.6575342465753424,0.6091861402095085,0.6303391053391053,5.162353754043579
Naive Reshape,0,0,train,0.7594501718213058,0.5518311607697083,0.8852141314017029,0.5518311607697083,0.5729190259574285,0.814311476719949,0.7594501718213058,0.7101831216140794,0.9079003509146361,5.047956228256226
Naive Reshape,0,0,test,0.684931506849315,0.4518518518518519,0.7708333333333334,0.4518518518518519,0.45792433865828364,0.7148972602739726,0.684931506849315,0.6174182735700897,0.8152958152958153,5.047956228256226
AG-T2I-step_row,0,0,train,0.7079037800687286,0.507049747273211,0.7232266350523613,0.507049747273211,0.5284126984126984,,,,,73.10996651649475
AG-T2I-step_row,0,0,test,0.684931506849315,0.4518518518518519,0.7365591397849464,0.4518518518518519,0.453796981834365,,,,0.8893097643097643,73.10996651649475
AG-T2I-packed,0,0,train,0.711340206185567,0.5057373414915315,0.7536250453798022,0.5057373414915315,0.5231191478826692,,,,,69.79161787033081
AG-T2I-packed,0,0,test,0.6986301369863014,0.4666666666666666,0.44401709401709405,0.4666666666666666,0.4450588837685612,,,,0.8956469456469457,69.79161787033081
AG-T2I-packed_T,0,0,train,0.7010309278350515,0.48220271348762966,0.7921531403258978,0.48220271348762966,0.4859761414445001,,,,,69.81847858428955
AG-T2I-packed_T,0,0,test,0.726027397260274,0.5185185185185186,0.8070404172099087,0.5185185185185186,0.5297954733438605,,,,0.8871572871572871,69.81847858428955
AG-T2I-step_sparse,0,0,train,0.7147766323024055,0.5255475747095859,0.7591312056737589,0.5255475747095859,0.5503054122656186,,,,,60.09274244308472
AG-T2I-step_sparse,0,0,test,0.684931506849315,0.4518518518518519,0.7365591397849464,0.4518518518518519,0.453796981834365,,,,0.879076479076479,60.09274244308472
AG-T2I-attention_map,0,0,train,0.6151202749140894,0.3333333333333333,0.2050400916380298,0.3333333333333333,0.25390070921985813,,,,,70.73499464988708
AG-T2I-attention_map,0,0,test,0.6164383561643836,0.3333333333333333,0.20547945205479454,0.3333333333333333,0.2542372881355932,,,,0.8834415584415584,70.73499464988708
XGBoost,0,1,train,0.9965635738831615,0.9952380952380953,0.9981481481481481,0.9952380952380953,0.9966734133584497,0.9965826651393663,0.9965635738831615,0.9965559987469347,0.9999618261571926,0.293165922164917
XGBoost,0,1,test,0.6301369863013698,0.46666666666666673,0.48493589743589743,0.46666666666666673,0.46833771309210964,0.5928609062170705,0.6301369863013698,0.6063672185439634,0.685088985088985,0.293165922164917
LightGBM,0,1,train,0.9965635738831615,0.9952380952380953,0.9981481481481481,0.9952380952380953,0.9966734133584497,0.9965826651393663,0.9965635738831615,0.9965559987469347,0.9999618261571926,0.28608107566833496
LightGBM,0,1,test,0.6164383561643836,0.45925925925925926,0.4718137254901961,0.45925925925925926,0.4611928104575163,0.5845756110663444,0.6164383561643836,0.5971494762288477,0.6986291486291486,0.28608107566833496
CatBoost,0,1,train,0.9965635738831615,0.9952380952380953,0.9981481481481481,0.9952380952380953,0.9966734133584497,0.9965826651393663,0.9965635738831615,0.9965559987469347,0.9999618261571926,0.2744407653808594
CatBoost,0,1,test,0.6712328767123288,0.5259259259259259,0.5788461538461539,0.5259259259259259,0.539262852907486,0.6475237091675449,0.6712328767123288,0.6518465598356274,0.6896344396344397,0.2744407653808594
TabNet,0,1,train,0.6735395189003437,0.46150571960627823,0.7290854572713643,0.46150571960627823,0.4556480915512089,0.7002663616645286,0.6735395189003437,0.620041180399768,0.762123589111437,32.88796877861023
TabNet,0,1,test,0.6712328767123288,0.4185185185185185,0.4603174603174603,0.4185185185185185,0.3975975975975976,0.5870841487279844,0.6712328767123288,0.5873380229544614,0.6221981721981722,32.88796877861023
FT-Transformer (lite),0,1,train,0.9759450171821306,0.9690165824244037,0.9721988194781624,0.9690165824244037,0.9705448840808776,0.9760064030145165,0.9759450171821306,0.9759438426367604,0.9987775018496822,36.81738209724426
FT-Transformer (lite),0,1,test,0.6027397260273972,0.43703703703703706,0.41185185185185186,0.43703703703703706,0.42378167641325537,0.5561643835616439,0.6027397260273972,0.578226387887527,0.6548581048581049,36.81738209724426
IGTD-inspired,0,1,train,0.8281786941580757,0.6851644941030416,0.8593305355252072,0.6851644941030416,0.7283453617426554,0.8379428007036192,0.8281786941580757,0.809965963712288,0.9237283540032492,7.712510824203491
IGTD-inspired,0,1,test,0.6575342465753424,0.4222222222222222,0.4444444444444444,0.4222222222222222,0.40740740740740744,0.5753424657534246,0.6575342465753424,0.589041095890411,0.6325396825396825,7.712510824203491
