model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.6949010654490106,0.05218110030763225,0.020454991320591843,0.3506713199615479
XGBoost,balanced_accuracy,0.5544068132303426,0.05909810531718785,0.023166457284337638,0.3506713199615479
XGBoost,precision_macro,0.6060854837170626,0.07626124408566023,0.029894407681578812,0.3506713199615479
XGBoost,recall_macro,0.5544068132303426,0.05909810531718785,0.023166457284337638,0.3506713199615479
XGBoost,f1_macro,0.5632705149079957,0.06682193872250157,0.026194199979220616,0.3506713199615479
XGBoost,precision_weighted,0.6736602715201608,0.057448561289496096,0.022519836025482468,0.3506713199615479
XGBoost,recall_weighted,0.6949010654490106,0.05218110030763225,0.020454991320591843,0.3506713199615479
XGBoost,f1_weighted,0.6748131338036394,0.052896333953625495,0.020735362909821194,0.3506713199615479
XGBoost,roc_auc,0.8144212420616244,0.07339509959263574,0.02877087904031321,0.3506713199615479
LightGBM,accuracy,0.7059741248097413,0.052425924809516834,0.0205509625253306,0.415656099319458
LightGBM,balanced_accuracy,0.5730778371954842,0.06037819933774081,0.023668254140394394,0.415656099319458
LightGBM,precision_macro,0.6265644430200354,0.08469652930516411,0.03320103948762433,0.415656099319458
LightGBM,recall_macro,0.5730778371954842,0.06037819933774081,0.023668254140394394,0.415656099319458
LightGBM,f1_macro,0.5865370723099017,0.06601367059137439,0.025877358871818763,0.415656099319458
LightGBM,precision_weighted,0.6876197084806275,0.059721467167026615,0.023410815129474433,0.415656099319458
LightGBM,recall_weighted,0.7059741248097413,0.052425924809516834,0.0205509625253306,0.415656099319458
LightGBM,f1_weighted,0.6883450702301532,0.05312809608588185,0.020826213665665685,0.415656099319458
LightGBM,roc_auc,0.8261182381428006,0.07563766627550353,0.029649965179997385,0.415656099319458
CatBoost,accuracy,0.7195205479452055,0.06683568171669088,0.026199587232942825,0.21024354934692382
CatBoost,balanced_accuracy,0.5920954644484056,0.06370542926637734,0.024972528272419917,0.21024354934692382
CatBoost,precision_macro,0.6603552928552928,0.1040368418735095,0.04078244201441573,0.21024354934692382
CatBoost,recall_macro,0.5920954644484056,0.06370542926637734,0.024972528272419917,0.21024354934692382
CatBoost,f1_macro,0.60716613794773,0.07107164673471401,0.02786008552000789,0.21024354934692382
CatBoost,precision_weighted,0.7073318448197576,0.07506728482192021,0.029426375650192724,0.21024354934692382
