model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.9677313354363828,0.9570709057418108,0.9724474052686254,0.9570709057418108,0.9640536319640196,0.9683691793638853,0.9677313354363828,0.9674645942558313,0.9955522426993529,0.5360543727874756
XGBoost,0,0,test,0.8851209253417456,0.861069786097959,0.8835635894707415,0.861069786097959,0.8704272317101545,0.8847924927767712,0.8851209253417456,0.8833888818301372,0.9339132949852034,0.5360543727874756
LightGBM,0,0,train,0.92448738170347,0.9040528067047545,0.9297315027336497,0.9040528067047545,0.9148076078251919,0.9256103393753226,0.92448738170347,0.9233267147244991,0.9748846580774675,3.183253526687622
LightGBM,0,0,test,0.8796004206098843,0.8523599016365312,0.8798595892593628,0.8523599016365312,0.863344406557591,0.8796635647788337,0.8796004206098843,0.8773453942703131,0.9363457019341924,3.183253526687622
CatBoost,0,0,train,0.9045741324921136,0.8820255092032478,0.9067286040118631,0.8820255092032478,0.8922932325658819,0.9050407726269013,0.9045741324921136,0.9030826413371955,0.9572120846906989,0.9875750541687012
CatBoost,0,0,test,0.8840694006309149,0.8583748259372255,0.8839280146340449,0.8583748259372255,0.8687661713609818,0.8840368471793193,0.8840694006309149,0.8820784493248188,0.9361434813888884,0.9875750541687012
TabNet,0,0,train,0.8659305993690851,0.8255860394526254,0.8789240098301606,0.8255860394526254,0.8431760559025416,0.8706374522120066,0.8659305993690851,0.8608975895823169,0.9214834957025431,1109.292141675949
TabNet,0,0,test,0.8656677181913774,0.8232894097373286,0.8817678311864067,0.8232894097373286,0.8419727288402672,0.8717495890694558,0.8656677181913774,0.8601501476907456,0.9162940341300985,1109.292141675949
FT-Transformer (lite),0,0,train,0.8940588853838065,0.869768675853228,0.8952501414463775,0.869768675853228,0.8802200277577951,0.8943277864092513,0.8940588853838065,0.8922982573254316,0.949247347128678,302.5604438781738
FT-Transformer (lite),0,0,test,0.8774973711882229,0.8512523879153973,0.876118513853291,0.8512523879153973,0.8613547791063894,0.8771813438590707,0.8774973711882229,0.8754080372361829,0.9343947435998106,302.5604438781738
