model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.882124079915878,0.004589767847461573,0.0017991889962049366,0.22740473747253417
XGBoost,balanced_accuracy,0.8581502259550133,0.005491263964292639,0.0021525754740027146,0.22740473747253417
XGBoost,precision_macro,0.8797748257133847,0.004990523776226251,0.0019562853202806903,0.22740473747253417
XGBoost,recall_macro,0.8581502259550133,0.005491263964292639,0.0021525754740027146,0.22740473747253417
XGBoost,f1_macro,0.8671731007726234,0.005308833987462211,0.0020810629230851867,0.22740473747253417
XGBoost,precision_weighted,0.88164207583881,0.004679838060921445,0.0018344965198812066,0.22740473747253417
XGBoost,recall_weighted,0.882124079915878,0.004589767847461573,0.0017991889962049366,0.22740473747253417
XGBoost,f1_weighted,0.8803965984147668,0.004723680140750177,0.0018516826151740693,0.22740473747253417
XGBoost,roc_auc,0.9352912169766833,0.0032781897016791587,0.00128505036305823,0.22740473747253417
LightGBM,accuracy,0.8812828601472134,0.004436647227550605,0.0017391657131998373,1.2171394062042236
LightGBM,balanced_accuracy,0.8549695841744801,0.004340767650486996,0.0017015809189909023,1.2171394062042236
LightGBM,precision_macro,0.8811297482651698,0.006006322333677784,0.002354478354801691,1.2171394062042236
LightGBM,recall_macro,0.8549695841744801,0.004340767650486996,0.0017015809189909023,1.2171394062042236
LightGBM,f1_macro,0.8655231004124814,0.0048557461333266225,0.001903452484264036,1.2171394062042236
LightGBM,precision_weighted,0.8812666790765911,0.004808782456930005,0.001885042723116562,1.2171394062042236
LightGBM,recall_weighted,0.8812828601472134,0.004436647227550605,0.0017391657131998373,1.2171394062042236
LightGBM,f1_weighted,0.8791835122672081,0.004419301114376219,0.001732366036835478,1.2171394062042236
LightGBM,roc_auc,0.9357497433069368,0.0026353322790123937,0.0010330502533728583,1.2171394062042236
CatBoost,accuracy,0.8823343848580442,0.0036060424717056488,0.0014135686489086144,0.6892886447906494
CatBoost,balanced_accuracy,0.8558145446838695,0.004912755838196688,0.0019258002885731017,0.6892886447906494
CatBoost,precision_macro,0.88267956323251,0.003544909097726295,0.0013896043663087078,0.6892886447906494
CatBoost,recall_macro,0.8558145446838695,0.004912755838196688,0.0019258002885731017,0.6892886447906494
CatBoost,f1_macro,0.8665997767873043,0.004378799720885816,0.00171648949058724,0.6892886447906494
CatBoost,precision_weighted,0.8824331441001219,0.003550827779023195,0.0013919244893770923,0.6892886447906494
CatBoost,recall_weighted,0.8823343848580442,0.0036060424717056488,0.0014135686489086144,0.6892886447906494
CatBoost,f1_weighted,0.8801940455439906,0.003816065697178334,0.0014958977532939068,0.6892886447906494
