model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.9981684981684982,0.9992790194664745,0.9992887624466571,0.9992790194664745,0.9992789856414435,0.9981932481932483,0.9981684981684982,0.9981684122430076,0.9999984757282588,0.6851129531860352
XGBoost,0,0,test,0.948905109489051,0.9488304093567251,0.9806501547987616,0.9488304093567251,0.9525920063316184,0.9516960068699012,0.948905109489051,0.9429669063168872,0.9988432122618208,0.6851129531860352
LightGBM,0,0,train,0.9981684981684982,0.9992790194664745,0.9992887624466571,0.9992790194664745,0.9992789856414435,0.9981932481932483,0.9981684981684982,0.9981684122430076,0.9999984757282588,2.1714272499084473
LightGBM,0,0,test,0.9416058394160584,0.9459064327485379,0.9781328320802004,0.9459064327485379,0.9496154055059056,0.9454118873826903,0.9416058394160584,0.9355362677592683,0.9994102904319623,2.1714272499084473
CatBoost,0,0,train,0.9981684981684982,0.9992790194664745,0.9992887624466571,0.9992790194664745,0.9992789856414435,0.9981932481932483,0.9981684981684982,0.9981684122430076,0.9999984757282588,1.9534687995910645
CatBoost,0,0,test,0.9343065693430657,0.9400584795321637,0.9671283471837488,0.9400584795321637,0.9408227357225238,0.9383787936995774,0.9343065693430657,0.9288054229004715,0.9990902178045734,1.9534687995910645
TabNet,0,0,train,0.8461538461538461,0.795856902066347,0.7631700027338199,0.795856902066347,0.7612412641992357,0.8216233384320794,0.8461538461538461,0.8193983325953996,0.9911785643702067,131.2374551296234
TabNet,0,0,test,0.8832116788321168,0.8377192982456141,0.8108220074918858,0.8377192982456141,0.8109296117102913,0.8544065012028399,0.8832116788321168,0.857840624291971,0.9919547805271692,131.2374551296234
FT-Transformer (lite),0,0,train,0.9743589743589743,0.9899062725306416,0.9915305505142167,0.9899062725306416,0.9898125996810206,0.9784851164161509,0.9743589743589743,0.9741210178710178,0.9998917767063841,71.63090538978577
FT-Transformer (lite),0,0,test,0.9197080291970803,0.9239766081871346,0.9156243879235569,0.9239766081871346,0.9188271121789128,0.8988579610938427,0.9197080291970803,0.9068530829575778,0.9922371072159242,71.63090538978577
IGTD-inspired,0,0,train,0.8663003663003663,0.8601955416122684,0.9469781297011594,0.8601955416122684,0.8706984213731537,0.8954056362202649,0.8663003663003663,0.8563889182580159,0.9938828335584088,11.134748935699463
IGTD-inspired,0,0,test,0.8394160583941606,0.8099415204678363,0.8069390750831194,0.8099415204678363,0.7978751136645874,0.8144026545870573,0.8394160583941606,0.8176992994511244,0.9937921873504711,11.134748935699463
Naive Reshape,0,0,train,0.7527472527472527,0.6582358107412181,0.8022372562416371,0.6582358107412181,0.668136801294323,0.7816672816331175,0.7527472527472527,0.7250657422748491,0.9827605745859725,11.541590690612793
Naive Reshape,0,0,test,0.781021897810219,0.6652046783625731,0.7063397129186603,0.6652046783625731,0.6650107944307064,0.7488553417385534,0.781021897810219,0.74631832992661,0.9849749341103016,11.541590690612793
AG-T2I-step_row,0,0,train,0.7710622710622711,0.6992454293824156,0.7163386792309622,0.6992454293824156,0.6893835481800445,,,,,182.40016412734985
AG-T2I-step_row,0,0,test,0.781021897810219,0.6666666666666667,0.7294191919191919,0.6666666666666667,0.6583763329893361,,,,0.9827940554107146,182.40016412734985
AG-T2I-packed,0,0,train,0.6996336996336996,0.5799780829341031,0.6042835578142364,0.5799780829341031,0.5700491219698939,,,,,198.85934925079346
AG-T2I-packed,0,0,test,0.7299270072992701,0.5716374269005847,0.5799085439057696,0.5716374269005847,0.5615190290606126,,,,0.979332886201572,198.85934925079346
AG-T2I-packed_T,0,0,train,0.7326007326007326,0.6321634681854581,0.6427894230525809,0.6321634681854581,0.6101985874144423,,,,,245.67214155197144
AG-T2I-packed_T,0,0,test,0.7445255474452555,0.6081871345029239,0.6015424925951242,0.6081871345029239,0.5838865515796521,,,,0.9834109630694383,245.67214155197144
AG-T2I-step_sparse,0,0,train,0.6996336996336996,0.5689598278369007,0.6083421882220099,0.5689598278369007,0.5516296023848797,,,,,237.14863872528076
AG-T2I-step_sparse,0,0,test,0.7153284671532847,0.5555555555555556,0.5459198257882468,0.5555555555555556,0.5282469220765714,,,,0.9799814778173503,237.14863872528076
AG-T2I-attention_map,0,0,train,0.15934065934065933,0.09172932330827067,0.01970321620049172,0.09172932330827067,0.030590411765255496,,,,,198.32280683517456
AG-T2I-attention_map,0,0,test,0.17518248175182483,0.0935672514619883,0.0219705106923152,0.0935672514619883,0.03381896810035552,,,,0.7207416957752767,198.32280683517456
XGBoost,0,1,train,0.9981684981684982,0.9992790194664745,0.9992790194664745,0.9992790194664745,0.9992740471869329,0.9981935872346832,0.9981684981684982,0.9981684981684982,0.9999984667732518,1.320455551147461
XGBoost,0,1,test,0.9197080291970803,0.9519082794706063,0.9638965835641735,0.9519082794706063,0.9532587250376983,0.9284863618901268,0.9197080291970803,0.9162937870129483,0.9982678452737027,1.320455551147461
LightGBM,0,1,train,0.9981684981684982,0.9992790194664745,0.9992790194664745,0.9992790194664745,0.9992740471869329,0.9981935872346832,0.9981684981684982,0.9981684981684982,0.9999984667732518,4.166418552398682
LightGBM,0,1,test,0.9197080291970803,0.9519082794706063,0.9638965835641735,0.9519082794706063,0.9532587250376983,0.9284863618901268,0.9197080291970803,0.9162937870129483,0.9979042243296055,4.166418552398682
CatBoost,0,1,train,0.9981684981684982,0.9992790194664745,0.9992790194664745,0.9992790194664745,0.9992740471869329,0.9981935872346832,0.9981684981684982,0.9981684981684982,0.9999984667732518,1.4748210906982422
CatBoost,0,1,test,0.9416058394160584,0.9769159741458912,0.9777493974169874,0.9769159741458912,0.9764337508239948,0.9427957751046494,0.9416058394160584,0.9399241684269278,0.9988905464058951,1.4748210906982422
TabNet,0,1,train,0.9413919413919414,0.9548382482683133,0.9655252905760005,0.9548382482683133,0.9565447612069092,0.9478490335126091,0.9413919413919414,0.9401400240993033,0.9987501234304761,132.19899201393127
TabNet,0,1,test,0.9197080291970803,0.9590643274853801,0.9478947368421051,0.9590643274853801,0.9452742702050182,0.9364233576642336,0.9197080291970803,0.9138788688154804,0.992834996623264,132.19899201393127
FT-Transformer (lite),0,1,train,0.9652014652014652,0.975927261075062,0.9868706991514009,0.975927261075062,0.980197774870423,0.966573981348096,0.9652014652014652,0.9647012822504766,0.9996509705568419,70.01605534553528
FT-Transformer (lite),0,1,test,0.9197080291970803,0.9653739612188366,0.9643736534318252,0.9653739612188366,0.9646720208884133,0.9172109104878986,0.9197080291970803,0.9179557401970455,0.9980629636532298,70.01605534553528
IGTD-inspired,0,1,train,0.8516483516483516,0.7978409169288765,0.8526930143765907,0.7978409169288765,0.8006835161794144,0.8368469811273996,0.8516483516483516,0.8341242575205519,0.9907932476816236,11.746344327926636
IGTD-inspired,0,1,test,0.7591240875912408,0.7421514312096029,0.7692967266651477,0.7421514312096029,0.7217863656954039,0.7550788384365027,0.7591240875912408,0.7331975639009561,0.9864410616861109,11.746344327926636
Naive Reshape,0,1,train,0.8223443223443223,0.7353420458773738,0.7842580973519564,0.7353420458773738,0.7294478160674712,0.8126842067528676,0.8223443223443223,0.7953521131267284,0.9909466560190964,11.378397464752197
