model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6890559196472168
XGBoost,0,0,test,0.9951388888888889,0.989618204596332,0.9625889255969636,0.989618204596332,0.9754992790684769,0.9953093695216629,0.9951388888888889,0.9951814426589081,0.9997910840134808,0.6890559196472168
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.284332752227783
LightGBM,0,0,test,0.9979166666666667,0.9893992397740524,0.9801420943471162,0.9893992397740524,0.9846996737348132,0.997956995376295,0.9979166666666667,0.9979318233541704,0.9998023067688601,2.284332752227783
CatBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7482383251190186
CatBoost,0,0,test,0.9958333333333333,0.975700609637066,0.9793941528707292,0.975700609637066,0.9773325562022527,0.9958783413565027,0.9958333333333333,0.9958285879994752,0.9997076927646774,0.7482383251190186
TabNet,0,0,train,0.9397569444444445,0.5545145302510156,0.6920449402829427,0.5545145302510156,0.5669475931783584,0.9082900806885335,0.9397569444444445,0.9148537269368008,0.9331752724723379,535.3026955127716
TabNet,0,0,test,0.9402777777777778,0.555055805430618,0.6075583864118896,0.555055805430618,0.5761353032984782,0.8934504600141543,0.9402777777777778,0.9157833101105073,0.9221825606442259,535.3026955127716
FT-Transformer (lite),0,0,train,0.9970486111111111,0.9903978113172361,0.9699192298609969,0.9903978113172361,0.9795284432990293,0.997213229394082,0.9970486111111111,0.9970840703469313,0.9999631491581055,357.9677538871765
FT-Transformer (lite),0,0,test,0.9902777777777778,0.9509014691491947,0.9276843429011334,0.9509014691491947,0.937592308003753,0.990834277545041,0.9902777777777778,0.9904181688263146,0.9993300467596878,357.9677538871765
IGTD-inspired,0,0,train,0.9944444444444445,0.9720449323494376,0.9639222388652834,0.9720449323494376,0.9679257267930037,0.994506008796472,0.9944444444444445,0.9944658452697402,0.9995981252216793,166.62183046340942
IGTD-inspired,0,0,test,0.9819444444444444,0.8795025484352054,0.9276651718101533,0.8795025484352054,0.9019647816630888,0.9814030435163876,0.9819444444444444,0.9814185376560634,0.9963698899098233,166.62183046340942
Naive Reshape,0,0,train,0.9902777777777778,0.962314028551741,0.9351827957440945,0.962314028551741,0.9483997645072364,0.9905647072331409,0.9902777777777778,0.9903872550802314,0.9993158801266802,131.3169481754303
Naive Reshape,0,0,test,0.9840277777777777,0.8888848435889983,0.9383806717476072,0.8888848435889983,0.9123656524986199,0.9835435237085943,0.9840277777777777,0.9836045848396129,0.9951640572936166,131.3169481754303
AG-T2I-step_row,0,0,train,0.9717013888888889,0.799838918886087,0.909476401179941,0.799838918886087,0.8479737540982869,,,,,486.9109742641449
