,AG-T2I-packed,AG-T2I-packed_T,AG-T2I-step_row,AG-T2I-step_sparse,TabNet,FT-Transformer (lite),AG-T2I-attention_map,IGTD-inspired,XGBoost,Naive Reshape,LightGBM,CatBoost
AG-T2I-packed,1.0,0.9999999999956494,0.9955702507487407,0.9870347454427193,0.9762260276621991,0.9687126841024106,0.9595357214452838,0.8106690183628132,0.6866173276688174,0.6521416853430608,0.253115903147637,0.07376819506774346
AG-T2I-packed_T,0.9999999999956494,1.0,0.998812669030701,0.9955702507487407,0.9907202333554387,0.9870347454427193,0.982267877704604,0.8832712661303679,0.7822268907290327,0.7519215473461818,0.3393786565830865,0.1110885089799939
AG-T2I-step_row,0.9955702507487407,0.998812669030701,1.0,0.9999999999956494,0.9999999988490281,0.9999999916855283,0.9999999561641175,0.9998768691084337,0.998812669030701,0.9981007627237483,0.9203341496598972,0.6521416853430608
AG-T2I-step_sparse,0.9870347454427193,0.9955702507487407,0.9999999999956494,1.0,0.999999999999949,0.9999999999956494,0.9999999998988255,0.9999870507094276,0.9997680792322757,0.999583474913321,0.9595357214452838,0.7519215473461818
TabNet,0.9762260276621991,0.9907202333554387,0.9999999988490281,0.999999999999949,1.0,1.0,0.999999999999949,0.9999980525748577,0.9999380401314061,0.9998768691084337,0.9762260276621991,0.8106690183628132
FT-Transformer (lite),0.9687126841024106,0.9870347454427193,0.9999999916855283,0.9999999999956494,1.0,1.0,1.0,0.9999993587202607,0.9999706651148683,0.9999380401314061,0.982267877704604,0.8370712044193436
AG-T2I-attention_map,0.9595357214452838,0.982267877704604,0.9999999561641175,0.9999999998988255,0.999999999999949,1.0,1.0,0.9999998167098759,0.9999870507094276,0.9999706651148683,0.9870347454427193,0.8613005763701143
IGTD-inspired,0.8106690183628132,0.8832712661303679,0.9998768691084337,0.9999870507094276,0.9999980525748577,0.9999993587202607,0.9999998167098759,1.0,0.9999999998988255,0.9999999988490281,0.999583474913321,0.9762260276621991
XGBoost,0.6866173276688174,0.7822268907290327,0.998812669030701,0.9997680792322757,0.9999380401314061,0.9999706651148683,0.9999870507094276,0.9999999998988255,1.0,1.0,0.9999706651148683,0.9935087127674083
Naive Reshape,0.6521416853430608,0.7519215473461818,0.9981007627237483,0.999583474913321,0.9998768691084337,0.9999380401314061,0.9999706651148683,0.9999999988490281,1.0,1.0,0.9999870507094276,0.9955702507487407
LightGBM,0.253115903147637,0.3393786565830865,0.9203341496598972,0.9595357214452838,0.9762260276621991,0.982267877704604,0.9870347454427193,0.999583474913321,0.9999706651148683,0.9999870507094276,1.0,0.9999980525748577
CatBoost,0.07376819506774346,0.1110885089799939,0.6521416853430608,0.7519215473461818,0.8106690183628132,0.8370712044193436,0.8613005763701143,0.9762260276621991,0.9935087127674083,0.9955702507487407,0.9999980525748577,1.0
