model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,0.9055374592833876,0.8883878504672897,0.9015217391304348,0.8883878504672897,0.8943251551947204,0.9050120379549639,0.9055374592833876,0.904752597997181,0.9691588785046729,0.07993173599243164
XGBoost,0,0,test,0.7402597402597403,0.702037037037037,0.7144261006289309,0.702037037037037,0.7068341899866742,0.7349148493016417,0.7402597402597403,0.7364029459974635,0.8140740740740741,0.07993173599243164
LightGBM,0,0,train,0.9185667752442996,0.9059929906542057,0.9134899105273178,0.9059929906542057,0.9095355964167845,0.9181646473459248,0.9185667752442996,0.9181943554988351,0.9747079439252335,4.080704212188721
LightGBM,0,0,test,0.7402597402597403,0.7062962962962962,0.7142307692307692,0.7062962962962962,0.7096530920060332,0.7364035964035964,0.7402597402597403,0.7378112083994437,0.8114814814814815,4.080704212188721
CatBoost,0,0,train,0.8648208469055375,0.8430140186915889,0.8555367197432948,0.8430140186915889,0.8485954931000164,0.8635313847996705,0.8648208469055375,0.863609999606618,0.9374182242990654,0.25445103645324707
CatBoost,0,0,test,0.7597402597402597,0.7255555555555555,0.736734693877551,0.7255555555555555,0.7301444470755387,0.7556321229790618,0.7597402597402597,0.7568387094790126,0.8240740740740742,0.25445103645324707
TabNet,0,0,train,0.7638436482084691,0.7035864485981308,0.7538565747498143,0.7035864485981308,0.7155472911015472,0.7596615611976574,0.7638436482084691,0.7510537038362802,0.8367056074766355,36.759652614593506
TabNet,0,0,test,0.7662337662337663,0.7050000000000001,0.7605932203389831,0.7050000000000001,0.7174311926605504,0.7637574290116663,0.7662337662337663,0.7525080424162993,0.825925925925926,36.759652614593506
FT-Transformer (lite),0,0,train,0.8697068403908795,0.8489369158878505,0.8607367149758454,0.8489369158878505,0.8542415933720282,0.8685331791216228,0.8697068403908795,0.8686242730995598,0.9363785046728972,31.47417902946472
FT-Transformer (lite),0,0,test,0.7337662337662337,0.7098148148148149,0.7080808080808081,0.7098148148148149,0.7089115301277027,0.7349337531155714,0.7337662337662337,0.7343185605137567,0.807037037037037,31.47417902946472
IGTD-inspired,0,0,train,0.745928338762215,0.6757126168224299,0.7364045014459952,0.6757126168224299,0.6861310998387795,0.741465740705472,0.745928338762215,0.7276321686438504,0.8116471962616822,4.572070360183716
IGTD-inspired,0,0,test,0.7337662337662337,0.6544444444444445,0.7300689655172414,0.6544444444444445,0.66190093708166,0.7318405732198835,0.7337662337662337,0.7084615518350458,0.7964814814814815,4.572070360183716
Naive Reshape,0,0,train,0.750814332247557,0.6935864485981308,0.7329186871881369,0.6935864485981308,0.7036258837559272,0.7438679963363347,0.750814332247557,0.7394505834271237,0.8147429906542056,4.494659900665283
Naive Reshape,0,0,test,0.7467532467532467,0.672962962962963,0.7449514817728822,0.672962962962963,0.6831442891057768,0.7458523642630644,0.7467532467532467,0.7255502608707568,0.784074074074074,4.494659900665283
AG-T2I-step_row,0,0,train,0.7154471544715447,0.6425000000000001,0.6922172030867684,0.6425000000000001,0.648744618979703,,,,,22.584733486175537
AG-T2I-step_row,0,0,test,0.7058823529411765,0.6065094339622642,0.6958709229701596,0.6065094339622642,0.6025974025974026,,,,0.670377358490566,22.584733486175537
AG-T2I-packed,0,0,train,0.7365853658536585,0.6845639534883721,0.7121538173652695,0.6845639534883721,0.6924392472587177,,,,,22.586981534957886
AG-T2I-packed,0,0,test,0.7450980392156863,0.6719811320754717,0.7354080578512396,0.6719811320754717,0.6823529411764706,,,,0.6996226415094339,22.586981534957886
AG-T2I-packed_T,0,0,train,0.734959349593496,0.6897674418604651,0.7084291187739464,0.6897674418604651,0.6960660956567877,,,,,20.343767642974854
AG-T2I-packed_T,0,0,test,0.7450980392156863,0.6764150943396227,0.73109243697479,0.6764150943396227,0.6868209730751063,,,,0.6986792452830188,20.343767642974854
AG-T2I-step_sparse,0,0,train,0.7560975609756098,0.7307558139534883,0.731763716628127,0.7307558139534883,0.7312501456638777,,,,,22.858637809753418
AG-T2I-step_sparse,0,0,test,0.7450980392156863,0.6985849056603773,0.7194537114261885,0.6985849056603773,0.70566763675825,,,,0.7335849056603774,22.858637809753418
AG-T2I-attention_map,0,0,train,0.7821138211382114,0.7378488372093024,0.7675045118091701,0.7378488372093024,0.7477471410730465,,,,,25.526557207107544
AG-T2I-attention_map,0,0,test,0.7189542483660131,0.6519811320754717,0.6912393162393162,0.6519811320754717,0.65934862527831,,,,0.7945283018867925,25.526557207107544
XGBoost,0,1,train,0.9022801302931596,0.8804556074766355,0.9019426342812007,0.8804556074766355,0.8896120240192729,0.9022155658386979,0.9022801302931596,0.9009402344372678,0.9732359813084113,0.07997655868530273
XGBoost,0,1,test,0.7532467532467533,0.7077777777777778,0.7318181818181818,0.7077777777777778,0.7156462585034014,0.7467532467532467,0.7532467532467533,0.7465323791854404,0.8105555555555556,0.07997655868530273
