model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.7621282856576975,0.02792267507988363,0.014130823260617487,0.11889193852742513
XGBoost,balanced_accuracy,0.7242823200559049,0.03791748300369387,0.019188893946578797,0.11889193852742513
XGBoost,precision_macro,0.7410487529065788,0.03415742437981133,0.0172860417409202,0.11889193852742513
XGBoost,recall_macro,0.7242823200559049,0.03791748300369387,0.019188893946578797,0.11889193852742513
XGBoost,f1_macro,0.729170663313779,0.034942362868459274,0.017683275423646082,0.11889193852742513
XGBoost,precision_weighted,0.7587559391298119,0.031717977040294984,0.01605151105538702,0.11889193852742513
XGBoost,recall_weighted,0.7621282856576975,0.02792267507988363,0.014130823260617487,0.11889193852742513
XGBoost,f1_weighted,0.7575659033979263,0.02960844364777802,0.014983939862915433,0.11889193852742513
XGBoost,roc_auc,0.8263899371069183,0.03088695066894297,0.015630953685976962,0.11889193852742513
LightGBM,accuracy,0.7595308830602948,0.02615128227879436,0.013234374817704654,2.258902835845947
LightGBM,balanced_accuracy,0.7223289075238759,0.031855670708216016,0.016121193665664574,2.258902835845947
LightGBM,precision_macro,0.738210185649627,0.03420200024530526,0.017308600241321102,2.258902835845947
LightGBM,recall_macro,0.7223289075238759,0.031855670708216016,0.016121193665664574,2.258902835845947
LightGBM,f1_macro,0.7272023279078484,0.030770027198966717,0.015571782246115787,2.258902835845947
LightGBM,precision_weighted,0.7563863983920615,0.029378211791021198,0.014867426467709315,2.258902835845947
LightGBM,recall_weighted,0.7595308830602948,0.02615128227879436,0.013234374817704654,2.258902835845947
LightGBM,f1_weighted,0.7554400506062025,0.02671769792804285,0.013521020685576554,2.258902835845947
LightGBM,roc_auc,0.8183570929419985,0.03165780520504502,0.016021059905318064,2.258902835845947
CatBoost,accuracy,0.7547576606400136,0.032937033657398467,0.016668438822934117,0.23283581733703612
CatBoost,balanced_accuracy,0.7131157698579081,0.04327257423796665,0.021898944024499406,0.23283581733703612
CatBoost,precision_macro,0.734537532257446,0.04449860740711033,0.022519402414508945,0.23283581733703612
CatBoost,recall_macro,0.7131157698579081,0.04327257423796665,0.021898944024499406,0.23283581733703612
CatBoost,f1_macro,0.7183256188655126,0.04170468827501676,0.021105484251327123,0.23283581733703612
CatBoost,precision_weighted,0.7515582930173611,0.03879826762266191,0.019634632463597687,0.23283581733703612
CatBoost,recall_weighted,0.7547576606400136,0.032937033657398467,0.016668438822934117,0.23283581733703612
CatBoost,f1_weighted,0.7486809349436475,0.035203736428309554,0.017815548695052787,0.23283581733703612
CatBoost,roc_auc,0.8327262986256696,0.033218855810774134,0.016811060510465308,0.23283581733703612
TabNet,accuracy,0.7886285827462297,0.027525930052439748,0.013930042574444,43.518921264012654
TabNet,balanced_accuracy,0.7409941765665037,0.035119442620325306,0.017772890142489964,43.518921264012654
TabNet,precision_macro,0.7798401292136821,0.03621791986963321,0.018328796330610242,43.518921264012654
TabNet,recall_macro,0.7409941765665037,0.035119442620325306,0.017772890142489964,43.518921264012654
TabNet,f1_macro,0.7518417477704123,0.035217000005271434,0.017822260991110228,43.518921264012654
TabNet,precision_weighted,0.7865021782894119,0.031153481643047046,0.015765836969106894,43.518921264012654
TabNet,recall_weighted,0.7886285827462297,0.027525930052439748,0.013930042574444,43.518921264012654
