model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
XGBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04077649116516113
XGBoost,0,0,test,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9696969696969696,0.9666666666666667,0.9665831244778613,1.0,0.04077649116516113
LightGBM,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5285673141479492
LightGBM,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5285673141479492
CatBoost,0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.273967981338501
CatBoost,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.273967981338501
TabNet,0,0,train,0.9666666666666667,0.9666666666666667,0.9670731707317074,0.9666666666666667,0.9667682450382872,0.9670731707317073,0.9666666666666667,0.9667682450382873,0.9926041666666667,4.130011081695557
TabNet,0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.130011081695557
FT-Transformer (lite),0,0,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.949078798294067
FT-Transformer (lite),0,0,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.949078798294067
IGTD-inspired,0,0,train,0.9416666666666667,0.9416666666666668,0.9420595013618268,0.9416666666666668,0.9409821102592186,0.942059501361827,0.9416666666666667,0.9409821102592186,0.9959375,2.0953593254089355
IGTD-inspired,0,0,test,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9983333333333334,2.0953593254089355
Naive Reshape,0,0,train,0.9416666666666667,0.9416666666666668,0.9434108527131784,0.9416666666666668,0.9405805335161785,0.9434108527131784,0.9416666666666667,0.9405805335161784,0.9970833333333333,2.317608118057251
Naive Reshape,0,0,test,0.9333333333333333,0.9333333333333332,0.9363636363636364,0.9333333333333332,0.933249791144528,0.9363636363636363,0.9333333333333333,0.933249791144528,0.9966666666666667,2.317608118057251
AG-T2I-step_row,0,0,train,0.9583333333333334,0.9583333333333334,0.9597367402245451,0.9583333333333334,0.9583067740249311,,,,,21.498910188674927
AG-T2I-step_row,0,0,test,1.0,1.0,1.0,1.0,1.0,,,,1.0,21.498910188674927
AG-T2I-packed,0,0,train,0.9583333333333334,0.9583333333333334,0.9597367402245451,0.9583333333333334,0.9583067740249311,,,,,22.44517230987549
AG-T2I-packed,0,0,test,1.0,1.0,1.0,1.0,1.0,,,,1.0,22.44517230987549
AG-T2I-packed_T,0,0,train,0.9583333333333334,0.9583333333333334,0.9597367402245451,0.9583333333333334,0.9583067740249311,,,,,22.197431564331055
AG-T2I-packed_T,0,0,test,1.0,1.0,1.0,1.0,1.0,,,,1.0,22.197431564331055
AG-T2I-step_sparse,0,0,train,0.9833333333333333,0.9833333333333334,0.9841269841269842,0.9833333333333334,0.9833229101521784,,,,,22.319621324539185
AG-T2I-step_sparse,0,0,test,1.0,1.0,1.0,1.0,1.0,,,,1.0,22.319621324539185
AG-T2I-attention_map,0,0,train,0.975,0.975,0.9759969028261711,0.975,0.9747676793747254,,,,,22.189181804656982
AG-T2I-attention_map,0,0,test,0.9,0.9,0.923076923076923,0.9,0.8976982097186701,,,,1.0,22.189181804656982
XGBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.026273488998413086
XGBoost,0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.026273488998413086
LightGBM,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23693084716796875
LightGBM,0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23693084716796875
CatBoost,0,1,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29285693168640137
CatBoost,0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29285693168640137
TabNet,0,1,train,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9696969696969696,0.9666666666666667,0.9665831244778613,1.0,4.858350992202759
TabNet,0,1,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.858350992202759
