model,metric,mean,std,ci95,time_sec
XGBoost,accuracy,0.9933333333333334,0.013801311186847083,0.006984427121978024,0.033474302291870116
XGBoost,balanced_accuracy,0.9933333333333334,0.013801311186847083,0.006984427121978024,0.033474302291870116
XGBoost,precision_macro,0.993939393939394,0.012546646533497338,0.006349479201798197,0.033474302291870116
XGBoost,recall_macro,0.9933333333333334,0.013801311186847083,0.006984427121978024,0.033474302291870116
XGBoost,f1_macro,0.9933166248955722,0.013835900939195072,0.007001931951857668,0.033474302291870116
XGBoost,precision_weighted,0.9939393939393939,0.012546646533497382,0.0063494792017982195,0.033474302291870116
XGBoost,recall_weighted,0.9933333333333334,0.013801311186847083,0.006984427121978024,0.033474302291870116
XGBoost,f1_weighted,0.9933166248955722,0.013835900939195072,0.007001931951857668,0.033474302291870116
XGBoost,roc_auc,1.0,0.0,0.0,0.033474302291870116
LightGBM,accuracy,0.9955555555555555,0.011728859175816609,0.005935621697705437,0.3893339474995931
LightGBM,balanced_accuracy,0.9955555555555555,0.011728859175816609,0.005935621697705437,0.3893339474995931
LightGBM,precision_macro,0.9959595959595959,0.010662599250742366,0.005396019725186758,0.3893339474995931
LightGBM,recall_macro,0.9955555555555555,0.011728859175816609,0.005935621697705437,0.3893339474995931
LightGBM,f1_macro,0.9955444165970481,0.011758254812848734,0.005950497942561844,0.3893339474995931
LightGBM,precision_weighted,0.9959595959595959,0.010662599250742404,0.005396019725186777,0.3893339474995931
LightGBM,recall_weighted,0.9955555555555555,0.011728859175816609,0.005935621697705437,0.3893339474995931
LightGBM,f1_weighted,0.9955444165970481,0.011758254812848734,0.005950497942561844,0.3893339474995931
LightGBM,roc_auc,1.0,0.0,0.0,0.3893339474995931
CatBoost,accuracy,1.0,0.0,0.0,0.22958242098490397
CatBoost,balanced_accuracy,1.0,0.0,0.0,0.22958242098490397
CatBoost,precision_macro,1.0,0.0,0.0,0.22958242098490397
CatBoost,recall_macro,1.0,0.0,0.0,0.22958242098490397
CatBoost,f1_macro,1.0,0.0,0.0,0.22958242098490397
CatBoost,precision_weighted,1.0,0.0,0.0,0.22958242098490397
CatBoost,recall_weighted,1.0,0.0,0.0,0.22958242098490397
CatBoost,f1_weighted,1.0,0.0,0.0,0.22958242098490397
CatBoost,roc_auc,1.0,0.0,0.0,0.22958242098490397
TabNet,accuracy,1.0,0.0,0.0,3.5363276322682697
TabNet,balanced_accuracy,1.0,0.0,0.0,3.5363276322682697
TabNet,precision_macro,1.0,0.0,0.0,3.5363276322682697
TabNet,recall_macro,1.0,0.0,0.0,3.5363276322682697
TabNet,f1_macro,1.0,0.0,0.0,3.5363276322682697
TabNet,precision_weighted,1.0,0.0,0.0,3.5363276322682697
TabNet,recall_weighted,1.0,0.0,0.0,3.5363276322682697
TabNet,f1_weighted,1.0,0.0,0.0,3.5363276322682697
TabNet,roc_auc,1.0,0.0,0.0,3.5363276322682697
FT-Transformer (lite),accuracy,1.0,0.0,0.0,5.546362892786662
FT-Transformer (lite),balanced_accuracy,1.0,0.0,0.0,5.546362892786662
FT-Transformer (lite),precision_macro,1.0,0.0,0.0,5.546362892786662
FT-Transformer (lite),recall_macro,1.0,0.0,0.0,5.546362892786662
FT-Transformer (lite),f1_macro,1.0,0.0,0.0,5.546362892786662
FT-Transformer (lite),precision_weighted,1.0,0.0,0.0,5.546362892786662
FT-Transformer (lite),recall_weighted,1.0,0.0,0.0,5.546362892786662
FT-Transformer (lite),f1_weighted,1.0,0.0,0.0,5.546362892786662
FT-Transformer (lite),roc_auc,1.0,0.0,0.0,5.546362892786662
IGTD-inspired,accuracy,0.9422222222222223,0.03876397170886262,0.01961727633654064,0.758270247777303
IGTD-inspired,balanced_accuracy,0.9422222222222223,0.038763971708862636,0.019617276336540646,0.758270247777303
IGTD-inspired,precision_macro,0.9494293360960028,0.032943072875092905,0.016671495088769264,0.758270247777303
IGTD-inspired,recall_macro,0.9422222222222223,0.038763971708862636,0.019617276336540646,0.758270247777303
IGTD-inspired,f1_macro,0.9411440680718733,0.03996673481493958,0.020225958449831754,0.758270247777303
IGTD-inspired,precision_weighted,0.9494293360960028,0.03294307287509291,0.016671495088769268,0.758270247777303
IGTD-inspired,recall_weighted,0.9422222222222223,0.03876397170886262,0.01961727633654064,0.758270247777303
IGTD-inspired,f1_weighted,0.9411440680718735,0.0399667348149396,0.020225958449831768,0.758270247777303
IGTD-inspired,roc_auc,0.9947777777777779,0.007010951372919332,0.0035480309266958487,0.758270247777303
Naive Reshape,accuracy,0.9577777777777778,0.040759976219027175,0.020627393987512073,1.0047470569610595
Naive Reshape,balanced_accuracy,0.9577777777777778,0.040759976219027196,0.020627393987512083,1.0047470569610595
Naive Reshape,precision_macro,0.962648709315376,0.03541680283793636,0.017923375175452574,1.0047470569610595
Naive Reshape,recall_macro,0.9577777777777778,0.040759976219027196,0.020627393987512083,1.0047470569610595
Naive Reshape,f1_macro,0.956910036032843,0.042617386571482466,0.021567373317497397,1.0047470569610595
Naive Reshape,precision_weighted,0.9626487093153758,0.03541680283793636,0.017923375175452574,1.0047470569610595
Naive Reshape,recall_weighted,0.9577777777777778,0.040759976219027175,0.020627393987512073,1.0047470569610595
Naive Reshape,f1_weighted,0.956910036032843,0.042617386571482466,0.021567373317497397,1.0047470569610595
Naive Reshape,roc_auc,0.9976666666666667,0.0031370798270477594,0.0015875814356482176,1.0047470569610595
AG-T2I-step_row,accuracy,0.9711111111111113,0.02477411176524021,0.012537430378423925,22.248659133911133
AG-T2I-step_row,balanced_accuracy,0.9711111111111113,0.024774111765240248,0.012537430378423942,22.248659133911133
AG-T2I-step_row,precision_macro,0.9733333333333332,0.023197162677581363,0.01173938403132615,22.248659133911133
AG-T2I-step_row,recall_macro,0.9711111111111113,0.024774111765240248,0.012537430378423942,22.248659133911133
AG-T2I-step_row,f1_macro,0.970919892323401,0.025034710712058834,0.012669311641550106,22.248659133911133
AG-T2I-step_row,roc_auc,0.9998888888888888,0.00043033148291191645,0.00021777777777776827,22.248659133911133
AG-T2I-packed,accuracy,0.9888888888888889,0.020573779994945588,0.010411769219090717,22.33994795481364
AG-T2I-packed,balanced_accuracy,0.9888888888888889,0.02057377999494561,0.010411769219090728,22.33994795481364
AG-T2I-packed,precision_macro,0.9902356902356902,0.017750481909201792,0.008982983254008623,22.33994795481364
AG-T2I-packed,recall_macro,0.9888888888888889,0.02057377999494561,0.010411769219090728,22.33994795481364
AG-T2I-packed,f1_macro,0.988827287072901,0.020723183473865172,0.010487377811358263,22.33994795481364
AG-T2I-packed,roc_auc,0.9996666666666667,0.0012909944487357783,0.0006533333333333195,22.33994795481364
AG-T2I-packed_T,accuracy,0.9866666666666667,0.027602622373694163,0.013968854243956046,19.658816528320312
AG-T2I-packed_T,balanced_accuracy,0.9866666666666667,0.027602622373694163,0.013968854243956046,19.658816528320312
AG-T2I-packed_T,precision_macro,0.987766554433221,0.025471764876773443,0.012890491565723928,19.658816528320312
AG-T2I-packed_T,recall_macro,0.9866666666666667,0.027602622373694163,0.013968854243956046,19.658816528320312
AG-T2I-packed_T,f1_macro,0.9866180603022708,0.02772291570198813,0.014029731067422651,19.658816528320312
AG-T2I-packed_T,roc_auc,0.9992222222222222,0.003012320380383558,0.0015244444444444502,19.658816528320312
AG-T2I-step_sparse,accuracy,0.9888888888888889,0.02721655269759086,0.013773476030955602,19.20867052078247
AG-T2I-step_sparse,balanced_accuracy,0.9888888888888889,0.02721655269759086,0.013773476030955602,19.20867052078247
AG-T2I-step_sparse,precision_macro,0.9908313908313907,0.021535280261378735,0.010898355489608609,19.20867052078247
AG-T2I-step_sparse,recall_macro,0.9888888888888889,0.02721655269759086,0.013773476030955602,19.20867052078247
AG-T2I-step_sparse,f1_macro,0.9887242972449594,0.0277641975840277,0.014050622582196859,19.20867052078247
AG-T2I-step_sparse,roc_auc,0.9997777777777778,0.0008606629658238619,0.00043555555555555123,19.20867052078247
AG-T2I-attention_map,accuracy,0.948888888888889,0.06154965303200162,0.031148422071284182,18.852592945098877
AG-T2I-attention_map,balanced_accuracy,0.948888888888889,0.06154965303200164,0.031148422071284192,18.852592945098877
AG-T2I-attention_map,precision_macro,0.9588722388722388,0.04768856677519809,0.024133744590179425,18.852592945098877
AG-T2I-attention_map,recall_macro,0.948888888888889,0.06154965303200164,0.031148422071284192,18.852592945098877
AG-T2I-attention_map,f1_macro,0.9459432574391967,0.06782897144940538,0.03432619563701958,18.852592945098877
AG-T2I-attention_map,roc_auc,0.9995555555555555,0.0011728859175816494,0.000593562169770538,18.852592945098877
