prob_class_0,prob_class_1,true_label
0.21552162,0.7844784,1
0.9159134,0.08408666,0
0.9885352,0.011464836,1
0.90397865,0.09602137,1
0.7347622,0.2652378,0
0.35090107,0.64909893,1
0.05598925,0.94401073,1
0.5497996,0.45020044,1
0.7133429,0.28665712,1
0.5357818,0.46421823,1
0.39966863,0.60033137,1
0.08704139,0.9129586,0
0.9887976,0.011202407,0
0.075943395,0.9240566,0
0.06595815,0.9340418,1
0.7501716,0.24982837,0
0.11782563,0.88217443,1
0.9851407,0.014859321,0
0.9303738,0.06962621,0
0.56510574,0.43489432,1
0.24095707,0.75904286,1
0.9765088,0.023491157,0
0.10896579,0.89103425,1
0.97408944,0.02591051,0
0.6940335,0.30596647,1
0.95849717,0.04150279,1
0.13957015,0.8604299,1
0.37558657,0.62441343,0
0.8316386,0.16836137,0
0.9232058,0.07679425,0
0.87520593,0.124794066,0
0.9476338,0.05236622,0
0.91424185,0.08575815,1
0.1638669,0.83613306,0
0.89190155,0.10809839,0
0.94539297,0.054606978,0
0.853773,0.14622708,0
0.9896541,0.0103458995,0
0.69795144,0.30204856,1
0.99103934,0.008960622,0
0.51399845,0.48600152,0
0.9452891,0.05471088,1
0.1398099,0.8601901,1
0.7877675,0.21223249,1
0.9910286,0.008971419,0
0.98999923,0.010000764,0
0.9885028,0.011497181,0
0.94014984,0.059850145,1
0.38343692,0.6165631,0
0.80248237,0.19751771,0
0.9826051,0.017394822,0
0.055979643,0.94402033,0
0.44222593,0.557774,1
0.95672226,0.043277737,0
0.37605435,0.6239456,1
0.52900803,0.47099197,0
0.6482527,0.35174733,1
0.6557084,0.34429163,1
0.08593195,0.91406804,0
0.98559695,0.01440302,0
0.95656586,0.043434113,1
0.9888545,0.011145495,0
0.06517541,0.9348246,1
0.9477564,0.052243557,0
0.88027537,0.11972466,0
0.9767692,0.023230799,1
0.35990125,0.64009875,0
0.94326866,0.05673132,0
0.88043344,0.11956654,0
0.6816078,0.31839222,1
0.2529996,0.7470004,1
0.7978505,0.2021495,1
0.9792683,0.020731753,0
0.9888931,0.011106925,0
0.98402566,0.015974307,0
0.8866421,0.113357835,1
0.9433387,0.056661293,0
0.09564633,0.9043536,1
0.8728926,0.12710744,0
0.17670691,0.8232931,1
0.9282863,0.07171363,0
0.3302813,0.66971874,0
0.05525433,0.9447456,1
0.97534513,0.024654917,0
0.9794592,0.020540813,0
0.11455988,0.8854401,1
0.9820064,0.017993597,0
0.99034226,0.009657722,0
0.9417702,0.058229756,0
0.92814326,0.07185679,0
0.9870586,0.012941465,0
0.99078333,0.009216626,0
0.5899612,0.4100388,0
0.43996578,0.5600342,1
0.83688706,0.16311292,0
0.96671236,0.03328764,1
0.22962244,0.77037764,0
0.9907347,0.009265379,0
0.9882008,0.011799274,0
0.9313982,0.068601795,0
0.93201756,0.067982465,0
0.8508749,0.14912508,0
0.3383876,0.6616124,0
0.061246194,0.9387538,1
0.95037925,0.049620755,0
0.9908408,0.009159235,0
0.26509064,0.73490936,1
0.9814151,0.01858491,0
0.34979853,0.65020144,0
0.8585952,0.1414048,0
0.53585005,0.46414992,1
0.063434474,0.9365656,0
0.96698785,0.033012204,0
0.901066,0.09893405,1
0.9902215,0.009778448,0
0.9550676,0.044932377,0
0.14060062,0.85939944,1
0.95861,0.041390054,0
0.9856318,0.014368134,0
0.9782859,0.021714043,0
0.30629024,0.69370973,1
0.08761843,0.9123816,1
0.08370463,0.91629535,1
0.46962333,0.5303767,1
0.9556411,0.04435886,0
0.9888082,0.011191796,0
0.9888916,0.01110837,0
0.8883514,0.11164861,0
0.98943955,0.010560445,0
0.3158874,0.6841126,1
0.9889015,0.011098565,0
0.9885112,0.011488746,0
0.98642665,0.013573278,0
0.94979936,0.050200664,0
0.98899734,0.011002706,0
0.09102856,0.9089714,1
0.9583262,0.04167375,0
0.9090853,0.09091475,1
0.9871356,0.012864426,0
0.90249944,0.09750057,0
0.9667232,0.03327684,0
0.98589534,0.014104652,0
0.97678655,0.02321345,0
0.97002596,0.02997402,0
0.97004974,0.029950287,0
0.9726494,0.027350625,0
0.09166713,0.9083328,1
0.9888237,0.011176313,0
0.24453689,0.7554631,1
0.13443607,0.865564,0
0.9541958,0.045804173,0
0.9550446,0.0449553,0
0.9722454,0.027754605,0
0.97729015,0.022709828,0
